Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.45,27,305,289,33,32,27,48,26,11,381,0
65.41,27,300,287,33,31,26,48,26,10,381,0
65.41,26,296,287,32,31,26,48,26,10,380,0
65.52,26,292,284,32,31,26,48,26,10,379,0
65.56,26,289,284,32,30,25,47,25,10,378,0
65.53,26,287,283,32,30,25,47,25,10,377,0
65.53,26,284,282,32,30,25,47,25,10,377,0
65.57,26,282,281,31,30,25,47,25,10,376,0
65.5,26,280,280,31,29,25,46,25,10,376,0
65.56,25,279,280,31,29,25,46,25,10,375,0
65.53,25,277,280,31,29,25,46,25,10,375,0
65.58,25,276,280,31,29,25,46,25,10,374,0
65.54,25,275,279,31,29,24,46,25,10,374,0
65.58,25,274,279,30,29,24,46,25,10,374,0
65.58,25,273,279,30,29,24,46,25,10,373,0
65.6,25,272,279,30,28,24,46,25,10,373,0
65.59,25,271,278,30,28,24,46,25,10,373,0
65.58,25,270,278,30,28,24,46,25,10,372,0
65.57,25,270,278,30,28,24,46,25,10,372,0
65.57,25,269,278,30,28,24,46,25,10,372,0
65.59,25,269,278,30,28,24,46,25,10,372,0
65.59,25,268,278,30,28,24,45,25,10,371,0
65.61,25,268,278,30,28,24,45,25,10,371,0
65.62,25,267,278,30,28,24,45,25,10,371,0
65.6,24,267,278,29,28,24,45,25,10,371,0
65.57,24,267,278,29,28,24,45,25,10,371,0
65.66,24,266,277,29,28,24,45,25,10,371,0
65.52,24,266,277,29,28,24,45,25,10,370,0
65.48,24,266,277,29,28,24,45,25,10,370,0
65.6,24,265,277,29,28,24,45,25,10,370,0
65.58,24,265,277,29,27,23,45,24,10,370,0
65.62,24,265,277,29,27,23,45,24,10,370,0
65.57,24,264,277,29,27,23,45,24,10,370,0
65.6,24,264,277,29,27,23,45,24,10,369,0
65.67,24,264,277,29,27,23,45,24,10,369,0
65.53,24,264,277,29,27,23,45,24,10,369,0
65.51,24,263,277,29,27,23,45,24,10,369,0
65.57,24,263,277,29,27,23,45,24,10,369,0
65.56,24,263,277,29,27,23,45,24,10,369,0
65.57,24,263,277,29,27,23,45,24,10,369,0
65.6,24,263,277,29,27,23,45,24,10,369,0
65.63,24,262,277,29,27,23,45,24,10,368,0
65.59,24,262,277,29,27,23,45,24,10,368,0
65.61,24,262,277,29,27,23,45,24,10,368,0
65.62,24,262,277,29,27,23,45,24,10,368,0
