Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.43,20,192,249,31,30,23,42,21,10,521,0
65.37,20,200,238,27,27,21,38,19,10,447,0
65.45,26,303,285,30,31,25,50,23,12,590,0
65.51,30,321,310,34,34,28,55,26,13,642,0
65.57,28,299,294,32,33,27,52,25,11,428,0
65.53,27,292,289,31,32,26,51,24,11,397,0
65.52,26,287,286,30,31,25,50,23,10,385,0
65.51,27,286,287,31,31,25,51,23,10,394,0
65.52,26,281,283,30,31,24,50,23,10,379,0
65.53,26,279,282,30,31,24,50,23,10,378,0
65.57,26,277,281,29,30,24,50,23,10,376,0
65.54,26,276,282,29,30,24,49,23,10,376,0
65.55,26,273,279,29,30,24,49,23,10,370,0
65.58,26,273,279,29,30,24,49,23,10,371,0
65.58,26,272,279,29,30,24,49,22,10,371,0
65.54,26,271,279,28,30,23,49,22,10,371,0
65.56,26,271,279,28,29,23,49,22,10,372,0
65.58,26,270,278,28,29,23,49,22,10,371,0
65.56,25,269,278,28,29,23,49,22,10,370,0
65.58,25,269,278,28,29,23,49,22,10,371,0
65.59,25,268,278,28,29,23,49,22,10,371,0
65.59,25,268,278,28,29,23,49,22,10,371,0
65.56,25,268,278,28,29,23,49,22,10,371,0
65.58,25,268,277,28,29,23,49,22,10,372,0
65.61,25,267,277,28,29,23,49,22,10,372,0
65.6,25,267,277,28,29,23,49,22,10,372,0
65.63,25,267,277,28,29,23,49,22,10,372,0
65.48,25,266,277,27,29,23,49,22,10,373,0
65.6,25,266,277,27,29,23,49,22,10,373,0
65.62,25,266,277,27,29,23,49,22,10,373,0
65.62,25,266,276,27,29,23,49,22,10,373,0
65.61,25,265,276,27,29,23,49,22,10,373,0
65.61,25,265,276,27,29,23,49,22,10,374,0
65.62,25,265,276,27,28,23,49,22,10,375,0
65.59,25,265,276,27,28,23,49,22,10,374,0
65.58,25,265,276,27,28,23,49,22,10,375,0
65.61,25,264,276,27,28,23,49,22,10,375,0
65.61,25,264,276,27,28,22,49,22,10,375,0
65.64,25,264,275,27,28,22,48,22,10,375,0
65.59,25,264,275,27,28,23,49,22,10,376,0
65.55,25,264,275,27,28,22,49,22,10,375,0
65.6,25,262,275,27,28,22,48,22,10,371,0
65.58,25,262,275,27,28,22,48,22,10,372,0
65.54,25,262,274,27,28,22,48,22,10,371,0
65.59,25,262,274,27,28,22,48,22,10,371,0
