Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.31,62,1901,1162,50,68,90,204,157,17,1844,0
65.27,62,1880,1161,50,68,90,203,156,17,1857,0
65.31,61,1851,1153,49,67,89,201,154,16,1828,0
65.37,61,1837,1147,49,66,88,200,153,16,1824,0
65.32,60,1819,1143,48,66,88,197,153,16,1789,0
65.32,61,1816,1136,48,66,87,197,152,16,1790,0
65.3,61,1806,1131,48,65,87,197,151,16,1775,0
65.29,60,1798,1129,48,65,87,197,151,16,1767,0
65.32,60,1786,1127,47,65,86,196,150,16,1782,0
65.31,60,1788,1128,47,65,86,197,150,16,1796,0
65.35,60,1774,1127,47,64,86,196,149,16,1791,0
65.36,60,1767,1125,47,64,86,195,149,16,1774,0
65.33,60,1762,1123,47,64,86,195,148,16,1755,0
65.38,60,1755,1120,47,64,85,194,148,16,1762,0
65.42,59,1748,1117,46,63,85,194,148,16,1739,0
65.42,59,1739,1109,46,63,85,193,147,16,1732,0
65.39,59,1732,1104,46,63,84,192,147,15,1687,0
65.32,58,1726,1101,46,62,84,191,146,15,1690,0
65.34,58,1721,1100,46,62,84,191,146,15,1687,0
65.3,58,1724,1098,46,62,84,191,146,15,1681,0
65.35,58,1715,1096,45,62,83,190,145,15,1676,0
65.4,58,1713,1095,46,62,83,190,145,15,1671,0
65.33,58,1711,1094,45,62,83,190,145,15,1675,0
65.36,58,1694,1086,45,61,83,188,144,15,1635,0
65.41,58,1695,1087,45,61,83,188,144,15,1645,0
65.34,58,1693,1086,45,61,82,188,144,15,1644,0
65.38,58,1685,1083,45,61,82,188,143,15,1630,0
65.4,58,1684,1083,45,61,82,188,143,15,1633,0
65.4,58,1687,1084,45,61,82,188,143,15,1637,0
65.41,58,1686,1084,45,61,82,188,143,15,1640,0
65.4,58,1678,1078,44,61,82,187,143,15,1614,0
65.38,58,1682,1082,44,61,82,187,143,15,1621,0
65.41,57,1677,1078,44,61,82,186,143,15,1603,0
65.38,57,1681,1079,45,61,82,187,143,15,1610,0
65.42,57,1681,1079,44,61,82,187,143,15,1619,0
65.43,57,1677,1077,44,61,82,187,143,15,1607,0
65.44,57,1674,1077,45,60,82,187,142,15,1612,0
65.41,57,1670,1077,44,60,82,186,142,15,1613,0
65.39,57,1672,1077,44,60,82,186,142,15,1608,0
65.42,57,1669,1075,44,60,82,186,142,15,1603,0
65.36,57,1669,1075,44,60,81,186,142,15,1605,0
65.37,57,1663,1074,44,60,81,185,141,15,1605,0
65.31,57,1665,1075,44,60,81,186,142,15,1611,0
65.33,57,1664,1075,44,60,81,185,142,15,1608,0
65.35,57,1664,1075,44,60,81,186,141,15,1609,0
