Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.31,93,1580,1267,59,66,101,231,128,33,3689,0
65.18,93,1636,1289,60,67,106,236,132,33,3734,0
65.27,92,1616,1272,60,67,107,239,131,31,3547,0
65.21,91,1703,1368,61,70,105,245,137,31,3577,0
65.28,88,1654,1348,60,68,102,241,133,32,3458,0
65.34,89,1672,1377,60,69,104,239,138,32,3596,0
65.32,90,1665,1331,61,67,105,237,136,32,3311,0
65.32,88,1636,1263,60,65,103,236,135,31,3289,0
65.27,88,1559,1300,58,67,100,232,135,34,3648,0
65.35,87,1547,1338,58,65,97,231,129,33,3350,0
65.36,87,1571,1316,58,66,98,230,130,34,3461,0
65.39,85,1539,1359,58,65,96,227,127,33,3254,0
65.36,87,1507,1408,57,63,97,219,125,35,3354,0
65.4,86,1590,1357,57,64,96,222,130,34,3207,0
65.25,85,1540,1163,57,62,98,237,125,28,3062,0
65.33,84,1541,1169,57,61,99,238,124,28,3011,0
65.29,84,1431,1108,56,59,96,224,119,28,3096,0
65.33,84,1482,1118,56,60,96,232,122,28,2986,0
65.37,83,1381,1080,55,58,94,220,117,28,3063,0
65.35,84,1443,1109,56,58,96,231,120,27,2849,0
65.34,74,1389,1008,55,57,87,224,105,30,3552,0
65.36,78,1534,1096,58,60,94,238,118,31,3570,0
65.42,81,1619,1157,58,62,91,245,121,30,3262,0
65.32,83,1628,1184,58,64,93,249,123,31,3286,0
65.4,85,1673,1218,59,66,95,253,125,30,3129,0
65.39,85,1650,1219,59,66,95,255,126,30,3057,0
65.43,84,1631,1203,59,66,93,254,124,29,2993,0
65.42,84,1589,1236,58,67,91,253,123,30,2957,0
65.32,84,1549,1220,58,66,91,247,122,29,2899,0
65.3,85,1610,1231,59,67,94,252,127,30,2973,0
65.28,86,1585,1204,58,66,93,247,125,29,2993,0
65.33,87,1586,1249,58,66,95,248,129,30,3006,0
65.33,81,1509,1166,56,61,91,228,119,28,2825,0
65.34,81,1510,1179,57,62,93,230,121,29,2954,0
65.31,80,1505,1138,56,61,92,230,118,28,2892,0
65.37,81,1483,1197,56,62,93,227,122,28,2878,0
65.31,81,1460,1173,56,61,91,226,119,28,2868,0
65.35,81,1489,1142,57,60,93,224,120,29,2967,0
65.31,80,1445,1124,56,60,92,226,118,30,3043,0
65.31,80,1507,1159,56,61,92,230,120,29,2868,0
65.29,78,1494,1128,56,61,92,230,117,30,3062,0
65.27,78,1472,1141,56,61,90,230,118,31,3164,0
65.3,79,1399,1158,55,60,88,223,116,30,3018,0
65.28,79,1519,1146,56,61,90,236,122,31,3131,0
65.31,76,1427,1093,55,59,88,227,114,31,3024,0
