Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,56,1715,1071,47,63,83,188,143,15,1610,0
65.25,56,1689,1065,47,62,82,187,142,15,1607,0
65.25,56,1673,1061,46,62,82,186,141,15,1605,0
65.34,56,1658,1056,46,62,81,186,139,15,1603,0
65.33,56,1647,1053,46,61,81,185,139,15,1600,0
65.3,56,1638,1050,45,61,81,185,138,15,1600,0
65.3,55,1628,1047,45,61,80,184,137,15,1597,0
65.3,55,1617,1045,45,60,80,184,136,15,1593,0
65.31,55,1614,1042,45,60,80,184,136,14,1595,0
65.32,55,1609,1041,45,60,80,184,135,14,1593,0
65.35,55,1603,1039,45,60,80,183,135,14,1591,0
65.33,55,1599,1038,44,59,79,183,135,14,1590,0
65.35,55,1594,1036,44,59,79,183,134,14,1589,0
65.33,55,1591,1035,44,59,79,183,134,14,1588,0
65.34,55,1588,1034,44,59,79,183,134,14,1588,0
65.38,55,1585,1033,44,59,79,183,133,14,1587,0
65.27,55,1580,1032,44,59,79,182,133,14,1585,0
65.27,55,1577,1031,44,59,79,182,133,14,1584,0
65.35,54,1576,1031,44,58,78,181,133,14,1584,0
65.29,54,1572,1030,44,58,79,182,133,14,1581,0
65.35,54,1571,1030,45,58,79,182,132,14,1582,0
65.37,54,1570,1029,44,58,78,182,132,14,1582,0
65.31,54,1569,1029,43,58,78,182,132,14,1582,0
65.33,54,1565,1028,43,58,78,182,132,14,1581,0
65.34,54,1563,1027,43,58,78,182,132,14,1580,0
65.34,54,1560,1026,43,58,78,182,132,14,1579,0
65.39,54,1557,1025,43,58,78,181,131,14,1578,0
65.39,54,1552,1026,43,58,78,181,131,14,1575,0
65.28,54,1556,1025,44,58,78,182,131,14,1578,0
65.28,54,1557,1026,44,58,78,181,131,14,1577,0
65.29,54,1555,1025,43,58,78,181,131,14,1577,0
65.31,54,1555,1025,43,58,78,181,131,14,1576,0
65.29,54,1554,1025,43,58,78,181,131,14,1576,0
65.27,54,1553,1025,43,57,78,181,131,14,1575,0
65.34,54,1553,1025,43,57,78,181,131,14,1576,0
65.39,54,1552,1025,44,57,78,181,131,14,1576,0
65.39,54,1551,1024,43,57,78,181,131,14,1574,0
65.37,54,1550,1024,43,57,78,181,131,14,1575,0
65.41,54,1549,1024,43,57,78,181,131,14,1574,0
65.35,54,1549,1024,44,57,78,181,131,14,1575,0
65.28,54,1549,1024,44,57,78,181,131,14,1575,0
65.28,54,1547,1024,43,57,78,181,131,14,1573,0
65.41,54,1548,1024,43,57,78,181,131,14,1574,0
65.38,54,1547,1023,44,57,78,181,131,14,1574,0
65.38,54,1547,1023,43,57,78,181,131,14,1574,0
