Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,80,1520,1125,56,68,82,227,108,26,3545,0
65.15,80,1502,1126,56,67,83,226,108,26,3514,0
65.27,80,1483,1121,55,67,82,225,107,25,3481,0
65.31,80,1471,1119,55,66,82,224,107,25,3460,0
65.37,80,1461,1116,55,66,82,224,106,25,3445,0
65.33,80,1454,1116,55,66,82,224,106,25,3426,0
65.31,79,1447,1114,54,66,82,223,106,25,3408,0
65.28,79,1439,1112,54,65,81,222,106,25,3391,0
65.33,79,1435,1114,54,65,81,222,106,25,3371,0
65.37,79,1426,1109,54,65,81,222,105,25,3365,0
65.34,79,1421,1107,54,64,81,221,105,25,3345,0
65.37,79,1416,1106,53,64,81,221,105,25,3337,0
65.31,79,1412,1104,53,64,80,221,104,25,3319,0
65.39,79,1409,1104,53,64,80,221,104,25,3310,0
65.35,79,1407,1104,53,64,80,220,104,25,3300,0
65.42,79,1406,1103,53,63,80,220,104,25,3295,0
65.43,79,1404,1102,53,63,80,220,104,25,3285,0
65.29,78,1402,1101,53,63,80,220,104,25,3278,0
65.3,79,1400,1101,53,63,80,220,104,25,3269,0
65.3,79,1398,1101,53,63,80,220,104,25,3263,0
65.31,78,1395,1099,53,63,80,220,104,24,3252,0
65.29,79,1395,1100,53,63,80,220,104,25,3250,0
65.36,79,1396,1101,53,63,80,220,104,24,3245,0
65.32,78,1394,1100,53,63,80,220,104,24,3239,0
65.29,78,1393,1100,52,63,80,220,104,24,3233,0
65.28,78,1392,1100,52,63,80,220,104,24,3232,0
65.34,78,1392,1100,52,62,80,220,104,24,3226,0
65.3,78,1386,1097,52,62,80,219,104,24,3214,0
65.35,78,1386,1096,52,62,80,219,104,24,3212,0
65.41,78,1385,1096,52,62,80,219,104,24,3208,0
65.31,78,1384,1096,52,62,80,219,104,24,3204,0
65.32,78,1382,1095,52,62,80,219,103,24,3200,0
65.37,78,1382,1095,52,62,79,219,104,24,3196,0
65.38,78,1381,1095,52,62,80,219,104,24,3193,0
65.42,78,1380,1095,52,62,79,219,104,24,3191,0
65.4,78,1380,1095,52,62,79,219,103,24,3186,0
65.36,78,1379,1094,52,62,79,219,103,24,3185,0
65.34,78,1379,1094,52,62,79,219,104,24,3178,0
65.37,78,1377,1094,52,62,79,218,103,24,3174,0
65.35,78,1376,1093,52,61,79,218,103,24,3172,0
65.41,78,1376,1093,52,61,79,218,103,24,3173,0
65.33,78,1374,1092,52,61,79,218,103,24,3169,0
65.41,78,1375,1093,51,61,79,218,103,24,3164,0
65.34,78,1374,1092,51,61,79,218,103,24,3162,0
65.4,78,1374,1092,51,61,79,218,103,24,3161,0
