Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,42,879,701,40,45,55,146,75,17,2085,0
65.23,41,869,694,40,44,54,145,73,17,2097,0
65.28,42,859,708,39,44,55,142,73,17,2318,0
65.34,40,831,700,39,43,54,142,75,17,2307,0
65.33,39,719,692,38,43,53,140,70,16,2278,0
65.34,44,864,739,41,46,61,151,82,16,1854,0
65.33,42,780,674,40,43,58,148,71,16,1911,0
65.23,41,780,665,40,43,58,147,69,16,1898,0
65.31,41,749,648,39,42,57,145,66,16,1888,0
65.29,40,741,652,39,41,57,144,66,16,1876,0
65.29,40,726,628,39,41,57,144,64,16,1846,0
65.33,39,699,625,40,40,56,139,63,16,1841,0
65.26,39,714,629,39,40,56,142,63,15,1927,0
65.28,39,721,618,39,41,54,142,68,15,1856,0
65.37,39,689,636,39,40,54,141,68,16,1864,0
65.32,38,700,629,39,40,54,139,68,16,1847,0
65.34,38,691,630,39,40,53,140,67,15,1842,0
65.35,39,1171,664,39,52,53,160,73,15,1805,0
65.33,39,1302,684,40,55,53,167,77,15,1808,0
65.37,39,1254,684,39,54,52,163,77,15,1792,0
65.35,38,1199,659,40,53,52,163,73,15,1794,0
65.37,39,1318,675,39,56,52,169,77,15,1779,0
65.39,38,1264,643,40,54,51,169,72,15,1779,0
65.39,38,1299,652,40,55,51,170,74,15,1793,0
65.4,63,724,987,39,41,76,136,93,15,1683,0
65.37,63,729,1005,40,41,77,137,94,15,1720,0
65.37,65,738,1065,39,41,71,136,101,14,1685,0
65.36,66,754,1100,40,41,75,137,105,15,1679,0
65.34,67,762,1142,40,42,75,137,111,15,1674,0
65.3,75,757,1084,40,41,82,136,108,15,1655,0
65.34,76,769,1114,41,42,84,136,113,15,1647,0
65.3,78,778,1145,41,42,86,136,117,15,1657,0
65.38,61,710,1006,39,40,68,136,105,14,1661,0
65.31,59,674,919,39,39,66,133,96,14,1678,0
65.35,61,698,989,39,40,67,134,103,14,1694,0
65.39,61,695,980,39,40,67,133,102,14,1686,0
65.36,70,716,1000,39,41,73,134,106,14,1641,0
65.35,73,727,1056,39,41,76,134,109,14,1643,0
65.36,76,752,1150,39,42,78,134,119,14,1627,0
65.36,78,780,1219,41,43,80,135,127,14,1647,0
65.33,77,797,1262,40,43,80,135,132,14,1630,0
65.4,78,809,1269,40,43,81,136,134,14,1634,0
65.33,77,846,1339,41,45,82,136,143,14,1603,0
65.38,80,886,1392,41,46,86,137,152,14,1611,0
65.33,80,891,1393,40,46,86,136,152,14,1598,0
