Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,89,1580,1235,61,72,93,241,121,33,4530,0
65.12,89,1569,1239,61,71,94,240,120,34,4611,0
65.28,89,1567,1232,61,71,94,240,121,33,4524,0
65.29,88,1549,1224,60,70,93,238,120,33,4495,0
65.37,87,1540,1220,60,70,92,236,119,33,4663,0
65.32,88,1544,1226,60,70,93,236,120,34,4703,0
65.3,88,1541,1223,60,70,93,236,120,34,4746,0
65.27,87,1524,1216,60,69,92,234,119,34,4808,0
65.32,88,1557,1234,60,69,93,235,120,35,4788,0
65.3,87,1547,1215,60,69,93,235,120,34,4769,0
65.24,87,1546,1224,60,69,93,235,121,34,4766,0
65.28,86,1542,1210,60,69,93,234,120,34,4685,0
65.31,86,1486,1184,58,67,91,232,117,30,3480,0
65.36,86,1476,1179,58,66,91,231,116,30,3472,0
65.35,86,1486,1184,58,66,91,232,117,30,3497,0
65.37,85,1466,1172,58,66,90,230,116,30,3421,0
65.36,86,1471,1176,58,66,90,231,116,30,3470,0
65.32,85,1471,1178,58,66,90,231,116,30,3518,0
65.42,85,1461,1163,57,65,91,229,115,30,3401,0
65.39,85,1464,1172,58,66,90,230,116,30,3445,0
65.35,83,1440,1128,57,64,88,225,114,28,3365,0
65.42,83,1446,1129,57,65,89,226,115,29,3374,0
65.34,83,1448,1130,57,65,89,226,115,29,3431,0
65.37,83,1448,1134,57,65,89,226,115,29,3361,0
65.41,83,1444,1135,57,65,90,226,115,29,3433,0
65.39,84,1441,1133,57,64,90,226,115,29,3323,0
65.38,84,1453,1139,57,65,90,227,116,29,3454,0
65.44,84,1451,1138,57,65,89,227,116,29,3366,0
65.37,83,1449,1139,57,64,90,226,116,29,3442,0
65.41,84,1454,1139,57,65,89,226,116,29,3393,0
65.38,84,1442,1139,57,65,89,227,115,29,3470,0
65.37,84,1446,1138,57,64,90,226,115,29,3385,0
65.35,84,1453,1142,57,65,90,228,116,29,3496,0
65.36,84,1453,1142,57,64,89,226,116,29,3403,0
65.38,84,1457,1150,57,65,90,228,116,29,3524,0
65.43,85,1457,1147,57,65,90,227,116,29,3434,0
65.41,85,1458,1151,57,65,90,228,117,29,3520,0
65.43,85,1449,1145,57,65,91,226,116,29,3437,0
65.38,81,1415,1107,56,63,87,221,112,27,3125,0
65.42,80,1386,1096,55,62,87,220,111,27,3193,0
65.37,80,1391,1098,55,62,87,220,111,27,3154,0
65.34,80,1388,1096,55,62,87,220,111,27,3231,0
65.35,80,1387,1097,55,62,86,220,111,27,3255,0
65.34,80,1390,1099,55,62,87,220,111,27,3154,0
65.37,80,1390,1101,55,62,87,220,111,27,3326,0
