Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,74,1470,1021,54,66,80,210,102,24,3338,0
65.14,74,1447,1018,53,65,80,210,101,24,3385,0
65.25,74,1428,1015,53,65,79,208,100,24,3421,0
65.33,74,1414,1013,53,64,79,208,100,24,3446,0
65.35,74,1402,1011,52,64,78,208,99,24,3472,0
65.32,74,1393,1011,52,63,78,207,99,24,3483,0
65.36,74,1385,1010,52,63,78,207,99,24,3499,0
65.37,73,1378,1010,52,63,77,206,98,24,3509,0
65.4,73,1372,1010,51,63,77,206,98,24,3520,0
65.28,73,1367,1010,51,63,77,206,98,24,3529,0
65.31,73,1362,1010,51,63,77,205,98,24,3539,0
65.3,73,1360,1011,51,62,77,205,98,24,3549,0
65.34,73,1355,1012,51,62,77,205,97,24,3557,0
65.32,73,1353,1012,51,62,77,205,97,24,3564,0
65.33,73,1350,1013,50,62,76,205,97,24,3571,0
65.39,73,1348,1014,50,62,76,205,97,24,3579,0
65.35,73,1348,1015,50,62,76,205,97,24,3584,0
65.33,73,1346,1016,50,62,76,205,97,24,3586,0
65.41,73,1342,1015,50,62,76,204,97,24,3590,0
65.35,73,1342,1017,50,62,76,204,97,24,3592,0
65.34,73,1341,1017,50,62,76,204,97,24,3596,0
65.42,73,1339,1018,50,62,76,204,97,24,3599,0
65.43,73,1339,1019,50,61,76,204,97,24,3600,0
65.41,73,1346,1022,50,62,76,205,97,24,3603,0
65.43,73,1336,1019,50,61,76,204,97,24,3602,0
65.43,73,1342,1023,50,61,76,205,97,24,3607,0
65.43,73,1342,1024,50,61,76,204,97,24,3606,0
65.35,73,1337,1022,50,61,76,204,97,24,3605,0
65.36,73,1335,1021,50,61,76,204,97,24,3608,0
65.33,73,1338,1024,50,61,76,204,97,24,3610,0
65.36,73,1340,1025,50,61,76,205,97,24,3611,0
65.37,73,1332,1022,49,61,76,204,96,24,3609,0
65.37,73,1338,1025,49,61,76,205,97,24,3612,0
65.35,73,1338,1026,49,61,76,204,97,24,3612,0
65.41,73,1334,1025,49,61,76,204,97,24,3613,0
65.41,74,1337,1026,49,61,76,205,97,24,3612,0
65.36,74,1337,1027,49,61,76,205,97,24,3613,0
65.36,74,1336,1026,49,61,76,204,97,24,3613,0
65.39,74,1337,1027,49,61,76,205,97,24,3614,0
65.41,73,1335,1027,49,61,76,204,97,24,3613,0
65.41,74,1335,1027,49,61,76,205,97,24,3614,0
65.4,74,1335,1027,49,61,76,204,97,24,3613,0
65.39,74,1333,1027,49,61,76,204,97,24,3614,0
65.4,74,1333,1027,49,61,76,204,97,24,3614,0
65.38,74,1333,1028,49,61,76,204,97,24,3614,0
