Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,70,1247,975,51,60,74,198,92,24,3232,0
65.23,70,1232,974,50,59,73,197,91,24,3190,0
65.29,69,1221,973,50,59,73,196,91,24,3164,0
65.32,69,1211,969,50,58,73,196,90,24,3143,0
65.45,69,1203,968,49,58,72,195,90,24,3128,0
65.22,69,1197,967,49,57,72,195,90,24,3108,0
65.23,69,1193,966,49,57,72,195,90,24,3098,0
65.38,69,1188,965,49,57,72,195,90,24,3086,0
65.38,69,1185,965,49,57,72,195,90,23,3074,0
65.37,69,1180,962,49,57,72,194,89,23,3055,0
65.35,69,1176,961,49,56,72,194,89,23,3045,0
65.41,69,1174,962,48,56,72,194,89,23,3031,0
65.38,69,1170,960,48,56,72,194,89,23,3022,0
65.43,69,1169,961,48,56,71,194,89,23,3012,0
65.41,69,1167,961,48,56,71,194,89,23,3006,0
65.42,69,1166,961,48,56,71,194,89,23,3000,0
65.28,69,1164,961,48,56,71,194,89,23,2993,0
65.34,69,1163,961,48,56,71,193,89,23,2985,0
65.37,69,1162,962,48,56,71,193,89,23,2982,0
65.37,69,1162,963,48,55,71,193,89,23,2974,0
65.31,69,1161,963,48,55,71,193,89,23,2968,0
65.36,69,1160,963,48,55,71,193,89,23,2968,0
65.3,69,1160,965,48,55,71,193,89,23,2960,0
65.32,69,1160,965,48,55,71,193,89,23,2959,0
65.34,69,1159,964,48,55,71,193,89,23,2955,0
65.33,69,1159,965,48,55,71,193,89,23,2951,0
65.4,69,1158,966,48,55,71,193,89,23,2948,0
65.38,69,1158,965,48,55,71,193,89,23,2946,0
65.39,69,1157,966,47,55,71,193,89,23,2943,0
65.36,69,1157,966,47,55,71,193,89,23,2938,0
65.44,69,1157,967,47,55,71,193,89,23,2936,0
65.46,69,1157,967,47,55,71,193,89,23,2935,0
65.36,69,1157,967,47,55,71,193,89,23,2928,0
65.35,69,1157,968,47,55,71,193,89,23,2926,0
65.29,69,1156,968,47,55,71,193,89,23,2923,0
65.32,69,1156,968,47,55,71,193,89,23,2921,0
65.37,69,1156,968,47,55,71,193,89,23,2920,0
65.35,69,1157,969,47,55,71,193,89,23,2917,0
65.38,69,1156,969,47,54,71,193,89,23,2914,0
65.32,69,1156,969,47,55,71,193,89,23,2913,0
65.38,69,1157,970,47,54,71,193,89,23,2908,0
65.38,69,1156,970,47,54,71,193,89,23,2908,0
65.4,69,1156,971,47,54,71,193,89,23,2906,0
65.39,69,1156,970,47,54,71,193,90,23,2905,0
65.36,69,1156,971,47,54,71,193,90,23,2902,0
