Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,59,1817,1091,49,66,87,187,150,16,1694,0
65.24,58,1790,1087,48,65,86,187,149,16,1711,0
65.3,58,1773,1084,48,65,86,186,147,16,1736,0
65.36,58,1758,1079,47,64,85,186,146,16,1712,0
65.31,58,1744,1077,47,64,85,186,146,16,1707,0
65.34,57,1734,1074,47,64,84,185,145,15,1706,0
65.32,57,1721,1075,46,63,84,184,144,15,1701,0
65.28,57,1715,1071,46,63,84,184,143,16,1713,0
65.33,57,1707,1070,46,63,83,184,143,15,1705,0
65.35,57,1702,1068,46,63,83,184,143,15,1711,0
65.31,57,1696,1067,46,62,83,183,142,15,1712,0
65.37,57,1690,1062,46,62,83,183,142,15,1697,0
65.32,56,1677,1061,45,62,83,182,141,15,1691,0
65.33,56,1669,1055,45,62,82,182,141,15,1677,0
65.32,56,1664,1053,45,61,82,181,140,15,1672,0
65.36,56,1661,1051,45,61,82,181,140,15,1684,0
65.39,56,1657,1049,45,61,82,181,139,15,1665,0
65.38,56,1655,1046,44,61,81,181,139,15,1647,0
65.36,56,1648,1048,44,61,81,181,139,15,1651,0
65.41,55,1647,1046,44,61,81,180,139,15,1651,0
65.4,55,1638,1043,44,60,81,180,138,15,1635,0
65.4,55,1634,1040,44,60,81,180,137,14,1623,0
65.39,55,1633,1040,44,60,81,180,137,14,1620,0
65.35,55,1630,1038,44,60,80,179,137,14,1615,0
65.39,55,1627,1038,44,60,80,179,137,14,1617,0
65.34,55,1626,1037,44,60,80,179,136,14,1613,0
65.37,55,1622,1036,43,60,80,179,136,14,1610,0
65.32,55,1620,1036,43,60,80,179,136,14,1609,0
65.37,55,1619,1036,43,60,80,179,136,14,1609,0
65.4,55,1617,1035,44,60,80,179,136,14,1607,0
65.37,55,1615,1035,43,59,80,178,136,14,1602,0
65.35,55,1614,1034,43,59,80,178,136,14,1601,0
65.35,55,1613,1034,43,59,80,178,135,14,1601,0
65.33,55,1611,1034,43,59,80,178,135,14,1600,0
65.42,55,1611,1034,43,59,80,178,135,14,1600,0
65.4,55,1609,1034,43,59,80,178,135,14,1599,0
65.4,55,1609,1034,43,59,80,178,135,14,1599,0
65.4,55,1609,1034,44,59,80,178,135,14,1600,0
65.37,55,1608,1034,44,59,79,178,135,14,1599,0
65.37,55,1607,1034,44,59,79,178,135,14,1598,0
65.36,55,1606,1033,43,59,79,178,135,14,1598,0
65.42,55,1605,1034,43,59,79,178,135,14,1598,0
65.36,55,1605,1034,44,59,79,178,135,14,1599,0
65.37,55,1604,1034,43,59,79,178,135,14,1598,0
65.39,55,1604,1034,43,59,79,178,135,14,1598,0
