Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.48,26,312,280,31,30,25,47,25,10,355,0
65.33,26,307,278,30,29,24,47,25,10,356,0
65.48,26,302,277,30,29,24,46,24,10,355,0
65.44,25,298,275,29,29,24,46,24,10,355,0
65.56,25,295,274,29,28,23,45,24,10,354,0
65.5,25,292,273,29,28,23,45,24,10,353,0
65.45,25,290,272,29,28,23,45,24,10,353,0
65.45,25,288,272,29,28,23,45,24,10,353,0
65.48,25,287,271,28,27,23,45,24,10,351,0
65.49,25,286,271,28,27,23,45,24,10,352,0
65.48,25,284,270,28,27,23,45,24,10,352,0
65.54,24,283,269,28,27,23,44,24,10,352,0
65.48,24,282,269,28,27,22,44,23,10,352,0
65.5,24,281,269,28,27,22,44,23,10,352,0
65.55,24,280,269,28,27,22,44,23,10,351,0
65.56,24,280,268,28,27,22,44,23,10,351,0
65.54,24,279,268,28,27,22,44,23,10,351,0
65.59,24,278,268,28,27,22,44,23,10,351,0
65.58,24,277,267,28,27,22,44,23,10,351,0
65.58,24,276,267,27,26,22,44,23,10,351,0
65.6,24,276,267,27,26,22,44,23,10,351,0
65.58,24,276,267,27,26,22,44,23,10,352,0
65.57,24,275,267,27,26,22,44,23,10,352,0
65.61,24,275,267,27,26,22,44,23,10,352,0
65.6,24,275,267,27,26,22,44,23,10,352,0
65.63,24,274,267,27,26,22,44,23,10,351,0
65.54,24,274,267,27,26,22,44,23,9,351,0
65.56,24,273,266,27,26,22,44,23,10,351,0
65.54,24,273,266,27,26,22,43,23,9,351,0
65.5,24,273,266,27,26,22,43,23,9,351,0
65.53,24,272,266,27,26,22,43,23,10,351,0
65.53,24,272,266,27,26,22,43,23,10,351,0
65.52,24,272,266,27,26,22,43,23,9,351,0
65.55,24,272,266,27,26,22,43,23,9,351,0
65.56,24,272,266,27,26,22,43,23,9,351,0
65.55,24,272,266,27,26,22,43,23,9,351,0
65.5,24,271,266,27,26,22,43,23,9,351,0
65.52,24,271,266,27,26,21,43,23,9,350,0
65.54,24,271,266,27,26,21,43,23,9,350,0
65.52,24,270,266,26,26,21,43,23,9,350,0
65.54,24,270,266,26,26,21,43,23,9,350,0
65.55,24,270,266,26,25,21,43,23,9,350,0
65.53,24,270,265,26,25,21,43,23,9,350,0
65.54,24,270,265,26,25,21,43,23,9,350,0
65.49,24,269,265,26,25,21,43,23,9,350,0
