Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.36,25,292,272,31,29,24,44,25,10,344,0
65.35,25,287,270,31,29,24,44,25,10,344,0
65.43,25,283,269,30,28,24,43,25,10,344,0
65.46,24,280,268,30,28,24,43,25,10,343,0
65.48,24,276,267,30,28,23,43,24,10,342,0
65.53,24,274,267,30,28,23,43,24,10,342,0
65.48,24,272,266,29,27,23,42,24,10,341,0
65.47,24,270,266,29,27,23,42,24,10,340,0
65.5,24,268,266,29,27,23,42,24,9,339,0
65.47,24,266,265,29,27,23,42,24,9,339,0
65.48,24,265,264,29,27,23,42,24,9,338,0
65.47,23,264,264,29,26,23,41,24,9,338,0
65.53,23,262,264,28,26,22,41,24,9,337,0
65.47,23,261,264,28,26,22,41,24,9,337,0
65.52,23,260,264,28,26,22,41,24,9,336,0
65.5,23,260,264,28,26,22,41,24,9,337,0
65.54,23,259,263,28,26,22,41,24,9,336,0
65.52,23,258,263,28,26,22,41,24,9,336,0
65.54,23,257,263,28,26,22,41,24,9,336,0
65.54,23,257,263,28,26,22,41,24,9,336,0
65.56,23,256,263,28,26,22,41,24,9,335,0
65.51,23,256,263,28,26,22,41,24,9,335,0
65.55,23,255,263,28,26,22,41,23,9,335,0
65.55,23,255,263,27,26,22,41,23,9,335,0
65.54,23,255,262,27,25,22,40,23,9,335,0
65.53,23,254,262,27,25,22,40,23,9,335,0
65.57,23,254,262,27,25,22,40,23,9,335,0
65.53,23,253,262,27,25,22,40,23,9,335,0
65.58,23,253,262,27,25,22,40,23,9,334,0
65.54,23,253,262,27,25,22,40,23,9,334,0
65.5,23,252,262,27,25,21,40,23,9,334,0
65.55,23,252,262,27,25,21,40,23,9,334,0
65.5,23,252,262,27,25,21,40,23,9,334,0
65.54,23,252,262,27,25,21,40,23,9,334,0
65.52,23,251,262,27,25,21,40,23,9,333,0
65.57,23,251,262,27,25,21,40,23,9,334,0
65.57,23,251,262,27,25,21,40,23,9,333,0
65.6,23,251,261,27,25,21,40,23,9,333,0
65.56,23,250,261,27,25,21,40,23,9,333,0
65.55,23,250,261,27,25,21,40,23,9,333,0
65.59,23,250,261,27,25,21,40,23,9,333,0
65.59,23,250,261,27,25,21,40,23,9,333,0
65.6,23,249,261,27,25,21,40,23,9,333,0
65.6,23,249,261,27,25,21,40,23,9,332,0
65.57,22,249,261,27,25,21,40,23,9,332,0
