Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.46,25,279,280,31,29,24,45,25,10,377,0
65.38,25,274,277,31,29,24,45,25,10,376,0
65.5,24,270,278,31,28,24,44,25,10,372,0
65.49,24,268,277,30,28,23,44,25,10,372,0
65.61,25,274,280,30,28,24,45,25,10,372,0
65.51,24,270,278,30,28,23,44,25,10,366,0
65.48,24,266,276,30,28,23,44,25,10,354,0
65.53,24,264,275,30,28,23,43,25,10,353,0
65.57,24,262,276,30,27,23,43,25,10,354,0
65.53,23,262,274,30,27,23,43,24,10,353,0
65.48,23,261,275,30,27,23,43,24,10,353,0
65.54,23,259,274,29,27,22,43,24,10,352,0
65.52,23,258,274,29,27,22,43,24,10,349,0
65.51,23,253,272,29,26,22,42,24,10,344,0
65.55,23,254,272,29,26,22,42,24,10,346,0
65.57,23,253,273,29,26,22,42,24,10,347,0
65.55,23,253,273,29,26,22,42,24,10,347,0
65.57,23,252,272,29,26,22,42,24,10,346,0
65.59,23,252,272,29,26,22,42,24,10,345,0
65.57,23,252,272,28,26,22,42,24,10,346,0
65.55,23,251,272,28,26,22,42,24,10,345,0
65.58,23,251,272,28,26,22,42,24,10,346,0
65.6,23,250,271,28,26,22,42,24,10,345,0
65.47,23,250,272,28,26,22,42,24,10,346,0
65.53,22,249,271,28,26,21,42,24,10,345,0
65.56,23,250,271,28,26,21,42,24,10,345,0
65.53,22,245,268,28,25,21,41,23,9,335,0
65.53,22,245,268,28,25,21,41,24,10,337,0
65.55,22,245,268,28,25,21,41,24,10,337,0
65.52,22,245,268,28,25,21,41,24,10,338,0
65.49,22,245,269,28,25,21,41,23,10,337,0
65.58,22,245,268,28,25,21,41,23,10,337,0
65.6,22,244,267,28,25,21,41,23,9,335,0
65.58,22,244,269,27,25,21,41,23,10,337,0
65.6,22,245,269,27,25,21,41,23,9,338,0
65.51,22,244,268,27,25,21,41,23,9,336,0
65.54,22,243,268,27,25,21,41,23,9,336,0
65.5,22,244,268,27,25,21,41,23,9,337,0
65.49,22,244,268,27,25,21,41,23,9,338,0
65.56,22,244,268,27,25,21,41,23,9,337,0
65.57,22,243,268,27,25,21,41,23,9,337,0
65.51,22,244,268,27,25,21,41,23,9,338,0
65.56,22,243,268,27,25,21,41,23,9,337,0
65.56,22,244,268,27,25,21,41,23,9,338,0
65.57,22,243,268,27,25,21,41,23,9,338,0
