,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,13,67,37,30,43,54,41,5.0,43.06666666666667,0.8433335063282286
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,24,108,59,49,71,89,65,5.0,69.55555555555556,1.4900331649983087
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,13,64,30,34,39,49,36,5.0,37.53333333333333,0.7582220234361472
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,17,74,42,32,48,60,43,6.0,46.355555555555554,0.9688392521684079
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,13,66,32,34,42,51,38,6.0,39.888888888888886,0.7852379746548976
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,11,66,38,28,48,54,43,11.0,45.0,0.6648397538892254
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,14,85,48,37,57,68,54,5.0,55.666666666666664,0.7830155032682953
7,1d442680-947c-49d6-819d-da83bc717e25,599,14,63,30,33,38,48,34,7.0,36.577777777777776,0.8107297840544092
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,15,95,55,40,66,77,62,5.0,64.73333333333333,0.8550866801461439
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,11,81,49,32,58,64,53,8.0,56.6,0.5077329474017347
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,13,70,37,33,48,55,42,7.0,44.6,0.8088124687220102
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,17,69,33,36,42,55,38,10.0,41.2,1.110693904660799
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,14,91,55,36,67,76,62,6.0,64.86666666666666,0.873562908342226
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,11,62,32,30,41,48,37,5.0,38.977777777777774,0.6029583294674552
14,493e0288-8d0e-4f6f-a7da-6d1f334d78e7,602,13,68,36,32,49,55,42,11.0,45.355555555555554,0.7402486151239103
15,4ddaaa5d-1e1a-4262-a50b-15a2d485df55,599,19,75,32,43,45,58,39,8.0,42.13333333333333,1.1658110032029754
16,518fe108-0973-4370-805d-32b76b018387,599,10,60,28,32,40,45,35,18.0,36.577777777777776,0.5763594024040586
17,523ca906-8a4a-4ac7-b269-27d29fc0148a,585,18,104,63,41,75,88,70,10.0,73.91111111111111,0.969819892034991
18,52b510de-a47a-46da-9153-790d64e90ac1,599,18,70,29,41,39,53,35,10.0,37.71111111111111,1.1247545985977396
19,53052f32-13d3-44f1-9e68-a4c89c5238d7,591,10,79,49,30,55,63,53,10.0,54.62222222222222,0.5212814401105703
20,59799041-5fa8-41b8-9a24-c8af9795ed6e,585,21,114,64,50,80,93,72,11.0,76.37777777777778,1.2595091409716161
21,5a481eef-2c5e-47c1-b7bb-fc80f36fc250,588,9,67,42,25,50,55,46,6.0,47.577777777777776,0.5299620238634617
22,60fded9e-c28d-46b4-acf3-9d2e8f65ebb1,591,14,84,49,35,54,67,53,14.0,55.17777777777778,0.7669888479089835
