Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,91,1259,2304,989,368,187,224,147,47,2391,0
60.04,91,1258,2286,978,365,185,223,146,46,2382,0
60.25,90,1257,2268,967,361,184,223,145,46,2373,0
60.45,90,1256,2252,957,358,183,222,145,46,2365,0
60.65,90,1256,2236,947,355,182,221,144,45,2357,0
60.83,89,1255,2219,936,351,180,220,144,45,2348,0
61.05,89,1254,2203,926,348,179,220,143,45,2341,0
61.24,89,1252,2186,916,345,178,219,142,44,2332,0
61.44,88,1251,2172,907,343,177,218,142,44,2326,0
61.63,88,1251,2155,897,339,175,217,141,44,2317,0
61.84,87,1249,2139,887,336,174,216,140,43,2310,0
62.06,87,1248,2123,878,333,173,216,140,43,2303,0
62.26,87,1248,2107,868,330,172,215,139,43,2295,0
62.44,86,1247,2093,859,327,171,214,139,43,2289,0
62.64,86,1246,2077,850,323,170,214,138,42,2282,0
62.85,86,1246,2062,841,320,169,213,137,42,2275,0
63.05,85,1245,2048,832,317,168,212,137,42,2268,0
63.27,85,1244,2033,823,314,166,212,136,41,2261,0
63.48,85,1243,2018,815,312,165,211,136,41,2254,0
63.68,84,1242,2004,807,309,164,210,135,41,2247,0
63.87,84,1242,1991,799,306,163,210,135,41,2241,0
64.06,84,1241,1977,790,303,162,209,134,40,2235,0
64.28,84,1241,1964,783,301,161,208,134,40,2228,0
64.48,83,1240,1951,776,298,160,208,133,40,2222,0
64.68,83,1239,1938,768,296,159,207,133,40,2216,0
64.9,83,1238,1925,761,293,158,207,132,39,2210,0
65.1,82,1237,1912,753,291,158,206,132,39,2203,0
65.31,82,1237,1901,746,288,157,206,131,39,2198,0
65.51,82,1236,1888,739,286,156,205,131,39,2192,0
65.72,82,1236,1877,732,283,155,205,130,38,2187,0
65.92,81,1235,1866,725,281,154,204,130,38,2182,0
66.12,81,1234,1854,718,279,153,204,130,38,2177,0
66.31,81,1234,1844,712,277,153,203,129,38,2172,0
66.53,81,1233,1832,705,274,152,202,129,38,2166,0
66.73,80,1232,1821,698,272,151,202,128,37,2160,0
66.96,80,1232,1811,692,270,150,201,128,37,2155,0
67.18,80,1231,1801,686,268,149,201,128,37,2151,0
67.35,80,1230,1791,680,266,149,201,127,37,2146,0
67.55,80,1230,1782,674,264,148,200,127,37,2141,0
67.75,79,1230,1771,668,262,147,200,126,36,2136,0
67.95,79,1229,1762,662,260,146,199,126,36,2131,0
68.15,79,1228,1751,656,258,146,199,126,36,2126,0
68.37,79,1227,1740,650,256,145,198,125,36,2121,0
68.59,78,1227,1730,644,254,144,198,125,36,2116,0
68.79,78,1226,1720,638,252,143,197,124,35,2111,0
68.99,78,1226,1711,632,250,143,197,124,35,2106,0
69.18,78,1225,1701,626,248,142,196,124,35,2102,0
69.38,77,1224,1691,620,246,141,196,123,35,2097,0
69.59,77,1223,1682,615,244,140,195,123,35,2092,0
69.8,77,1223,1671,609,242,140,195,123,34,2087,0
70.0,77,1222,1662,603,240,139,194,122,34,2083,0
70.19,77,1222,1653,597,238,138,194,122,34,2079,0
70.4,76,1221,1643,592,236,138,194,121,34,2073,0
70.59,76,1221,1633,586,234,137,193,121,34,2069,0
70.82,76,1220,1624,580,232,136,193,121,33,2064,0
71.03,76,1220,1615,575,230,136,192,120,33,2060,0
71.23,76,1219,1606,570,229,135,192,120,33,2056,0
