Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.85,74,463,2525,1271,443,182,164,115,53,2116,1
60.06,74,464,2518,1267,442,182,164,115,53,2117,1
60.27,74,463,2502,1257,438,181,163,114,52,2109,1
60.45,74,462,2483,1246,435,179,162,114,52,2100,1
60.66,73,461,2465,1235,431,178,162,113,52,2091,1
60.85,73,460,2444,1223,428,177,161,112,51,2081,1
61.07,72,459,2426,1212,424,175,160,112,51,2072,1
61.27,72,458,2407,1200,420,174,159,111,50,2063,1
61.47,71,458,2389,1189,416,173,158,110,50,2053,1
61.66,71,456,2370,1177,413,171,157,110,50,2044,1
61.88,71,456,2351,1165,409,170,156,109,49,2034,1
62.09,70,455,2333,1154,405,168,156,108,49,2026,1
62.28,70,454,2315,1143,402,167,155,108,49,2017,1
62.47,70,453,2296,1132,398,166,154,107,48,2009,1
62.67,69,452,2278,1121,394,164,153,106,48,2000,1
62.89,69,450,2259,1109,390,163,152,106,48,1991,1
63.08,68,449,2241,1099,387,162,151,105,47,1983,1
63.29,68,448,2223,1088,383,160,151,104,47,1974,1
63.51,68,448,2205,1078,379,159,150,104,47,1966,1
63.71,67,447,2187,1067,376,158,149,103,46,1958,1
63.91,67,446,2170,1057,373,157,148,102,46,1949,1
64.1,66,445,2154,1048,370,155,148,102,46,1942,1
64.31,66,444,2137,1038,366,154,147,101,45,1933,1
64.52,66,443,2121,1028,363,153,146,101,45,1926,1
64.72,65,442,2105,1018,360,152,146,100,45,1917,1
64.93,65,441,2088,1009,357,151,145,100,45,1909,1
65.13,65,441,2073,999,354,150,144,99,44,1902,1
65.36,64,440,2058,990,351,148,144,99,44,1894,1
65.55,64,439,2044,982,348,147,143,98,44,1887,1
65.75,64,438,2029,973,345,146,142,98,43,1880,1
65.95,63,437,2014,964,342,145,142,97,43,1872,1
66.17,63,437,2000,955,340,144,141,96,43,1865,1
66.36,63,436,1986,947,337,143,140,96,43,1858,1
66.56,62,435,1973,939,334,142,140,95,42,1852,1
66.78,62,434,1958,930,331,141,139,95,42,1844,1
67.0,62,434,1946,922,330,140,139,95,42,1838,1
67.21,62,433,1933,915,327,139,138,94,42,1832,1
67.39,61,432,1921,908,325,139,137,94,41,1826,1
67.59,61,432,1909,900,323,138,137,93,41,1819,1
67.8,61,431,1896,892,320,137,136,93,41,1813,1
68.02,60,430,1884,885,318,136,136,92,41,1807,1
68.21,60,430,1872,878,315,135,135,92,40,1801,1
68.4,60,429,1861,872,313,134,135,91,40,1795,1
68.6,60,428,1848,864,310,133,134,91,40,1789,1
68.83,59,427,1835,856,308,132,134,91,40,1781,1
69.04,59,427,1823,849,306,132,133,90,40,1776,1
69.24,59,426,1813,842,303,131,132,90,39,1770,1
69.43,59,425,1802,835,301,130,132,89,39,1765,1
69.63,58,425,1790,828,299,129,131,89,39,1759,1
69.84,58,424,1778,821,296,128,131,88,39,1753,1
70.06,58,423,1766,813,294,127,130,88,38,1746,1
70.24,58,423,1754,806,292,127,130,88,38,1741,1
70.45,57,422,1742,799,289,126,129,87,38,1735,1
70.65,57,422,1732,792,287,125,129,87,38,1730,1
70.88,57,421,1720,785,285,124,128,86,38,1724,1
71.07,57,420,1710,779,283,123,128,86,37,1718,1
71.26,57,420,1699,773,281,123,127,86,37,1713,1
71.5,56,419,1687,766,279,122,127,85,37,1708,1
71.72,56,418,1675,758,276,121,126,85,37,1701,1
71.95,56,418,1664,751,274,120,126,84,36,1695,1
72.13,56,417,1653,745,272,119,125,84,36,1689,1
72.32,55,416,1643,738,270,119,125,84,36,1683,1
72.53,55,416,1631,732,267,119,124,83,36,1678,1
72.75,55,415,1621,725,265,117,124,83,36,1672,1
72.96,54,414,1609,719,263,117,123,82,36,1667,1
73.15,54,414,1600,712,261,116,123,82,35,1661,1
73.35,54,414,1590,707,259,116,122,82,35,1657,1
73.55,54,413,1580,701,257,115,122,81,35,1651,1
73.77,54,412,1569,694,255,114,121,81,35,1645,1
73.96,53,411,1559,688,253,114,121,81,35,1640,1
74.17,53,411,1549,682,251,113,120,80,34,1635,1
74.39,53,410,1539,676,249,112,120,80,34,1629,1
74.58,53,410,1528,669,247,111,119,79,34,1624,1
74.8,53,409,1518,663,245,111,119,79,34,1619,1
75.01,52,408,1507,656,243,110,118,79,33,1613,1
75.23,52,408,1497,650,241,109,118,78,33,1608,1
75.41,52,407,1486,644,239,108,117,78,33,1602,1
75.61,52,407,1477,638,237,108,117,78,33,1597,1
75.8,51,406,1467,633,235,107,116,77,33,1592,1
76.02,51,405,1456,626,233,106,116,77,33,1585,1
76.25,51,405,1446,621,231,105,116,76,32,1581,1
76.44,51,404,1437,615,229,105,115,76,32,1576,1
76.63,51,403,1427,609,227,104,115,76,32,1571,1
76.82,50,403,1417,603,225,103,114,75,32,1565,1
77.04,50,402,1407,597,223,102,114,75,32,1560,1
