Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,69,544,1999,858,313,138,142,104,44,2291,0
60.06,69,543,1983,850,310,137,142,103,44,2285,0
60.24,69,543,1968,842,307,136,141,103,43,2278,0
60.46,68,542,1953,834,305,135,140,102,43,2273,0
60.66,68,541,1938,826,302,134,139,102,43,2267,0
60.86,68,540,1923,818,299,133,139,101,43,2261,0
61.05,68,540,1909,811,297,132,138,101,42,2255,0
61.25,67,539,1895,802,294,131,137,100,42,2250,0
61.45,67,538,1879,794,291,130,137,99,42,2243,0
61.65,67,537,1864,785,288,129,136,99,41,2238,0
61.86,66,536,1848,778,285,128,135,98,41,2231,0
62.08,66,536,1833,769,283,127,135,98,41,2226,0
62.27,66,535,1818,761,280,126,134,97,41,2220,0
62.47,65,534,1803,753,277,125,133,96,40,2214,0
62.67,65,533,1788,745,274,124,133,96,40,2209,0
62.87,65,532,1773,737,271,123,132,95,40,2203,0
63.06,64,532,1758,729,269,122,131,95,40,2198,0
63.27,64,531,1742,721,266,121,131,94,40,2192,0
63.49,64,530,1727,713,263,120,130,94,39,2187,0
63.7,64,529,1713,705,261,120,129,93,39,2182,0
63.89,63,529,1699,698,258,119,129,92,39,2176,0
64.09,63,528,1685,691,256,118,128,92,39,2171,0
64.32,63,527,1672,683,253,117,127,92,38,2166,0
64.52,62,526,1659,677,251,116,127,91,38,2161,0
64.71,62,526,1646,670,249,115,126,91,38,2156,0
64.9,62,525,1633,663,247,115,126,90,38,2152,0
65.12,62,525,1620,656,244,114,125,90,38,2147,0
65.35,61,524,1608,650,242,113,125,89,37,2143,0
65.56,61,523,1597,644,240,112,124,89,37,2139,0
65.72,61,523,1586,638,238,111,124,88,37,2134,0
65.91,61,522,1575,632,236,111,123,88,37,2130,0
66.15,61,521,1563,626,234,110,123,87,37,2126,0
66.37,60,521,1554,620,232,109,122,87,36,2122,0
66.56,60,520,1544,614,230,109,122,87,36,2117,0
66.76,60,520,1534,609,228,108,121,86,36,2114,0
66.98,60,519,1523,603,227,107,121,86,36,2110,0
67.18,60,519,1514,598,225,107,120,85,36,2107,0
67.38,59,518,1504,593,223,106,120,85,36,2103,0
67.58,59,517,1495,588,221,106,119,85,35,2100,0
67.79,59,517,1485,583,220,105,119,84,35,2095,0
68.0,59,516,1476,578,218,105,119,84,35,2092,0
68.19,59,516,1466,573,216,104,118,84,35,2089,0
68.4,58,515,1457,567,214,103,118,83,35,2085,0
68.61,58,514,1447,562,213,103,117,83,35,2081,0
68.82,58,514,1439,558,211,102,117,83,34,2078,0
69.01,58,513,1430,553,210,102,117,82,34,2074,0
69.19,58,513,1422,549,208,101,116,82,34,2072,0
69.4,58,512,1413,544,206,101,116,82,34,2068,0
69.61,57,512,1403,540,205,100,115,81,34,2064,0
69.81,57,511,1395,535,203,99,115,81,34,2061,0
70.01,57,510,1385,530,201,99,114,81,34,2057,0
70.21,57,510,1377,526,200,98,114,80,33,2054,0
70.42,57,509,1368,521,198,98,114,80,33,2050,0
70.64,57,509,1359,516,197,97,113,80,33,2046,0
70.85,56,509,1352,512,195,97,113,79,33,2044,0
71.05,56,508,1344,508,194,96,113,79,33,2042,0
71.21,56,508,1337,504,193,96,112,79,33,2039,0
71.43,56,507,1327,499,191,95,112,78,33,2035,0
71.69,56,506,1318,494,189,95,111,78,32,2032,0
71.89,56,506,1310,490,188,94,111,78,32,2028,0
72.07,55,505,1303,486,186,94,111,78,32,2026,0
72.26,55,505,1296,481,185,93,110,77,32,2023,0
72.47,55,504,1286,477,184,93,110,77,32,2019,0
72.69,55,504,1278,472,182,92,110,77,32,2014,0
72.91,55,503,1271,469,181,92,109,76,32,2013,0
73.11,55,503,1264,464,179,91,109,76,32,2010,0
73.31,54,502,1256,461,178,91,109,76,31,2007,0
73.51,54,502,1249,456,176,90,108,75,31,2004,0
73.7,54,501,1241,452,175,90,108,75,31,2001,0
73.93,54,501,1233,448,174,89,108,75,31,1997,0
74.15,54,500,1226,444,172,89,107,75,31,1994,0
74.34,54,500,1218,440,171,89,107,74,31,1990,0
74.54,54,500,1211,436,170,88,107,74,31,1988,0
74.74,53,499,1204,432,168,88,106,74,30,1984,0
74.93,53,499,1196,428,167,87,106,73,30,1980,0
75.17,53,498,1189,424,166,87,106,73,30,1977,0
75.39,53,498,1182,420,164,86,105,73,30,1974,0
75.56,53,497,1175,417,163,86,105,73,30,1971,0
75.74,53,497,1168,413,162,86,104,72,30,1968,0
75.96,53,496,1160,408,160,86,104,72,30,1964,0
76.18,52,496,1153,405,159,84,104,72,30,1962,0
