Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,103,1390,2717,1209,445,219,249,167,59,3061,0
60.03,102,1389,2698,1198,441,218,248,166,58,3051,0
60.22,102,1388,2680,1186,437,216,247,165,58,3043,0
60.42,101,1387,2660,1174,433,215,246,165,58,3032,0
60.63,101,1386,2639,1162,429,213,245,164,57,3021,0
60.83,101,1385,2620,1150,425,212,244,163,57,3013,0
61.02,101,1384,2600,1138,421,210,243,162,56,3004,0
61.23,101,1383,2581,1126,417,209,242,162,56,2994,0
61.44,99,1382,2561,1114,413,207,242,161,56,2985,0
61.63,99,1381,2542,1102,409,206,241,160,55,2976,0
61.83,98,1380,2524,1091,405,205,240,159,55,2967,0
62.03,98,1379,2505,1079,401,203,239,159,55,2958,0
62.24,98,1378,2486,1068,398,202,238,158,54,2949,0
62.44,98,1377,2466,1056,394,200,237,157,54,2939,0
62.64,98,1376,2448,1045,390,199,236,156,53,2931,0
62.85,97,1375,2429,1034,386,198,235,156,53,2921,0
63.04,97,1374,2412,1024,383,196,235,155,53,2913,0
63.25,97,1373,2394,1013,379,195,234,154,52,2904,0
63.45,96,1373,2378,1003,376,194,233,154,52,2897,0
63.66,96,1372,2360,993,373,192,232,153,52,2888,0
63.86,95,1371,2343,982,369,191,232,153,51,2880,0
64.06,95,1370,2326,973,366,190,231,152,51,2872,0
64.26,95,1370,2311,963,363,189,230,151,51,2864,0
64.48,94,1369,2295,953,360,187,229,151,50,2856,0
64.69,94,1368,2277,943,356,186,229,150,50,2848,0
64.89,93,1367,2261,933,353,185,228,149,50,2840,0
65.11,93,1367,2245,923,350,184,227,149,49,2833,0
65.32,93,1366,2230,914,348,183,227,148,49,2826,0
65.52,92,1365,2216,906,345,182,226,148,49,2819,0
65.69,92,1364,2202,898,342,181,225,147,49,2813,0
65.89,92,1364,2187,889,339,180,225,147,48,2805,0
66.12,92,1363,2173,880,336,179,224,146,48,2799,0
66.32,91,1363,2159,872,333,178,223,146,48,2792,0
66.52,91,1362,2146,864,331,177,223,145,47,2786,0
66.71,91,1362,2132,856,328,176,222,145,47,2779,0
66.95,90,1361,2119,848,325,175,221,144,47,2772,0
67.17,90,1360,2106,841,323,174,221,144,47,2767,0
67.35,90,1360,2095,834,321,173,220,143,46,2762,0
67.52,90,1359,2083,827,318,172,220,143,46,2756,0
67.75,89,1359,2071,819,316,171,219,142,46,2750,0
67.97,89,1358,2059,811,313,170,219,142,46,2743,0
68.17,89,1358,2046,804,311,169,218,141,45,2738,0
68.37,89,1357,2034,797,308,169,218,141,45,2731,0
68.56,88,1356,2022,790,306,168,217,140,45,2726,0
68.76,88,1356,2011,782,303,167,216,140,45,2720,0
68.97,88,1355,1998,776,301,166,216,139,44,2714,0
