Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,68,520,1972,864,314,136,140,104,43,2222,0
60.04,68,520,1957,856,311,135,140,103,42,2218,0
60.25,68,518,1941,848,308,134,139,103,42,2211,0
60.45,67,518,1925,839,306,133,138,102,42,2203,0
60.66,67,517,1911,831,303,132,137,101,41,2197,0
60.85,67,516,1896,822,300,131,137,101,41,2191,0
61.03,66,515,1881,814,297,130,136,100,41,2184,0
61.24,66,514,1864,805,294,129,135,99,41,2177,0
61.44,66,513,1848,796,291,128,135,99,40,2170,0
61.64,65,512,1832,787,288,127,134,98,40,2163,0
61.86,65,512,1824,782,287,127,133,98,41,2183,0
62.07,65,511,1809,775,284,126,132,97,40,2177,0
62.25,65,510,1794,767,281,125,132,97,40,2171,0
62.45,64,509,1779,759,278,124,131,96,40,2165,0
62.66,64,508,1763,751,275,123,130,95,40,2159,0
62.88,64,507,1749,744,273,122,130,95,39,2152,0
63.06,63,506,1734,736,270,121,129,94,39,2147,0
63.27,63,506,1721,729,268,120,129,94,39,2141,0
63.47,63,505,1708,722,266,119,128,93,39,2135,0
63.68,63,504,1695,716,263,118,127,93,38,2130,0
63.87,62,503,1683,709,261,118,127,92,38,2125,0
64.11,62,502,1669,701,259,117,126,92,38,2119,0
64.33,62,502,1657,695,257,116,126,91,38,2114,0
64.48,62,501,1647,690,255,115,125,91,38,2109,0
64.7,61,500,1634,683,253,115,125,91,37,2103,0
64.91,61,499,1622,676,250,114,124,90,37,2098,0
65.12,61,499,1611,670,248,113,124,90,37,2093,0
65.35,61,498,1600,664,246,112,123,89,37,2087,0
65.55,60,498,1589,658,244,112,122,89,37,2083,0
65.73,60,497,1579,653,242,111,122,88,36,2079,0
65.92,60,496,1568,647,241,110,122,88,36,2074,0
66.14,60,496,1558,641,238,110,121,88,36,2069,0
66.34,60,495,1548,635,237,109,120,87,36,2064,0
66.54,59,494,1537,629,235,108,120,87,36,2059,0
66.77,59,493,1525,623,232,108,119,86,35,2054,0
67.01,59,493,1516,618,231,107,119,86,35,2050,0
67.21,59,493,1507,613,229,107,119,86,35,2047,0
67.37,59,492,1499,608,228,106,118,85,35,2043,0
67.56,58,491,1489,603,226,105,118,85,35,2037,0
67.76,58,491,1479,598,224,105,117,84,35,2034,0
68.0,58,490,1468,592,222,104,117,84,34,2030,0
68.21,58,490,1458,587,220,104,116,84,34,2025,0
68.42,58,489,1449,582,219,103,116,83,34,2021,0
68.6,58,489,1440,577,217,102,115,83,34,2017,0
68.8,57,488,1431,572,215,102,115,83,34,2013,0
69.01,57,488,1422,567,214,101,115,82,34,2009,0
69.21,57,487,1413,562,212,101,114,82,34,2005,0
69.4,57,486,1403,557,210,100,114,82,33,2000,0
69.6,57,486,1394,552,209,100,113,81,33,1996,0
69.83,56,485,1385,547,207,99,113,81,33,1993,0
70.02,56,485,1376,542,205,99,113,81,33,1989,0
70.21,56,484,1367,538,204,98,112,80,33,1985,0
