Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,67,536,1988,847,314,135,139,102,43,2163,0
60.03,67,535,1973,840,312,134,138,102,43,2156,0
60.24,67,535,1958,832,309,133,137,101,42,2149,0
60.44,66,534,1945,825,307,132,137,101,42,2143,0
60.65,66,533,1932,818,304,132,136,100,42,2138,0
60.85,66,532,1919,811,302,131,136,100,42,2131,0
61.03,66,532,1905,803,299,130,135,99,41,2125,0
61.24,65,531,1892,796,297,129,134,99,41,2119,0
61.43,65,530,1878,788,294,128,134,98,41,2113,0
61.65,65,529,1863,781,291,127,133,97,41,2106,0
61.87,64,528,1847,773,289,126,132,97,40,2100,0
62.07,64,527,1834,765,286,125,132,96,40,2094,0
62.25,64,527,1819,757,283,124,131,96,40,2089,0
62.44,64,526,1805,749,281,123,130,95,40,2082,0
62.66,63,525,1789,741,278,122,130,95,39,2075,0
62.87,63,524,1774,733,275,122,129,94,39,2070,0
63.08,63,523,1758,725,272,121,128,93,39,2063,0
63.27,62,523,1743,717,270,120,128,93,39,2057,0
63.5,62,522,1728,710,267,119,127,92,38,2051,0
63.7,62,521,1714,702,264,118,126,92,38,2046,0
63.88,62,520,1700,695,262,117,126,91,38,2041,0
64.08,61,519,1686,688,260,116,125,91,38,2034,0
64.29,61,519,1671,680,257,115,124,90,38,2029,0
64.51,61,518,1658,673,254,114,124,90,37,2023,0
64.71,60,517,1644,666,252,114,123,89,37,2018,0
64.9,60,517,1631,660,250,113,123,89,37,2012,0
65.11,60,516,1618,653,247,112,122,88,37,2008,0
65.35,60,515,1606,646,245,111,121,88,37,2003,0
65.53,59,514,1595,641,243,110,121,87,36,1998,0
65.71,59,514,1583,635,241,110,120,87,36,1993,0
65.94,59,513,1571,628,239,109,120,87,36,1988,0
66.16,59,512,1561,623,237,108,120,86,36,1984,0
66.35,58,512,1550,617,235,108,119,86,36,1979,0
66.55,58,511,1540,612,233,107,118,85,35,1975,0
66.73,58,510,1531,606,231,107,118,85,35,1970,0
66.97,58,510,1520,601,230,106,117,84,35,1966,0
67.21,58,510,1511,596,228,105,117,84,35,1963,0
67.38,58,509,1502,591,226,105,117,84,35,1959,0
67.56,57,509,1494,587,225,104,116,84,35,1955,0
67.78,57,508,1485,582,223,104,116,83,34,1952,0
67.98,57,508,1476,577,221,103,115,83,34,1949,0
68.18,57,507,1466,572,220,103,115,83,34,1944,0
68.39,57,507,1457,568,218,102,115,82,34,1941,0
68.61,56,506,1448,563,216,101,114,82,34,1938,0
68.83,56,506,1439,558,215,101,114,82,34,1934,0
69.01,56,505,1431,554,213,100,113,81,34,1930,0
69.2,56,505,1422,549,212,100,113,81,33,1926,0
69.38,56,504,1413,545,210,99,113,81,33,1923,0
69.59,55,504,1404,540,208,99,112,80,33,1919,0
69.81,55,503,1395,535,207,98,112,80,33,1916,0
70.03,55,503,1387,532,205,98,111,80,33,1912,0
70.21,55,502,1378,527,204,97,111,79,33,1908,0
70.39,55,502,1370,523,202,97,111,79,33,1905,0
70.6,55,501,1361,518,201,96,110,79,32,1901,0
70.83,54,501,1352,514,199,96,110,78,32,1897,0
71.05,54,500,1344,510,197,95,109,78,32,1894,0
71.23,54,500,1336,505,196,95,109,78,32,1890,0
71.46,54,499,1328,501,195,94,109,77,32,1886,0
71.66,54,499,1320,497,193,94,108,77,32,1883,0
71.87,54,498,1312,493,192,93,108,77,32,1879,0
72.06,53,498,1304,489,190,93,108,76,31,1875,0
72.27,53,498,1297,485,189,92,107,76,31,1872,0
72.47,53,497,1288,480,187,92,107,76,31,1868,0
72.66,53,497,1281,476,186,91,107,76,31,1865,0
72.9,53,496,1272,472,184,91,106,75,31,1862,0
73.11,53,496,1264,468,183,90,106,75,31,1859,0
73.31,53,496,1257,464,182,90,105,75,31,1856,0
73.49,52,496,1250,460,180,89,105,75,31,1853,0
73.69,52,495,1242,456,179,90,105,74,30,1850,0
73.9,52,495,1234,452,177,89,104,74,30,1846,0
74.15,52,494,1226,448,176,89,104,74,30,1843,0
74.33,52,494,1219,444,175,88,104,73,30,1840,0
74.51,52,494,1211,440,173,87,103,73,30,1837,0
74.7,52,493,1204,436,172,87,103,73,30,1834,0
74.91,51,493,1195,432,170,86,103,72,30,1830,0
75.17,51,492,1187,428,169,87,102,72,29,1826,0
75.37,51,492,1180,424,168,86,102,72,29,1823,0
75.56,51,492,1173,420,166,86,102,72,29,1821,0
75.74,51,491,1166,417,165,85,101,71,29,1818,0
75.96,51,490,1159,413,164,85,101,71,29,1814,0
76.17,50,490,1152,409,163,85,101,71,29,1811,0
76.37,50,490,1145,406,161,84,100,71,29,1808,0
76.59,50,489,1137,402,160,84,100,70,29,1804,0
76.76,50,488,1130,398,159,83,100,70,28,1802,0
76.97,50,488,1123,394,157,83,99,70,28,1799,0
77.19,50,488,1115,390,156,82,99,69,28,1795,0
