Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.88,69,505,2078,939,334,145,141,108,47,2530,0
60.06,69,506,2076,939,333,145,141,108,47,2539,0
60.28,69,506,2062,931,331,144,141,107,47,2535,0
60.48,69,505,2046,924,328,143,140,107,46,2529,0
60.68,68,504,2031,915,325,142,139,106,46,2523,0
60.87,68,503,2015,906,323,141,139,106,46,2516,0
61.07,67,503,1999,898,320,140,138,105,45,2510,0
61.29,67,502,1983,889,317,139,137,105,45,2503,0
61.48,67,501,1967,880,314,138,136,104,45,2496,0
61.69,67,500,1950,871,311,137,136,103,45,2489,0
61.9,66,499,1934,862,308,136,135,102,44,2483,0
62.1,66,498,1919,853,305,135,134,102,44,2476,0
62.29,66,497,1902,844,302,134,133,101,44,2470,0
62.48,65,496,1886,836,299,133,133,101,44,2463,0
62.69,65,495,1870,827,296,132,132,100,43,2457,0
62.91,65,494,1854,817,293,131,131,99,43,2451,0
63.11,64,493,1838,809,290,130,130,99,43,2444,0
63.29,64,492,1822,801,287,129,130,98,43,2437,0
63.53,64,492,1808,792,284,128,129,98,42,2432,0
63.73,63,491,1792,784,282,127,128,97,42,2427,0
63.93,63,490,1778,777,279,126,128,96,42,2420,0
64.12,63,489,1763,769,276,125,127,96,42,2415,0
64.3,62,488,1749,762,274,124,126,95,41,2410,0
64.52,62,487,1733,754,271,123,126,95,41,2403,0
64.73,62,487,1719,746,269,122,125,94,41,2398,0
64.94,61,486,1705,738,266,121,124,94,41,2393,0
65.15,61,485,1691,731,264,120,124,93,40,2387,0
65.37,61,484,1678,724,261,120,123,93,40,2382,0
65.57,61,483,1665,717,259,119,122,92,40,2377,0
65.75,60,483,1652,710,257,118,122,92,40,2371,0
65.96,60,482,1639,703,254,117,121,91,39,2366,0
66.18,60,481,1627,697,252,116,121,91,39,2361,0
66.38,60,481,1615,690,250,115,120,90,39,2357,0
66.57,59,480,1604,684,248,115,120,90,39,2353,0
66.79,59,479,1592,677,246,114,119,89,39,2349,0
67.01,59,479,1581,671,244,113,119,89,39,2345,0
67.25,59,479,1571,666,242,113,118,88,38,2341,0
