Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.36,43,451,668,198,87,62,84,56,23,1785,0
65.3,42,447,654,182,82,60,82,55,22,1748,0
65.17,42,443,652,179,81,59,82,54,22,1744,0
65.34,42,443,650,175,81,59,81,54,22,1739,0
65.38,42,441,656,175,81,58,81,54,22,1724,0
65.27,42,443,661,176,81,59,81,54,22,1727,0
65.25,41,439,661,174,80,58,80,54,22,1700,0
65.26,42,442,663,177,80,58,82,54,22,1725,0
65.26,42,440,660,173,80,58,81,54,22,1707,0
65.29,41,438,659,172,79,58,80,54,21,1697,0
65.34,42,439,663,174,80,58,82,54,22,1708,0
65.41,41,436,663,172,79,58,81,54,21,1691,0
65.27,41,434,663,172,79,58,81,54,21,1695,0
65.3,41,434,664,171,79,58,81,54,21,1687,0
65.29,41,434,666,171,79,58,81,54,21,1686,0
65.29,41,434,665,170,78,57,81,54,21,1683,0
65.32,42,436,667,171,79,58,81,54,21,1695,0
65.27,41,433,665,167,77,57,80,54,21,1662,0
65.33,41,436,667,170,78,57,81,54,21,1681,0
65.31,41,434,665,167,77,57,80,54,21,1663,0
65.33,41,436,668,169,78,57,81,54,21,1672,0
65.37,41,437,669,169,78,57,81,54,21,1671,0
65.38,41,439,669,169,78,57,81,54,21,1670,0
65.37,41,440,673,171,79,57,80,54,21,1677,0
65.34,41,440,670,169,78,57,81,54,21,1666,0
65.34,41,440,672,169,78,57,81,54,21,1665,0
65.36,41,441,673,169,78,57,81,54,21,1667,0
65.42,41,442,674,170,78,57,81,54,21,1665,0
65.37,41,442,677,171,79,57,81,54,21,1666,0
65.34,42,442,683,174,80,58,81,54,21,1668,0
65.36,41,440,689,175,80,57,81,54,21,1646,0
65.37,42,447,701,183,83,59,82,55,21,1674,0
65.43,42,448,717,191,85,60,82,56,22,1680,0
65.41,42,446,728,199,88,60,83,56,22,1677,0
65.4,43,444,761,217,94,63,84,57,22,1690,0
65.44,44,448,794,233,98,65,85,58,23,1704,0
65.41,45,450,833,255,106,67,87,60,23,1723,0
65.4,46,453,882,282,114,70,89,62,24,1744,0
65.4,47,456,932,307,123,73,91,63,25,1759,0
65.39,48,458,986,338,133,77,94,66,26,1773,0
65.45,49,462,1051,372,145,81,97,68,27,1798,0
65.45,50,465,1112,406,156,84,99,70,28,1817,0
65.35,51,470,1176,440,167,88,102,73,29,1842,0
65.35,52,472,1232,469,177,91,104,75,30,1857,0
65.35,54,477,1298,504,188,95,107,77,31,1883,0
