Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,43,526,1072,249,106,69,140,67,25,1673,1
65.2,43,516,1062,239,105,67,138,66,24,1646,1
65.31,42,508,1056,236,104,68,136,66,24,1624,1
65.3,42,501,1052,234,103,67,135,65,23,1602,1
65.36,41,493,1044,231,102,66,134,65,23,1583,1
65.34,41,489,1037,228,102,66,133,64,23,1565,1
65.35,40,483,1030,224,101,65,132,64,22,1549,1
65.35,40,475,1014,216,99,63,130,63,22,1522,1
65.36,39,473,1005,212,98,62,129,62,22,1510,1
65.34,39,471,1000,207,97,62,128,62,22,1506,1
65.36,39,468,1001,206,96,61,128,62,21,1493,1
65.36,39,468,1004,208,97,62,128,62,22,1499,1
65.37,39,466,1001,205,96,61,127,62,21,1490,1
65.38,39,465,997,205,96,61,127,62,21,1491,1
65.36,38,461,990,202,94,60,126,61,21,1477,1
65.43,38,461,989,200,94,60,126,61,21,1485,1
65.43,38,459,987,199,93,60,126,61,21,1475,1
65.4,38,459,985,199,93,60,126,61,21,1482,1
65.37,38,457,983,196,92,59,125,61,21,1474,1
65.39,38,458,982,197,93,59,125,61,21,1478,1
65.37,38,456,979,194,91,59,125,61,21,1457,1
65.4,38,455,980,196,92,59,125,61,21,1463,1
65.4,38,453,977,195,92,59,125,60,21,1454,1
65.41,38,452,974,193,91,59,124,60,21,1448,1
65.41,37,448,969,193,90,58,124,60,20,1439,1
65.43,38,449,971,194,91,59,124,60,21,1447,1
65.44,37,447,972,194,91,58,123,60,20,1438,1
65.41,37,447,971,193,90,58,123,60,20,1437,1
65.41,37,447,971,193,90,58,123,60,20,1433,1
65.43,38,449,974,195,91,59,124,60,21,1440,1
65.43,37,447,975,195,91,58,123,60,20,1430,1
65.43,37,445,979,198,92,59,123,60,20,1427,1
65.39,38,446,990,204,94,59,124,60,21,1433,1
65.47,38,446,1000,210,96,60,125,61,21,1443,1
65.46,38,446,1017,219,99,61,125,61,21,1444,1
65.44,39,445,1041,233,103,62,125,62,21,1451,1
65.46,39,447,1070,251,108,65,127,63,22,1464,1
65.48,40,448,1108,273,116,67,129,64,23,1481,1
65.37,41,450,1159,302,125,71,131,66,24,1504,1
65.42,42,451,1213,333,136,73,134,68,24,1527,1
65.39,44,453,1284,373,149,78,137,70,26,1557,1
65.37,45,455,1355,414,162,82,139,73,27,1588,1
65.38,47,459,1441,463,180,89,144,76,28,1633,1
65.35,48,461,1510,501,193,93,147,78,29,1658,1
65.36,50,463,1592,549,209,99,150,81,31,1695,1
