Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,55,630,1285,265,115,78,163,81,31,2347,1
65.21,54,627,1286,258,113,77,163,81,31,2318,1
65.28,54,620,1302,269,117,78,161,82,31,2299,1
65.38,54,609,1307,280,121,79,161,81,31,2294,1
65.29,54,604,1306,284,122,80,160,81,31,2313,1
65.37,53,600,1316,291,126,80,160,82,31,2277,1
65.35,53,594,1315,291,126,80,158,81,30,2263,1
65.33,53,590,1304,285,124,80,158,81,30,2263,1
65.37,51,582,1266,264,117,76,155,79,29,2231,1
65.38,50,578,1233,244,111,74,152,78,29,2198,1
65.35,49,565,1191,222,102,71,150,75,28,2164,1
65.37,49,565,1188,218,101,69,149,75,28,2147,1
65.33,49,559,1187,219,103,70,148,75,28,2146,1
65.34,49,558,1193,223,104,70,149,75,28,2154,1
65.42,49,555,1191,225,104,69,148,74,28,2137,1
65.4,48,550,1182,220,102,70,147,74,28,2124,1
65.36,48,551,1180,215,100,69,147,74,27,2116,1
65.38,48,549,1179,218,102,69,147,74,27,2110,1
65.38,48,546,1175,216,101,69,146,73,27,2103,1
65.46,48,548,1175,216,102,69,146,73,27,2124,1
65.42,48,546,1171,214,100,68,146,73,27,2110,1
65.43,48,545,1170,213,99,68,145,73,27,2098,1
65.29,48,540,1169,215,101,69,148,73,27,2141,1
65.41,48,542,1170,215,100,68,148,73,27,2131,1
65.4,47,538,1164,214,100,67,147,73,27,2108,1
65.38,47,534,1158,210,99,67,146,72,27,2075,1
65.44,47,532,1157,212,100,67,145,72,27,2077,1
65.39,47,523,1154,219,101,68,146,72,27,2088,1
65.35,46,524,1156,219,101,68,145,72,26,2037,1
65.35,47,526,1162,224,101,68,146,72,27,2051,1
65.4,47,525,1183,233,104,69,147,73,27,2069,1
65.38,48,527,1196,243,107,71,148,73,27,2089,1
65.36,48,528,1216,254,111,71,148,74,27,2090,1
65.37,49,531,1249,276,118,73,151,75,28,2108,1
65.38,50,532,1287,299,126,76,152,77,29,2123,1
65.4,51,532,1334,327,135,79,154,78,29,2144,1
65.42,52,535,1402,366,147,83,157,80,31,2169,1
65.43,54,539,1473,405,160,88,160,83,32,2212,1
65.39,55,543,1551,450,174,93,164,85,33,2238,1
65.44,57,542,1630,498,190,99,167,88,34,2271,1
65.37,59,546,1714,547,206,104,171,91,36,2305,1
65.39,60,541,1785,592,221,109,173,93,37,2311,1
65.38,62,545,1874,645,235,114,176,96,38,2348,1
65.4,64,550,1973,695,255,122,182,100,40,2409,1
65.41,66,545,2050,746,271,127,184,102,41,2419,1
