Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,68,1297,1068,255,125,105,184,105,30,2447,0
65.15,68,1286,1058,245,124,104,182,104,29,2410,0
65.24,67,1266,1041,234,120,101,180,102,29,2383,0
65.29,67,1264,1046,235,121,101,180,102,29,2385,0
65.4,67,1257,1043,232,120,101,179,102,29,2378,0
65.36,66,1244,1036,228,118,100,177,101,28,2347,0
65.38,66,1238,1031,227,117,100,177,101,28,2348,0
65.41,66,1232,1031,225,116,99,176,101,28,2331,0
65.43,66,1227,1029,227,117,99,176,101,28,2331,0
65.41,66,1223,1028,227,116,99,175,100,28,2324,0
65.4,67,1232,1045,227,117,100,178,102,30,2384,0
65.37,65,1214,1025,224,115,98,174,100,28,2300,0
65.43,66,1214,1027,226,115,98,174,100,28,2316,0
65.46,65,1211,1024,223,114,98,174,100,27,2303,0
65.42,65,1216,1026,223,114,98,174,100,27,2304,0
65.37,64,1209,1022,219,113,97,172,100,27,2270,0
65.42,65,1210,1025,222,114,97,173,100,27,2286,0
65.48,65,1211,1026,223,114,98,173,100,27,2291,0
65.42,64,1206,1024,221,113,97,172,100,27,2261,0
65.48,65,1209,1025,223,114,97,173,100,27,2279,0
65.43,65,1207,1023,221,113,97,173,100,27,2276,0
65.39,64,1201,1020,218,112,96,171,99,27,2242,0
65.45,65,1234,1033,223,114,97,174,101,27,2260,0
65.43,65,1232,1032,222,114,97,173,101,27,2250,0
65.43,65,1234,1032,222,114,97,173,101,27,2252,0
65.48,65,1236,1035,223,114,97,173,101,27,2248,0
65.43,65,1235,1034,224,114,97,173,101,27,2249,0
65.42,65,1238,1036,224,113,96,172,101,26,2246,0
65.45,65,1240,1037,224,114,97,173,101,27,2242,0
65.49,65,1241,1042,227,115,97,174,101,27,2249,0
65.43,64,1220,1031,227,115,97,172,100,26,2176,0
65.48,65,1221,1038,230,116,97,172,100,26,2206,0
65.49,65,1223,1046,234,117,97,172,101,26,2203,0
65.45,65,1226,1063,244,120,99,173,101,27,2212,0
65.48,65,1229,1080,253,123,100,174,102,27,2213,0
65.52,66,1233,1108,271,129,102,175,103,28,2232,0
65.48,66,1233,1143,289,135,104,176,105,28,2228,0
65.48,68,1239,1186,317,144,108,179,106,29,2254,0
65.49,69,1247,1244,350,155,112,181,109,30,2288,0
65.49,71,1251,1316,393,170,117,185,111,31,2308,0
65.46,72,1255,1377,430,181,121,187,114,32,2339,0
65.45,74,1263,1463,481,198,127,191,117,34,2376,0
65.47,76,1269,1546,530,215,133,195,120,36,2415,0
65.43,78,1276,1625,577,230,139,198,123,37,2449,0
65.45,80,1283,1716,630,248,146,202,127,39,2490,0
