Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.37,43,415,697,207,92,62,81,56,24,1815,0
65.19,43,409,682,195,89,61,79,55,23,1796,0
65.29,43,405,680,192,88,60,80,55,23,1782,0
65.32,43,402,682,191,88,60,80,55,23,1782,0
65.34,42,394,678,186,86,59,78,54,23,1768,0
65.31,42,391,678,185,85,59,78,54,22,1756,0
65.37,42,393,681,187,86,59,79,54,23,1765,0
65.3,42,389,679,185,85,59,77,54,22,1742,0
65.33,42,389,680,185,85,59,78,54,22,1755,0
65.3,41,390,676,182,84,58,77,54,22,1727,0
65.36,42,390,676,183,84,58,77,54,22,1737,0
65.35,41,385,674,181,83,58,76,53,22,1701,0
65.35,41,387,680,182,83,58,78,54,22,1740,0
65.4,41,383,674,180,82,57,77,53,22,1719,0
65.39,41,385,679,181,83,58,78,54,22,1719,0
65.33,41,385,676,179,82,57,77,53,22,1711,0
65.3,41,385,679,180,82,57,77,53,22,1713,0
65.3,41,385,677,180,82,58,77,54,22,1721,0
65.37,41,384,675,178,82,57,77,53,22,1712,0
65.33,41,384,674,178,81,57,77,53,22,1713,0
65.37,41,384,676,178,82,57,77,53,22,1714,0
65.35,41,382,672,176,81,57,77,53,21,1713,0
65.39,41,382,674,176,81,57,77,53,21,1705,0
65.35,41,383,675,177,81,57,77,53,22,1719,0
65.37,41,382,677,177,81,57,77,53,22,1713,0
65.39,42,383,677,178,82,58,78,53,22,1725,0
65.37,41,382,675,176,81,57,77,53,22,1722,0
65.38,41,382,674,176,81,57,77,53,22,1706,0
65.37,41,379,675,174,80,57,77,53,21,1717,0
65.42,41,380,677,177,81,57,78,53,22,1737,0
65.39,42,382,686,182,83,58,78,54,22,1747,0
65.42,42,383,689,183,83,58,78,54,22,1741,0
65.42,42,382,697,187,84,59,79,54,22,1752,0
65.39,42,383,707,193,86,59,79,54,22,1759,0
65.42,43,381,725,202,89,60,80,55,22,1763,0
65.45,43,382,743,212,92,61,81,56,23,1761,0
65.43,44,385,779,231,98,64,82,57,23,1782,0
65.45,45,388,814,249,104,66,83,58,24,1804,0
65.44,46,391,860,275,112,69,85,60,24,1814,0
65.41,46,394,911,299,121,72,87,62,25,1817,0
65.4,48,412,974,332,133,76,90,64,26,1791,0
65.43,49,416,1042,369,145,80,93,67,27,1825,0
65.44,51,419,1108,405,157,85,96,70,28,1849,0
65.4,52,423,1172,438,168,88,98,72,29,1879,0
65.38,53,427,1243,476,181,92,102,75,31,1904,0
