Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,47,553,756,206,95,67,89,62,24,1788,0
65.17,46,532,737,199,91,66,87,60,23,1735,0
65.2,47,544,750,198,92,66,87,61,24,1755,0
65.23,46,531,754,199,94,66,86,60,23,1724,0
65.32,45,522,736,192,91,64,84,59,23,1641,0
65.35,46,552,733,183,88,64,85,60,23,1683,0
65.33,43,489,701,177,85,61,81,57,22,1587,0
65.35,44,491,705,178,86,61,82,57,22,1594,0
65.35,43,492,705,176,85,61,81,57,22,1581,0
65.34,44,495,709,177,85,61,81,57,22,1596,0
65.37,43,492,710,176,85,61,81,57,22,1575,0
65.32,43,491,708,176,85,61,81,57,22,1584,0
65.34,44,508,716,176,85,61,82,58,22,1606,0
65.33,44,512,715,174,84,61,83,57,22,1596,0
65.33,44,504,713,176,85,61,82,57,22,1597,0
65.35,43,459,694,161,83,60,82,56,22,2000,0
65.32,43,479,712,175,85,61,81,57,22,1599,0
65.33,43,485,716,176,85,61,82,57,22,1608,0
65.33,43,482,715,175,85,61,81,57,22,1603,0
65.39,43,482,716,176,85,61,81,57,22,1605,0
65.39,43,491,719,174,85,61,82,57,22,1615,0
65.39,43,489,717,175,85,61,82,57,22,1614,0
65.4,43,479,714,174,84,60,82,56,22,1596,0
65.39,43,483,714,173,84,60,82,57,22,1598,0
65.39,43,484,714,173,84,60,82,57,22,1598,0
65.37,43,479,714,174,84,60,81,56,21,1590,0
65.4,42,479,713,173,84,60,82,56,21,1588,0
65.46,42,477,714,174,84,60,81,56,21,1589,0
65.4,43,488,722,176,85,61,82,57,22,1606,0
65.39,43,483,724,177,85,61,81,57,22,1598,0
65.43,43,481,726,179,86,61,81,57,22,1595,0
65.45,43,477,732,183,87,61,81,57,22,1594,0
65.39,43,475,744,188,89,62,83,57,22,1590,0
65.39,43,475,760,198,92,63,82,58,22,1605,0
65.45,44,479,787,210,97,64,84,59,23,1629,0
65.45,45,479,816,226,101,66,86,60,23,1639,0
65.38,45,477,854,246,108,68,87,61,24,1645,0
65.38,46,487,904,270,116,71,89,63,25,1674,0
65.32,47,486,958,299,127,75,91,65,25,1690,0
65.34,48,488,1022,330,137,78,94,67,26,1708,0
65.41,50,499,1096,369,151,83,98,70,28,1749,0
65.35,52,505,1172,407,164,87,101,73,29,1776,0
65.41,53,506,1250,447,178,91,104,76,30,1800,0
65.36,55,506,1322,486,192,95,107,79,31,1826,0
65.41,56,513,1404,528,206,100,111,82,32,1854,0
