Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,67,495,1873,947,341,187,157,130,48,1928,0
60.03,67,494,1859,940,339,186,156,130,49,1920,0
60.23,67,494,1843,931,336,185,155,129,48,1912,0
60.41,66,493,1827,922,334,184,155,129,48,1903,0
60.63,66,492,1811,913,331,183,154,128,48,1894,0
60.83,65,491,1795,904,328,182,153,127,48,1885,0
61.03,65,490,1780,895,325,181,152,127,47,1877,0
61.25,65,490,1764,887,322,180,152,126,47,1870,0
61.45,64,489,1747,878,320,178,151,126,47,1861,0
61.65,64,488,1732,869,317,177,150,125,46,1853,0
61.83,64,487,1716,860,314,176,150,124,45,1845,0
62.05,64,486,1700,851,311,175,149,124,46,1837,0
62.26,63,485,1683,842,308,174,148,123,46,1829,0
62.46,63,484,1668,833,305,173,147,122,45,1822,0
62.65,63,483,1652,824,302,172,147,122,45,1814,0
62.87,62,483,1635,815,299,171,146,121,45,1807,0
63.07,62,482,1619,807,296,170,145,120,44,1800,0
63.27,62,481,1604,799,294,169,145,120,44,1792,0
63.46,61,480,1589,791,291,168,144,119,44,1786,0
63.67,61,479,1573,784,288,167,143,119,43,1778,0
63.88,61,478,1559,776,286,166,143,118,43,1772,0
64.09,60,478,1545,769,283,165,142,118,43,1765,0
64.32,60,477,1531,761,281,164,141,117,43,1758,0
64.5,60,477,1518,755,279,164,141,117,42,1752,0
64.69,59,476,1505,748,276,163,140,116,42,1746,0
64.91,59,475,1491,740,274,162,140,115,42,1739,0
65.13,59,474,1477,733,271,161,139,115,42,1732,0
65.33,59,474,1465,726,269,160,139,114,41,1726,0
65.53,58,473,1453,720,267,159,138,114,41,1720,0
65.74,58,473,1441,714,265,159,138,114,41,1714,0
65.94,58,472,1429,707,263,158,137,113,41,1708,0
66.16,58,471,1417,701,261,157,136,113,40,1703,0
66.35,57,471,1407,695,259,156,136,112,40,1697,0
66.54,57,470,1395,689,257,156,135,112,40,1691,0
66.74,57,470,1385,683,255,155,135,111,40,1686,0
66.96,57,469,1374,677,253,154,135,111,40,1680,0
67.2,57,468,1364,671,251,154,134,111,39,1675,0
67.37,56,468,1354,666,250,153,134,110,39,1670,0
67.56,56,467,1345,661,248,152,133,110,39,1665,0
67.78,56,467,1334,655,246,152,133,109,39,1660,0
67.99,56,466,1323,649,244,151,132,109,39,1654,0
68.21,55,466,1313,643,242,150,132,109,38,1648,0
68.4,55,465,1304,638,240,150,131,108,38,1644,0
68.59,55,465,1294,632,239,149,131,108,38,1639,0
68.8,55,464,1284,627,237,148,131,107,38,1633,0
69.02,55,463,1273,621,235,148,130,107,38,1628,0
69.22,55,463,1264,616,233,147,130,107,37,1623,0
69.41,54,462,1254,610,232,146,129,106,37,1618,0
69.6,54,462,1244,605,230,146,129,106,37,1613,0
69.82,54,461,1235,600,228,145,128,105,37,1608,0
