Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.85,36,191,1046,547,208,117,119,80,31,1082,1
60.04,36,191,1037,542,207,116,118,80,30,1076,1
60.24,36,190,1028,537,205,115,118,79,30,1071,1
60.45,36,190,1019,531,203,115,117,79,30,1065,1
60.65,35,190,1009,526,201,114,117,79,30,1059,1
60.85,35,189,1000,521,200,113,116,78,30,1053,1
61.04,35,189,991,515,198,113,116,78,29,1046,1
61.26,35,188,983,511,196,112,115,78,29,1041,1
61.45,35,188,974,505,194,112,115,77,29,1035,1
61.65,34,188,965,500,193,111,114,77,29,1029,1
61.86,34,187,956,494,191,110,114,77,29,1023,1
62.06,34,187,949,490,189,110,113,77,28,1018,1
62.24,34,187,940,485,188,109,113,76,28,1012,1
62.45,34,186,932,480,186,108,112,76,28,1007,1
62.67,33,186,923,475,184,108,112,76,28,1000,1
62.87,33,186,915,470,183,107,111,75,28,995,1
63.06,33,185,907,466,181,107,111,75,28,989,1
63.25,33,185,900,461,180,106,110,75,27,985,1
63.48,33,184,891,457,178,106,110,74,27,977,1
63.69,32,184,883,452,177,105,109,74,27,971,1
63.87,32,183,875,447,175,105,109,74,27,966,1
64.06,32,183,867,442,174,104,108,73,27,962,1
64.28,32,183,859,438,172,104,108,73,26,957,1
64.5,32,183,850,434,170,103,108,73,26,953,1
64.7,31,182,843,430,169,102,107,73,26,948,1
64.9,31,182,836,426,168,102,107,72,26,945,1
65.1,31,182,828,422,166,101,106,72,26,942,1
65.32,31,181,819,417,165,101,106,72,26,936,1
65.51,31,181,814,414,163,100,105,71,25,932,1
65.72,31,181,805,409,162,100,105,71,25,928,1
65.92,30,179,798,405,160,99,104,71,25,921,1
66.14,30,179,792,401,159,99,104,70,25,917,1
66.34,30,178,784,397,158,98,104,70,25,912,1
66.55,30,178,777,394,156,98,103,70,25,908,1
66.74,30,178,770,389,155,97,103,70,25,905,1
66.95,30,178,765,386,154,97,103,70,24,901,1
67.17,29,178,758,383,153,96,102,69,24,898,1
67.35,29,177,751,379,151,96,102,69,24,894,1
67.56,29,177,746,376,150,96,102,69,24,891,1
67.76,29,177,740,373,149,95,101,69,24,887,1
67.97,29,177,735,369,148,95,101,68,24,884,1
68.17,29,177,728,366,147,94,101,68,24,881,1
68.37,29,177,722,362,145,94,100,68,24,878,1
68.59,28,176,717,359,144,93,100,68,24,874,1
68.79,28,176,711,356,143,93,100,67,23,870,1
69.0,28,176,705,352,142,93,99,67,23,866,1
69.18,28,176,700,349,141,92,99,67,23,862,1
69.38,28,176,695,346,140,92,99,67,23,861,1
69.6,28,177,690,342,139,92,99,67,23,860,1
69.82,28,176,685,339,138,91,99,67,23,857,1
70.02,27,176,680,337,137,91,98,67,23,854,1
70.2,27,175,675,333,136,90,98,66,23,850,1
70.4,27,175,670,330,135,90,98,66,23,847,1
70.59,27,174,665,328,134,90,97,66,22,843,1
70.83,27,174,660,324,132,89,97,66,22,840,1
71.04,27,174,655,321,131,89,97,65,22,835,1
71.23,27,173,650,319,131,88,96,65,22,832,1
71.4,27,174,646,316,130,88,96,65,22,831,1
71.61,26,172,640,313,129,87,96,65,22,824,1
71.84,26,172,635,310,127,87,95,65,22,821,1
72.06,26,172,630,307,126,87,95,65,21,817,1
72.25,26,171,625,304,125,86,95,64,21,815,1
72.46,26,171,620,301,125,86,94,64,21,813,1
72.64,26,172,617,299,124,86,94,65,21,810,1
72.86,26,171,611,296,123,86,94,64,21,806,1
73.08,26,171,606,293,122,85,94,64,21,802,1
73.27,25,170,600,290,121,85,93,64,21,799,1
73.47,25,170,595,287,120,84,93,64,21,795,1
73.67,25,170,591,286,120,84,94,63,21,795,1
73.89,25,169,586,283,119,84,93,63,20,791,1
74.11,25,169,580,280,118,83,93,63,20,788,1
74.31,25,169,576,277,117,83,93,62,20,786,1
74.52,25,169,571,274,116,83,92,62,20,784,1
74.71,25,169,567,272,115,82,92,62,20,782,1
74.91,25,170,565,269,114,82,92,62,20,786,1
75.12,24,170,560,266,113,82,92,62,20,782,1
75.34,24,169,555,264,112,81,92,61,20,779,1
75.54,24,169,550,261,111,81,91,61,20,776,1
75.72,24,169,545,258,111,81,91,61,20,773,1
75.93,24,168,540,255,110,80,91,61,20,768,1
