Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,61,495,1788,975,351,189,151,123,43,1677,0
60.05,61,493,1773,967,348,188,150,122,42,1668,0
60.25,60,492,1756,957,344,187,149,122,42,1660,0
60.46,60,492,1739,948,342,186,148,121,42,1652,0
60.67,60,491,1721,938,339,185,148,121,42,1643,0
60.86,59,490,1707,930,336,183,147,120,41,1635,0
61.07,59,489,1692,921,333,182,147,119,41,1627,0
61.27,59,488,1677,912,330,181,146,119,41,1619,0
61.46,58,487,1662,903,328,180,145,118,40,1610,0
61.65,58,487,1646,894,325,179,145,118,40,1602,0
61.87,58,486,1629,884,321,178,144,117,40,1594,0
62.07,57,485,1615,875,319,177,143,116,39,1586,0
62.27,57,484,1601,866,316,176,143,116,39,1578,0
62.47,57,483,1585,857,312,175,142,115,39,1571,0
62.67,56,482,1570,847,309,173,141,115,38,1562,0
62.89,56,481,1554,837,306,172,140,114,38,1554,0
63.07,56,480,1538,828,303,171,140,113,38,1546,0
63.28,55,479,1522,819,300,170,139,113,37,1538,0
63.49,55,478,1506,809,297,169,138,112,37,1530,0
63.7,55,477,1490,800,294,168,138,112,37,1523,0
63.9,54,476,1475,792,291,167,137,111,36,1516,0
64.09,54,476,1458,781,288,166,136,110,36,1509,0
64.31,54,475,1444,774,285,165,136,110,36,1501,0
64.51,53,474,1428,765,282,164,135,109,36,1495,0
64.71,53,473,1414,758,279,163,135,109,35,1488,0
64.92,53,472,1399,749,276,162,134,108,35,1481,0
65.13,53,471,1386,742,274,161,133,108,35,1475,0
65.35,52,471,1373,734,271,160,133,107,35,1468,0
65.54,52,470,1360,727,269,159,132,107,34,1462,0
65.74,52,469,1347,720,266,158,132,106,34,1456,0
65.94,51,468,1335,712,264,157,131,106,34,1449,0
66.16,51,468,1324,705,262,156,131,105,34,1444,0
66.35,51,467,1311,699,260,156,130,105,33,1438,0
66.55,51,466,1301,692,257,155,130,105,33,1432,0
66.76,50,466,1290,685,255,154,129,104,33,1426,0
66.98,50,465,1279,679,253,153,129,104,33,1421,0
67.21,50,464,1269,673,251,152,128,103,32,1416,0
67.38,50,464,1260,668,249,152,128,103,32,1411,0
67.57,50,463,1251,662,248,151,127,103,32,1406,0
67.78,49,463,1241,656,246,151,127,102,32,1401,0
67.99,49,469,1234,650,244,150,127,102,32,1408,0
68.2,49,468,1225,645,242,149,127,102,32,1403,0
68.4,49,467,1214,638,240,149,126,102,31,1397,0
68.62,49,466,1206,633,238,148,126,101,31,1392,0
68.83,48,466,1195,627,237,147,125,101,31,1387,0
69.02,48,465,1187,622,235,147,125,100,31,1382,0
69.21,48,465,1178,617,233,146,125,100,31,1377,0
69.41,48,464,1168,611,231,145,124,100,30,1372,0
69.61,48,464,1159,605,229,145,124,99,30,1367,0
69.84,47,464,1147,598,228,144,123,99,30,1363,0
70.03,47,463,1141,595,226,143,123,99,30,1357,0
70.23,47,462,1133,590,224,143,122,98,30,1353,0
70.42,47,461,1124,585,222,142,122,98,30,1348,0
70.63,47,461,1114,579,221,141,122,98,29,1344,0
70.86,46,460,1107,574,219,141,121,97,29,1336,0
71.07,46,459,1098,569,217,140,121,97,29,1332,0
71.27,46,459,1088,563,216,140,120,97,29,1329,0
71.45,46,458,1081,558,214,139,120,96,29,1325,0
71.67,46,457,1073,553,212,138,120,96,28,1319,0
71.89,46,457,1063,547,211,138,120,96,28,1315,0
72.1,45,456,1055,543,209,137,119,95,28,1310,0
72.3,45,455,1047,539,208,136,118,95,28,1305,0
72.49,45,455,1039,534,206,136,118,95,28,1301,0
72.69,45,454,1031,529,204,135,118,94,28,1296,0
72.89,45,454,1023,525,203,135,117,94,27,1292,0
73.11,44,453,1014,520,201,134,117,94,27,1288,0
73.32,44,452,1006,515,200,134,117,93,27,1284,0
73.51,44,452,998,511,198,133,117,93,27,1279,0
73.71,44,451,990,506,197,133,116,93,27,1275,0
73.93,44,451,981,501,195,132,116,92,27,1271,0
74.15,44,450,973,496,193,131,116,92,26,1266,0
74.35,43,449,965,491,192,131,116,92,26,1261,0
74.55,43,448,958,487,190,130,115,92,26,1256,0
74.76,43,448,950,482,189,130,114,91,26,1252,0
74.94,43,447,941,477,187,129,114,91,26,1247,0
75.17,43,446,933,473,186,129,114,91,26,1243,0
75.39,43,445,925,468,184,128,114,90,25,1237,0
75.58,42,445,918,464,182,127,113,90,25,1234,0
75.76,42,444,910,459,181,127,113,90,25,1230,0
75.97,42,444,903,455,180,126,113,89,25,1226,0
76.2,42,444,895,450,178,126,112,89,25,1222,0
76.39,42,443,888,446,177,125,112,89,25,1218,0
76.59,42,442,880,441,175,125,112,89,25,1214,0
76.79,41,442,873,437,174,124,111,88,24,1210,0
77.0,41,441,866,433,172,124,111,88,24,1205,0
77.22,41,440,858,429,171,123,111,88,24,1201,0
77.43,41,440,851,424,170,123,110,87,24,1197,0
77.61,41,439,843,420,168,122,110,87,24,1195,0
77.81,41,438,837,416,167,122,110,87,24,1190,0
78.03,40,437,830,412,165,121,109,87,23,1185,0
78.22,40,437,823,408,164,121,109,86,23,1182,0
78.42,40,436,815,403,163,120,109,86,23,1177,0
78.64,40,435,808,399,161,120,108,86,23,1173,0
78.84,40,435,801,394,160,119,108,85,23,1169,0
79.06,40,434,792,390,158,119,108,85,23,1164,0
79.24,39,434,786,386,157,118,107,85,23,1160,0
79.45,39,434,778,381,155,117,107,84,22,1156,0
79.65,39,433,771,377,154,117,107,84,22,1151,0
79.87,39,432,763,372,152,116,106,84,22,1146,0
80.09,39,432,755,368,151,116,106,84,22,1143,0
80.27,39,431,747,363,149,115,106,83,22,1139,0
80.48,38,431,739,358,148,115,105,83,22,1134,0
80.7,38,431,730,352,146,114,105,83,21,1130,0
80.88,38,430,721,347,144,113,104,82,21,1124,0
81.09,38,429,711,342,142,113,104,82,21,1119,0
81.3,38,428,701,336,140,112,103,82,21,1113,0
81.52,37,427,690,329,138,111,103,81,21,1107,0
81.71,37,427,678,322,136,110,102,81,20,1101,0
81.92,37,426,666,315,133,109,102,80,20,1095,0
82.12,37,425,652,306,130,108,101,80,20,1088,0
82.31,36,424,635,297,127,107,101,79,19,1080,0
82.51,36,423,616,287,123,106,100,78,19,1070,0
82.73,35,422,595,274,119,104,99,77,19,1059,0
82.97,35,419,571,260,114,103,98,77,18,1045,0
83.16,34,418,549,247,109,101,97,76,18,1034,0
83.34,34,416,527,234,105,99,96,75,17,1022,0
83.55,33,415,504,220,101,98,95,74,17,1012,0
83.76,33,413,483,207,97,96,94,73,16,1000,0
83.97,32,412,459,193,93,94,93,72,16,987,0
84.2,32,411,437,179,88,93,92,71,15,976,0
84.41,31,409,416,167,84,91,91,71,15,965,0
84.6,31,408,399,156,80,90,90,70,15,956,0
84.8,31,407,385,148,78,89,89,69,14,949,0
85.0,31,407,374,142,76,88,89,69,14,945,0
85.21,30,406,367,137,74,88,88,69,14,940,0
85.45,30,405,363,134,73,87,88,68,14,935,0
85.65,30,405,360,132,73,87,88,68,14,933,0
85.84,30,404,356,131,72,87,88,68,14,932,0
86.09,30,404,354,129,71,87,88,68,14,930,0
86.28,30,404,352,127,71,86,87,68,14,928,0
86.48,30,404,349,126,70,86,87,68,14,927,0
86.67,30,403,347,125,70,86,87,68,14,925,0
86.89,30,402,344,123,69,86,87,68,13,922,0
87.09,30,402,341,121,69,86,87,68,13,920,0
87.29,30,402,338,119,68,85,87,67,13,919,0
87.5,29,402,334,117,67,85,87,67,13,917,0
87.71,29,401,331,115,67,85,86,67,13,915,0
87.9,29,401,327,113,66,85,86,67,13,912,0
88.1,29,401,323,110,65,84,86,67,13,910,0
88.31,29,401,318,108,64,84,86,67,13,908,0
88.52,29,400,313,105,63,84,86,66,13,906,0
88.73,29,400,307,101,62,83,85,66,13,902,0
88.95,29,399,301,98,61,83,85,66,13,899,0
89.14,29,399,295,94,59,82,85,66,12,896,0
89.35,28,398,288,90,58,82,84,65,12,891,0
89.55,28,398,281,86,56,81,84,65,12,888,0
89.75,28,397,274,81,55,81,83,65,12,883,0
89.98,28,397,267,77,53,80,83,65,12,879,0
90.2,28,396,260,73,52,79,83,64,12,875,0
90.39,28,396,253,68,51,79,82,64,12,871,0
90.58,27,395,247,65,49,78,82,64,11,868,0
90.78,27,395,241,61,48,78,82,64,11,863,0
90.98,27,394,235,57,47,78,81,63,11,860,0
91.18,27,394,231,54,46,77,81,63,11,856,0
91.4,27,393,226,52,45,77,81,63,11,852,0
91.62,27,393,223,50,44,77,81,63,11,851,0
91.83,27,392,221,48,44,76,81,63,11,849,0
92.03,27,392,219,47,43,76,81,63,11,847,0
92.21,27,392,218,47,43,76,80,63,11,848,0
92.41,27,391,217,46,43,76,80,62,11,845,0
92.63,27,391,217,47,43,76,80,62,11,845,0
92.84,27,391,216,46,43,76,80,62,11,844,0
93.06,27,391,216,45,43,76,80,62,11,843,0
93.26,27,390,215,46,43,76,80,62,11,842,0
93.47,27,390,215,45,42,76,80,62,11,841,0
93.68,27,389,214,45,42,76,80,62,11,840,0
93.89,26,389,214,45,42,76,80,62,11,840,0
94.1,26,388,214,45,42,76,80,62,11,839,0
94.28,26,388,213,44,42,76,80,62,11,838,0
94.47,26,388,213,44,42,76,80,62,11,838,0
