Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,65,407,2052,1051,360,195,176,129,49,1632,1
60.04,64,406,2039,1043,358,194,175,129,49,1624,1
60.23,64,405,2022,1033,355,193,175,128,49,1615,1
60.44,64,405,2006,1024,352,192,174,128,48,1606,1
60.64,63,404,1991,1014,349,191,173,127,48,1597,1
60.84,63,404,1975,1004,346,189,173,126,48,1588,1
61.04,63,403,1959,995,343,188,172,126,47,1580,1
61.25,62,402,1944,985,341,187,171,125,47,1570,1
61.45,62,402,1928,975,338,186,170,125,47,1562,1
61.65,62,401,1912,966,335,185,170,124,46,1553,1
61.86,61,401,1895,955,332,184,169,124,46,1544,1
62.05,61,400,1881,947,329,183,168,123,46,1537,1
62.24,61,399,1865,937,326,182,168,122,45,1529,1
62.44,60,399,1851,929,324,181,167,122,45,1521,1
62.63,60,398,1836,920,321,180,166,121,45,1514,1
62.86,60,398,1818,910,318,179,166,121,44,1506,1
63.06,59,397,1805,902,315,178,165,120,44,1498,1
63.27,59,397,1791,894,313,177,164,120,44,1490,1
63.47,59,396,1777,886,310,176,164,119,44,1484,1
63.69,58,396,1762,877,307,175,163,119,43,1477,1
63.87,58,395,1750,870,305,174,163,118,43,1471,1
64.06,58,395,1739,864,303,173,162,118,43,1464,1
64.29,58,394,1724,855,301,172,161,117,43,1456,1
64.5,57,394,1711,848,298,171,161,117,42,1450,1
64.7,57,393,1699,841,296,170,160,117,42,1443,1
64.89,57,393,1685,832,294,170,160,116,42,1436,1
65.12,56,392,1673,825,291,169,159,116,42,1429,1
65.35,56,392,1659,817,289,168,159,115,41,1423,1
65.53,56,391,1649,811,287,167,158,115,41,1417,1
65.71,56,391,1638,805,285,166,158,114,41,1411,1
65.91,55,390,1624,796,283,165,157,114,41,1404,1
66.14,55,390,1615,791,281,165,157,114,41,1398,1
66.32,55,389,1604,784,279,164,156,113,40,1392,1
66.54,55,389,1591,777,277,163,156,113,40,1386,1
66.76,54,388,1580,770,275,162,155,112,40,1380,1
66.96,54,388,1568,763,273,162,155,112,40,1374,1
67.17,54,387,1559,758,271,161,154,112,39,1369,1
67.36,54,387,1549,752,269,160,154,111,39,1363,1
67.55,53,387,1540,746,267,159,153,111,39,1358,1
67.76,53,386,1528,740,265,159,153,111,39,1352,1
67.97,53,386,1519,733,263,158,152,110,39,1346,1
68.15,53,385,1507,726,261,157,152,110,38,1341,1
68.36,53,385,1498,721,259,156,151,109,38,1335,1
68.59,52,385,1487,714,258,156,151,109,38,1329,1
68.79,52,384,1477,709,256,155,151,109,38,1324,1
68.98,52,384,1466,702,254,154,150,108,38,1319,1
69.18,52,383,1456,697,252,154,150,108,37,1314,1
69.39,51,383,1446,691,250,153,149,108,37,1309,1
69.58,51,383,1436,684,248,152,149,107,37,1303,1
69.8,51,382,1426,680,247,152,148,107,37,1298,1
70.0,51,382,1415,672,245,151,148,107,37,1293,1
70.19,51,381,1405,667,243,150,147,106,36,1288,1
70.41,50,381,1396,662,241,150,147,106,36,1282,1
70.6,50,380,1386,656,239,149,146,105,36,1277,1
70.82,50,380,1376,650,238,148,146,105,36,1272,1
71.03,50,380,1367,645,236,148,146,105,36,1268,1
71.22,50,379,1358,639,234,147,145,105,36,1263,1
71.43,49,379,1348,633,233,146,145,104,35,1257,1
71.64,49,379,1339,627,231,146,144,104,35,1252,1
71.86,49,378,1330,622,229,145,144,104,35,1248,1
72.04,49,378,1320,617,227,144,144,103,35,1243,1
72.23,48,378,1310,610,226,144,143,103,35,1239,1
72.46,48,377,1302,605,224,143,143,103,34,1233,1
72.66,48,377,1291,599,222,142,142,102,34,1229,1
72.88,48,376,1284,595,221,142,142,102,34,1223,1
73.08,48,376,1274,589,219,141,142,102,34,1219,1
73.27,48,375,1266,584,217,141,141,101,34,1214,1
73.49,47,375,1257,579,216,140,141,101,33,1209,1
73.7,47,375,1245,572,214,139,140,101,33,1205,1
73.91,47,374,1238,568,212,139,140,100,33,1199,1
74.12,47,374,1229,563,211,138,140,100,33,1195,1
74.3,47,374,1221,558,209,137,139,100,33,1190,1
74.5,46,373,1212,553,208,137,139,99,33,1185,1
74.71,46,373,1203,547,206,136,139,99,32,1181,1
74.91,46,373,1195,542,204,136,138,99,32,1176,1
75.13,46,372,1185,537,203,135,138,98,32,1171,1
75.35,46,372,1176,531,201,134,137,98,32,1166,1
75.55,45,372,1167,526,199,134,137,98,32,1162,1
75.73,45,371,1159,521,198,133,137,97,32,1157,1
75.93,45,371,1151,516,197,133,136,97,31,1152,1
76.13,45,370,1142,511,195,132,136,97,31,1148,1
76.36,45,370,1134,507,193,131,136,97,31,1143,1
76.56,44,370,1125,501,192,131,135,96,31,1139,1
76.76,44,369,1117,496,190,130,135,96,31,1134,1
76.95,44,369,1108,491,189,130,134,96,31,1130,1
77.16,44,369,1099,486,187,129,134,95,30,1125,1
77.37,44,368,1091,481,186,128,134,95,30,1119,1
77.58,44,368,1082,475,184,128,133,95,30,1115,1
77.78,43,367,1074,471,183,127,133,94,30,1111,1
77.97,43,367,1066,466,181,127,132,94,30,1107,1
78.18,43,367,1058,461,180,126,132,94,30,1103,1
78.37,43,366,1050,456,178,126,132,93,29,1098,1
78.57,43,366,1041,451,176,125,131,93,29,1094,1
78.79,42,366,1032,446,175,124,131,93,29,1089,1
79.01,42,365,1023,441,173,124,131,93,29,1085,1
79.21,42,365,1015,437,172,123,130,92,29,1080,1
79.39,42,365,1006,432,170,122,130,92,29,1076,1
79.62,42,364,996,426,168,122,129,92,28,1071,1
79.83,41,364,985,419,166,121,129,91,28,1065,1
80.04,41,363,976,414,164,120,129,91,28,1060,1
80.26,41,363,965,408,162,120,128,90,28,1054,1
80.45,41,362,955,401,160,119,128,90,28,1048,1
80.64,40,362,944,395,158,118,127,90,27,1042,1
80.83,40,361,932,387,156,117,127,89,27,1036,1
81.03,40,361,919,379,154,116,126,89,27,1030,1
81.25,40,360,903,370,151,115,125,88,27,1022,1
81.46,39,359,886,360,148,114,125,88,26,1014,1
81.65,39,358,867,349,144,112,124,87,26,1005,1
81.85,38,357,847,337,140,111,123,86,26,994,1
82.06,38,357,825,323,136,110,122,85,25,984,1
82.27,37,355,804,311,132,108,121,85,25,971,1
82.49,37,355,783,297,128,106,120,84,24,960,1
82.7,36,354,762,285,124,105,119,83,24,949,1
82.91,36,353,742,273,120,104,118,82,23,938,1
83.1,36,352,724,262,117,102,117,82,23,928,1
83.33,35,351,706,251,113,101,116,81,23,918,1
83.54,35,351,691,242,111,100,116,81,22,909,1
83.73,35,350,678,234,108,99,115,80,22,902,1
83.92,34,349,668,228,106,98,115,80,22,895,1
84.13,34,349,660,224,105,98,114,79,22,891,1
84.33,34,349,654,220,104,97,114,79,22,887,1
84.56,34,349,649,217,104,97,114,79,22,884,1
84.76,34,348,645,214,102,96,114,79,21,882,1
84.96,34,348,640,211,102,96,113,79,21,879,1
85.18,34,348,635,208,101,96,113,78,21,876,1
85.39,33,348,630,206,100,95,113,78,21,873,1
85.58,33,348,625,203,99,95,113,78,21,873,1
85.8,33,348,620,200,98,95,113,78,21,870,1
86.01,33,348,614,197,97,94,112,78,21,867,1
86.23,33,347,608,194,96,94,112,77,21,863,1
86.42,33,347,602,190,95,93,112,77,21,860,1
86.6,33,347,595,186,94,93,112,77,21,857,1
86.8,32,346,587,181,92,92,111,77,20,853,1
87.02,32,346,577,175,90,91,111,76,20,848,1
87.23,32,345,568,169,88,91,110,76,20,843,1
87.47,32,344,556,162,86,90,110,75,20,837,1
87.66,32,344,545,155,84,89,109,75,20,831,1
87.85,31,343,532,147,81,88,109,74,19,825,1
88.05,31,343,518,139,79,87,108,74,19,817,1
88.25,31,342,503,130,76,86,107,73,19,809,1
88.44,30,342,488,120,73,85,107,73,18,803,1
88.66,30,341,473,111,70,83,106,72,18,793,1
88.87,30,340,458,102,67,82,105,72,18,785,1
89.07,29,340,444,93,64,81,105,71,18,780,1
89.3,29,339,431,85,62,80,104,71,17,773,1
89.49,29,339,419,78,59,79,104,70,17,765,1
89.69,28,338,408,71,57,79,103,70,17,759,1
89.89,28,337,398,65,55,78,103,69,17,754,1
90.09,28,337,390,60,54,77,102,69,16,749,1
90.31,28,337,383,56,52,77,102,69,16,745,1
90.5,28,337,378,53,51,76,102,69,16,741,1
90.71,28,336,374,50,51,76,102,68,16,739,1
90.9,27,336,371,48,50,76,101,68,16,737,1
91.13,27,336,369,47,50,75,101,68,16,736,1
91.34,27,336,368,47,50,75,101,68,16,735,1
91.53,27,336,367,46,50,75,101,68,16,735,1
91.74,27,335,367,46,49,75,101,68,16,735,1
91.94,27,335,366,46,49,76,101,68,16,734,1
92.16,27,335,366,45,49,75,101,68,16,734,1
92.35,27,335,365,45,49,75,101,68,16,734,1
92.55,27,335,365,45,49,75,101,68,16,734,1
92.75,27,335,365,45,49,75,102,68,16,735,1
92.97,27,335,364,45,49,74,102,68,16,735,1
93.18,27,334,364,44,49,74,102,68,16,734,1
93.42,27,334,363,44,49,74,102,67,16,734,1
93.59,27,334,363,44,49,74,102,67,16,733,1
93.8,27,334,363,44,49,74,102,67,16,734,1
94.01,27,334,362,44,49,74,102,67,16,734,1
94.23,27,334,362,44,49,74,102,67,16,735,1
94.43,27,334,362,44,49,74,102,67,16,735,1
94.6,27,334,362,44,49,74,102,67,16,735,1
