Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,57,561,1376,778,271,169,146,112,41,1626,0
60.03,57,560,1366,772,269,168,145,111,40,1619,0
60.24,57,559,1354,765,266,167,145,111,40,1611,0
60.45,57,558,1344,760,264,166,144,110,40,1604,0
60.66,56,558,1334,753,262,165,144,110,40,1599,0
60.85,56,557,1323,747,260,164,143,110,39,1592,0
61.04,56,557,1314,740,258,163,143,109,39,1585,0
61.24,56,556,1302,732,256,162,142,109,39,1578,0
61.44,55,555,1292,726,254,162,142,108,38,1569,0
61.65,55,555,1280,717,252,161,141,108,38,1561,0
61.86,55,557,1278,716,252,160,141,108,38,1554,0
62.07,55,556,1266,708,250,159,141,107,38,1546,0
62.27,54,555,1253,699,248,158,140,107,37,1539,0
62.45,54,554,1242,692,245,157,139,106,37,1531,0
62.65,54,553,1230,683,243,156,139,106,37,1524,0
62.87,54,553,1215,673,240,155,138,105,36,1516,0
63.07,53,552,1204,666,238,154,138,105,36,1509,0
63.27,53,551,1192,658,235,153,137,104,36,1501,0
63.47,53,550,1180,651,233,152,136,104,36,1495,0
63.69,52,549,1168,643,231,151,136,103,35,1488,0
63.88,52,548,1157,636,228,151,135,103,35,1481,0
64.08,52,548,1145,628,226,150,135,103,35,1475,0
64.29,52,547,1134,622,224,149,134,102,35,1468,0
64.48,52,550,1127,616,222,148,134,102,35,1473,0
64.69,51,548,1115,609,220,147,134,102,34,1462,0
64.89,51,547,1103,602,218,146,133,101,34,1454,0
65.12,51,544,1091,595,216,145,132,100,34,1444,0
65.33,50,543,1080,589,214,145,132,100,33,1437,0
65.53,50,543,1071,582,212,144,131,100,33,1431,0
65.73,50,542,1061,576,210,143,131,99,33,1425,0
65.92,50,542,1052,570,208,142,130,99,33,1419,0
66.14,49,541,1043,565,206,142,130,99,33,1413,0
66.35,49,540,1035,559,205,141,130,98,32,1408,0
66.53,49,539,1027,554,203,140,129,98,32,1402,0
