Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,74,684,2004,1101,387,216,181,143,51,1862,0
60.04,74,683,1985,1091,384,215,181,142,51,1851,0
60.25,73,682,1967,1080,380,213,180,142,50,1841,0
60.45,73,681,1949,1069,377,212,179,141,50,1831,0
60.66,72,680,1931,1058,374,211,178,140,50,1822,0
60.85,72,679,1914,1048,370,209,177,140,49,1812,0
61.05,72,677,1897,1037,367,208,177,139,49,1803,0
61.26,71,677,1880,1027,364,207,176,138,49,1793,0
61.45,71,675,1864,1017,361,206,175,138,48,1784,0
61.66,71,675,1845,1007,357,204,174,137,48,1773,0
61.87,70,674,1828,996,354,203,174,136,47,1764,0
62.07,70,673,1815,988,351,202,173,136,47,1756,0
62.27,70,671,1801,979,348,201,172,135,47,1747,0
62.46,69,671,1782,968,345,200,172,135,46,1737,0
62.67,69,669,1769,960,342,199,171,134,46,1729,0
62.87,69,669,1753,950,339,198,170,133,46,1720,0
63.08,68,668,1735,939,337,196,169,133,45,1711,0
63.28,68,667,1721,930,334,195,169,132,45,1703,0
63.49,67,666,1707,922,331,194,168,132,45,1695,0
63.7,67,665,1690,912,328,193,167,131,44,1686,0
63.88,67,664,1678,905,325,192,167,131,44,1679,0
64.09,67,664,1661,895,322,191,166,130,44,1670,0
64.29,66,663,1646,886,320,190,166,129,43,1662,0
64.51,66,661,1634,879,317,189,165,129,43,1655,0
64.71,66,661,1618,869,314,188,164,128,43,1647,0
64.91,65,660,1605,862,312,187,164,128,42,1639,0
65.13,65,659,1591,853,309,186,163,127,42,1631,0
65.34,65,658,1577,845,306,185,162,127,42,1624,0
65.55,64,657,1566,837,304,184,162,126,42,1617,0
65.74,64,656,1553,830,301,183,161,126,41,1609,0
65.94,64,655,1540,822,299,182,161,125,41,1602,0
66.15,63,655,1526,813,297,181,160,125,41,1595,0
66.35,63,654,1515,807,294,180,160,124,40,1588,0
66.56,63,653,1502,800,292,179,159,124,40,1582,0
66.76,63,652,1490,792,289,178,158,123,40,1575,0
67.0,62,652,1476,784,287,178,158,123,40,1568,0
67.2,62,651,1467,778,285,177,157,123,39,1562,0
67.37,62,650,1457,773,283,176,157,122,39,1556,0
67.57,62,650,1445,765,281,175,157,122,39,1550,0
67.78,61,649,1435,759,279,174,156,121,39,1543,0
67.99,61,648,1422,752,277,174,155,121,38,1537,0
68.18,61,647,1411,745,275,173,155,120,38,1530,0
68.4,61,647,1401,739,272,172,155,120,38,1524,0
68.62,60,646,1390,733,270,171,154,120,38,1517,0
68.82,60,645,1379,726,268,170,154,119,37,1511,0
69.02,60,644,1369,720,266,170,153,119,37,1505,0
69.22,60,645,1354,711,264,169,153,119,37,1499,0
69.4,60,643,1347,706,262,168,152,118,37,1493,0
69.62,59,642,1337,701,260,167,152,118,37,1487,0
69.82,59,642,1328,695,258,167,151,117,36,1482,0
70.03,59,641,1318,688,256,166,151,117,36,1476,0
70.22,59,640,1308,682,254,165,150,117,36,1470,0
70.42,58,640,1297,675,252,164,150,116,36,1465,0
70.65,58,639,1288,670,251,164,149,116,35,1459,0
70.87,58,638,1278,664,249,163,149,115,35,1453,0
71.06,58,638,1268,658,247,162,148,115,35,1448,0
71.24,57,637,1260,653,245,162,148,115,35,1443,0
71.45,57,636,1250,647,243,161,148,114,35,1437,0
71.67,57,636,1241,642,241,160,147,114,34,1431,0
71.88,57,635,1232,636,240,160,147,114,34,1426,0
72.08,57,634,1222,631,238,159,146,113,34,1421,0
72.28,56,634,1213,625,236,158,146,113,34,1416,0
72.49,56,633,1204,620,235,158,146,113,34,1410,0
72.69,56,632,1195,614,233,157,145,112,33,1405,0
72.9,56,632,1185,608,231,156,145,112,33,1399,0
73.12,56,631,1176,603,229,156,144,111,33,1394,0
73.32,55,630,1167,598,228,155,144,111,33,1389,0
73.5,55,630,1158,592,226,154,143,111,33,1384,0
73.71,55,630,1148,586,224,154,143,110,32,1379,0
73.94,55,628,1140,581,222,153,143,110,32,1373,0
74.14,55,628,1131,576,221,152,142,110,32,1368,0
74.33,54,627,1122,570,219,152,142,109,32,1363,0
74.53,54,626,1113,565,217,151,141,109,32,1358,0
74.75,54,626,1104,559,215,150,141,109,31,1352,0
74.95,54,626,1094,553,214,150,141,108,31,1347,0
75.17,54,624,1087,548,212,149,140,108,31,1343,0
75.39,53,624,1078,543,210,148,140,108,31,1338,0
75.57,53,623,1070,538,209,148,139,107,31,1333,0
75.77,53,623,1062,533,207,147,139,107,30,1329,0
75.97,53,622,1054,530,206,147,139,107,30,1324,0
76.2,53,621,1045,523,204,146,138,106,30,1319,0
76.41,52,621,1036,519,202,145,138,106,30,1315,0
76.58,52,620,1028,514,201,145,138,106,30,1310,0
76.77,52,619,1020,509,199,144,137,105,29,1305,0
76.99,52,619,1011,504,197,144,137,105,29,1300,0
77.21,52,618,1002,499,196,143,136,105,29,1295,0
77.41,51,617,994,494,194,142,136,104,29,1290,0
77.61,51,617,985,488,192,142,135,104,29,1285,0
77.81,51,616,977,484,191,141,135,104,29,1280,0
78.01,51,616,968,478,189,141,135,103,28,1276,0
78.22,51,615,960,473,187,140,134,103,28,1271,0
78.41,51,614,952,468,186,139,134,103,28,1265,0
78.63,50,614,942,462,184,139,133,102,28,1260,0
78.85,50,613,934,457,182,138,133,102,27,1255,0
79.03,50,612,924,451,181,137,133,102,27,1250,0
79.24,50,611,916,446,179,137,132,101,27,1245,0
79.45,50,611,907,441,177,136,132,101,27,1239,0
79.67,49,610,897,435,175,135,131,101,27,1235,0
79.87,49,609,889,430,174,135,131,100,27,1229,0
80.06,49,608,880,425,172,134,131,100,26,1224,0
80.28,49,608,871,419,170,133,130,100,26,1218,0
80.48,49,607,861,413,168,133,130,99,26,1212,0
80.7,48,606,849,406,166,132,129,99,26,1207,0
80.9,48,605,840,400,164,131,129,98,25,1200,0
81.08,48,604,828,392,162,130,128,98,25,1193,0
81.3,47,604,815,384,159,129,128,97,25,1187,0
81.51,47,603,801,376,156,128,127,97,25,1179,0
81.72,47,601,787,367,153,127,126,96,24,1171,0
81.91,47,601,769,356,150,126,125,96,24,1163,0
82.11,46,599,750,345,146,124,125,95,24,1152,0
82.34,45,598,727,330,141,123,124,94,23,1140,0
82.53,45,596,701,314,136,121,122,93,22,1126,0
82.73,44,594,674,298,131,119,121,92,22,1111,0
82.94,44,592,645,281,125,116,120,91,21,1097,0
83.14,43,590,617,264,119,114,118,90,21,1080,0
83.37,42,588,587,245,113,112,117,89,20,1063,0
83.58,42,586,559,227,108,110,117,88,19,1048,0
83.78,41,584,532,211,102,108,114,87,19,1032,0
83.98,40,582,507,195,97,106,113,86,18,1017,0
84.18,40,581,484,181,94,104,113,85,18,1003,0
84.38,39,579,464,168,90,103,112,84,17,991,0
84.61,39,579,446,158,86,101,111,83,17,981,0
84.81,39,577,433,150,84,100,111,83,16,973,0
85.0,39,576,425,145,82,100,110,83,16,967,0
85.23,38,576,419,141,81,99,110,82,16,963,0
85.43,38,575,416,139,80,99,110,82,16,960,0
85.63,38,576,413,137,80,99,110,82,16,959,0
85.86,38,575,410,136,79,98,110,82,16,956,0
86.08,38,575,408,134,79,98,110,82,16,955,0
86.28,38,574,406,133,78,98,109,82,16,953,0
86.46,38,574,403,131,78,98,109,82,16,952,0
86.68,38,574,401,130,77,98,109,82,16,951,0
86.88,38,573,398,128,77,97,109,81,16,949,0
87.09,38,573,395,127,76,97,109,81,15,947,0
87.32,38,572,392,125,76,97,109,81,15,945,0
87.51,38,572,389,123,75,97,108,81,15,942,0
87.71,38,572,385,120,74,96,108,81,15,940,0
87.91,37,571,381,118,73,96,108,81,15,937,0
88.1,37,571,377,115,73,96,108,81,15,936,0
88.3,37,570,372,112,71,95,108,80,15,932,0
88.53,37,570,367,109,70,95,107,80,15,928,0
88.73,37,569,362,105,69,94,107,80,15,925,0
88.92,37,569,356,102,68,94,107,80,15,921,0
89.14,37,568,349,97,66,93,106,79,14,917,0
89.36,37,567,342,93,65,93,106,79,14,912,0
89.56,36,567,335,88,64,92,106,79,14,908,0
89.75,36,566,328,84,62,92,105,79,14,903,0
89.96,36,565,321,80,61,91,105,78,14,899,0
90.17,36,565,315,76,59,91,105,78,14,895,0
90.36,36,564,308,72,58,90,104,78,13,890,0
90.57,36,564,302,68,57,90,104,78,13,887,0
90.77,35,563,297,64,56,89,104,77,13,884,0
90.98,35,562,292,61,55,89,104,77,13,879,0
91.19,35,562,288,59,54,88,103,77,13,877,0
91.4,35,561,284,57,53,88,103,77,13,874,0
91.61,35,561,282,55,53,88,103,77,13,872,0
91.8,35,561,280,54,52,88,103,77,13,870,0
92.0,35,561,279,53,52,88,103,77,13,869,0
92.23,35,560,278,53,52,88,103,77,13,869,0
