Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.34,41,673,775,213,113,117,137,118,29,1595,1
65.18,40,674,752,192,107,117,136,119,28,1589,1
65.25,40,665,750,196,108,115,134,118,28,1550,1
65.33,40,668,750,192,107,115,135,119,28,1553,1
65.41,40,665,745,188,106,115,134,119,27,1538,1
65.3,40,668,745,185,105,115,135,120,28,1553,1
65.27,40,666,745,184,104,116,134,120,27,1543,1
65.28,40,663,743,184,104,115,134,119,27,1529,1
65.33,40,665,746,183,104,114,134,119,27,1535,1
65.29,41,691,781,189,107,117,139,124,28,1589,1
65.31,41,681,769,186,106,116,137,122,28,1578,1
65.35,41,677,761,185,106,115,137,123,28,1561,1
65.3,41,677,768,184,105,116,137,121,28,1537,1
65.34,41,688,773,181,105,117,138,123,28,1559,1
65.27,42,691,770,177,105,117,138,123,27,1579,1
65.3,41,678,760,183,105,116,137,122,27,1566,1
65.32,41,672,756,183,105,115,136,121,27,1531,1
65.33,41,672,756,182,104,114,136,121,27,1527,1
65.34,41,671,755,183,104,115,136,121,27,1527,1
65.35,41,670,754,182,104,115,136,121,27,1523,1
65.39,41,672,756,182,104,115,136,122,27,1536,1
65.35,41,672,756,182,104,114,136,121,27,1528,1
65.36,41,678,760,182,105,115,137,122,27,1543,1
65.38,41,684,773,181,105,115,137,121,28,1515,1
65.41,41,677,763,183,105,115,136,121,27,1530,1
65.42,41,674,760,181,104,114,136,121,27,1509,1
65.39,41,673,758,183,104,115,136,120,27,1500,1
65.44,41,675,760,181,104,115,137,121,27,1506,1
65.44,41,672,766,183,105,114,136,120,27,1480,1
65.29,41,673,761,182,104,115,136,121,27,1488,1
65.32,41,674,767,184,105,114,137,121,27,1483,1
65.4,41,680,779,189,107,116,139,122,28,1538,1
65.32,41,677,783,192,108,116,138,121,28,1500,1
65.3,41,678,798,199,110,117,139,122,28,1520,1
65.36,42,677,810,209,113,117,139,121,28,1506,1
65.35,42,680,832,222,117,118,140,122,29,1529,1
65.36,43,687,860,242,124,121,142,124,29,1557,1
65.37,44,686,897,265,131,123,144,125,30,1566,1
65.3,45,692,951,297,141,127,147,128,32,1613,1
65.32,46,690,1008,336,153,131,149,129,33,1636,1
65.3,48,687,1063,379,166,136,151,130,34,1646,1
65.34,49,690,1130,420,179,141,154,133,35,1672,1
65.34,51,695,1212,473,196,146,157,135,37,1724,1
65.31,53,701,1288,521,211,152,161,138,39,1770,1
65.33,54,704,1362,570,226,157,164,140,41,1792,1
