timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2524.909,,,,,,,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525.431,,,,,,,30.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526.947,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527.805,,,,,,,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528.519,30.93,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528.581,,,,,,,,,,,,,,,,,,,,,,,1536.0,18000.0,1020.0,510.0,561.0,1406.0,693.0,528.0,66.0,18000.0,2.028860028860029,28.2,28.2
2528.68,30.92,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528.835,31.01,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528.918,,,,,,,30.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528.99,31.53,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.143,32.41,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.293,33.65,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.443,34.99,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.594,36.67,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.743,38.29,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.893,39.81,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
