timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
45.425,,,,,,,32.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.653,,,,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.646,,,,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.721,,,,,,,32.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.659,,,,,,,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.276,,,,,,,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.3,,,,,,,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.635,,,,,,,32.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.724,,,,,,,31.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.417,,,,,,,31.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.636,,,,,,,31.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.884,,,,,,,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.884,,,,,,,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.257,,,,,,,31.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.553,,,,,,,31.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.318,,,,,,,31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.228,,,,,,,31.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.195,,,,,,,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.401,,,,,,,31.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.401,,,,,,,31.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.406,,,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.793,,,,,,,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.213,,,,,,,31.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.338,,,,,,,31.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.574,,,,,,,,,,,,,,,,,,,,,,,185.0,5432.0,1731.0,897.0,380.0,191.0,165.0,182.0,65.0,4624.0,1.1575757575757575,29.77,29.77
129.622,31.86,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.765,31.88,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.92,32.49,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.071,33.55,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.22,34.92,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.375,36.5,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.45,,,,,,,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.52,38.25,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.67,39.99,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.82,41.85,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.973,43.47,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.123,45.26,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.227,,,,,,,,,,,,,,,,,,,,,,,183.0,5410.0,1692.0,876.0,372.0,188.0,163.0,179.0,63.0,4573.0,1.1533742331288344,29.75,29.75
131.274,46.83,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
