,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,3097512.0,33.54,33.57,90.0,,33.55
1,3097640.0,33.54,33.57,90.0,,33.55
2,3097789.0,33.59,33.58,90.0,,33.54
3,3097940.0,33.84,33.63,90.0,,33.5
4,3098097.0,34.22,33.73,90.0,,33.46
5,3098.196,,,,30.84,
6,3098253.0,35.18,33.98,90.0,,33.38
7,3098396.0,36.03,34.29,90.0,,33.32
8,3098546.0,37.54,34.81,90.0,,33.22
9,3098696.0,38.75,35.35,90.0,,33.14
10,3098.797,,,,31.43,
11,3098855.0,40.59,36.09,90.0,,33.03
12,3098997.0,42.45,36.93,90.0,,32.93
13,3099146.0,43.91,37.72,90.0,,32.86
14,3099297.0,45.92,38.67,90.0,,32.75
15,3099447.0,47.54,39.61,90.0,,32.67
16,3099.447,,,,32.52,
17,3099597.0,49.12,40.52,90.0,,32.6
18,3099747.0,51.22,41.55,90.0,,32.5
19,3099897.0,52.78,42.52,90.0,,32.44
20,3100047.0,54.35,43.46,90.0,,32.37
21,3100.047,,,,34.02,
22,3100197.0,56.4,44.52,90.0,,32.28
23,3100347.0,57.93,45.5,90.0,,32.22
24,3100497.0,59.43,46.46,90.0,,32.16
25,3100647.0,61.4,47.49,90.0,,32.09
26,3100.647,,,,35.64,
27,3100797.0,62.84,48.47,90.0,,32.03
28,3100947.0,64.26,49.43,90.0,,31.99
29,3101097.0,66.14,50.45,90.0,,31.93
30,3101247.0,67.52,51.43,90.0,,31.89
31,3101.247,,,,37.78,
32,3101397.0,68.85,52.37,90.0,,31.85
33,3101548.0,70.64,53.34,90.0,,31.78
34,3101698.0,71.95,54.32,90.0,,31.74
35,3101848.0,73.24,55.25,90.0,,31.7
36,3101.848,,,,40.21,
37,3101998.0,74.91,56.21,90.0,,31.66
38,3102148.0,76.15,57.17,90.0,,31.62
39,3102298.0,77.35,58.09,90.0,,31.6
