timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
524.362,20.8,24,62,19.84,20.81,19.56
524.362,20.8,24,62,19.84,20.81,19.56
524.362,20.8,24,62,19.84,20.81,19.56
524.362,20.8,24,62,19.84,20.81,19.56
524.511,20.8,24,62,19.84,20.82,19.56
524.511,20.8,24,62,19.84,20.82,19.56
524.511,20.8,24,62,19.84,20.82,19.56
524.511,20.8,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.661,20.99,24,62,19.84,20.82,19.56
524.811,21.42,24,62,,20.81,
524.811,21.42,24,62,,20.81,
524.811,21.42,24,62,,20.81,
524.811,21.42,24,62,,20.81,
524.961,22.12,24,62,,20.79,
524.961,22.12,24,62,,20.79,
524.961,22.12,24,62,,20.79,
524.961,22.12,24,62,,20.79,
525.112,23.32,24,62,,20.73,
525.112,23.32,24,62,,20.73,
525.112,23.32,24,62,,20.73,
525.112,23.32,24,62,,20.73,
525.261,24.37,24,62,,20.69,
525.261,24.37,24,62,,20.69,
525.261,24.37,24,62,,20.69,
525.261,24.37,24,62,,20.69,
525.354,,,,19.79,,19.55
525.354,,,,19.79,,19.55
525.411,25.52,24,62,,20.65,
525.411,25.52,24,62,,20.65,
525.411,25.52,24,62,,20.65,
525.411,25.52,24,62,,20.65,
525.561,27.13,24,62,,20.57,
525.561,27.13,24,62,,20.57,
525.561,27.13,24,62,,20.57,
525.561,27.13,24,62,,20.57,
525.711,28.37,24,62,,20.51,
525.711,28.37,24,62,,20.51,
525.711,28.37,24,62,,20.51,
525.711,28.37,24,62,,20.51,
525.861,29.63,24,62,19.87,20.43,19.55
525.861,29.63,24,62,19.87,20.43,19.55
525.861,29.63,24,62,19.87,20.43,19.55
525.861,29.63,24,62,19.87,20.43,19.55
525.861,29.63,24,62,19.87,20.43,19.55
525.861,29.63,24,62,19.87,20.43,19.55
526.011,31.33,24,62,,20.35,
526.011,31.33,24,62,,20.35,
526.011,31.33,24,62,,20.35,
526.011,31.33,24,62,,20.35,
526.161,32.61,24,62,,20.28,
526.161,32.61,24,62,,20.28,
526.161,32.61,24,62,,20.28,
526.161,32.61,24,62,,20.28,
526.311,33.89,24,62,,20.2,
526.311,33.89,24,62,,20.2,
526.311,33.89,24,62,,20.2,
526.311,33.89,24,62,,20.2,
526.461,35.56,24,62,,20.11,
526.461,35.56,24,62,,20.11,
526.461,35.56,24,62,,20.11,
526.461,35.56,24,62,,20.11,
526.492,,,,19.85,,19.56
526.492,,,,19.85,,19.56
526.611,36.81,24,62,,20.05,
526.611,36.81,24,62,,20.05,
526.611,36.81,24,62,,20.05,
526.611,36.81,24,62,,20.05,
526.761,38.04,24,62,,19.98,
526.761,38.04,24,62,,19.98,
526.761,38.04,24,62,,19.98,
526.761,38.04,24,62,,19.98,
526.911,39.67,24,62,,19.9,
526.911,39.67,24,62,,19.9,
526.911,39.67,24,62,,19.9,
526.911,39.67,24,62,,19.9,
527.061,40.87,24,62,19.87,19.83,19.53
527.061,40.87,24,62,19.87,19.83,19.53
527.061,40.87,24,62,19.87,19.83,19.53
527.061,40.87,24,62,19.87,19.83,19.53
527.061,40.87,24,62,19.87,19.83,19.53
