,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,1653.888,28.04,24.0,62.0,,28.59
1,1654.038,28.04,24.0,62.0,,28.58
2,1654.188,28.07,24.0,62.0,,28.58
3,1654.188,,,,22.21,
4,1654.338,28.36,24.0,62.0,,28.57
5,1654.488,28.91,24.0,62.0,,28.55
6,1654.638,29.76,24.0,62.0,,28.52
7,1654.788,31.2,24.0,62.0,,28.46
8,1654.788,,,,22.19,
9,1654.938,32.43,24.0,62.0,,28.41
10,1655.088,33.72,24.0,62.0,,28.37
11,1655.238,35.49,24.0,62.0,,28.31
12,1655.388,36.83,24.0,62.0,,28.26
13,1655.388,,,,22.25,
14,1655.538,38.18,24.0,62.0,,28.21
15,1655.688,39.95,24.0,62.0,,28.14
16,1655.838,41.26,24.0,62.0,,28.08
17,1655.988,42.54,24.0,62.0,,28.02
18,1656.1,,,,22.28,
19,1656.139,44.22,24.0,62.0,,27.96
20,1656.288,45.45,24.0,62.0,,27.91
21,1656.438,46.66,24.0,62.0,,27.86
22,1656.588,48.26,24.0,62.0,,27.8
23,1656.588,,,,22.3,
24,1656.738,49.47,24.0,62.0,,27.74
25,1656.888,50.65,24.0,62.0,,27.69
26,1657.038,52.2,24.0,62.0,,27.63
27,1657.188,53.36,24.0,62.0,,27.57
28,1657.205,,,,22.33,
29,1657.338,54.49,24.0,62.0,,27.52
30,1657.488,55.98,24.0,62.0,,27.46
31,1657.638,57.06,24.0,62.0,,27.41
32,1657.788,58.13,24.0,62.0,,27.37
33,1657.788,,,,22.33,
34,1657.938,59.53,24.0,62.0,,27.3
35,1658.088,60.56,24.0,62.0,,27.25
36,1658.238,61.57,24.0,62.0,,27.21
37,1658.388,62.9,24.0,62.0,,27.15
38,1658.388,,,,22.34,
39,1658.584,63.88,24.0,62.0,,27.11
40,1658.708,65.05,24.0,62.0,,27.06
41,1658.858,66.07,24.0,62.0,,27.02
42,1659.008,67.0,24.14,62.0,,26.98
43,1659.008,,,,22.43,
44,1659.158,68.21,24.28,62.0,,26.93
45,1659.308,69.1,24.43,62.0,,26.89
46,1659.458,69.98,24.59,62.0,,26.85
47,1659.608,71.12,24.75,62.0,,26.8
48,1659.608,,,,22.71,
49,1659.758,71.97,24.92,62.0,,26.76
50,1659.908,72.82,25.09,62.0,,26.72
51,1660.058,73.9,25.28,62.0,,26.67
52,1660.208,74.69,25.46,62.0,,26.64
53,1660.208,,,,24.11,
54,1660.358,75.48,25.65,62.0,,26.61
55,1660.508,76.48,25.85,62.0,,26.56
56,1660.658,77.24,26.04,62.0,,26.54
57,1660.808,77.98,26.24,62.0,,26.5
58,1660.808,,,,25.38,
59,1660.958,78.96,26.46,62.0,,26.46
60,1661.108,79.66,26.67,62.0,,26.42
61,1661.258,80.38,26.88,62.0,,26.4
62,1661.408,81.31,27.11,62.0,,26.36
63,1661.408,,,,27.2,
64,1661.558,81.98,27.33,62.0,,26.33
65,1661.709,82.65,27.56,62.0,,26.31
66,1661.858,83.54,27.8,62.0,,26.28
67,1662.008,84.18,28.03,62.0,,26.25
68,1662.008,,,,29.83,
69,1662.158,84.81,28.26,62.0,,26.23
70,1662.308,85.62,28.52,62.0,,26.2
71,1662.458,86.23,28.76,62.0,,26.19
72,1662.608,86.86,29.0,62.0,,26.17
73,1662.608,,,,32.57,
74,1662.758,87.64,29.26,62.0,,26.14
75,1662.908,88.23,29.51,62.0,,26.11
76,1663.058,88.79,29.76,62.0,,26.09
77,1663.208,89.54,30.03,62.0,,26.06
78,1663.208,,,,33.37,
79,1663.358,90.11,30.29,62.0,,26.05
80,1663.508,90.67,30.55,62.0,,26.03
81,1663.658,91.41,30.84,62.0,,26.02
82,1663.808,91.94,31.1,62.0,,26.0
83,1663.919,,,,33.31,
84,1663.959,92.46,31.36,62.0,,25.98
85,1664.108,93.15,31.65,62.0,,25.96
86,1664.258,93.64,31.92,62.0,,25.95
87,1664.408,94.16,32.19,62.0,,25.93
88,1664.408,,,,33.63,
89,1664.558,94.8,32.48,62.0,,25.91
90,1664.708,95.29,32.76,62.0,,25.9
91,1664.858,95.77,33.04,62.0,,25.89
92,1665.008,96.39,33.34,62.0,,25.87
93,1665.024,,,,33.9,
94,1665.158,96.86,33.62,62.0,,25.86
95,1665.308,97.31,33.89,62.0,,25.86
96,1665.458,97.9,34.2,62.0,,25.84
97,1665.608,98.32,34.48,62.0,,25.84
98,1665.608,,,,33.99,
