,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,5475.912,33.52,24.0,62.0,,35.07
1,5476.077,33.53,24.0,62.0,,35.06
2,5476.206,,,,22.91,
3,5476.226,33.62,24.0,62.0,,35.05
4,5476.395,34.07,24.0,62.0,,35.03
5,5476.543,34.52,24.0,62.0,,35.01
6,5476.693,35.44,24.0,62.0,,34.96
7,5476.77,,,,22.93,
8,5476.86,36.51,24.0,62.0,,34.91
9,5477.01,37.74,24.0,62.0,,34.86
10,5477.177,39.03,24.0,62.0,,34.8
11,5477.327,40.41,24.0,62.0,,34.75
12,5477.349,,,,23.0,
13,5477.496,42.29,24.0,62.0,,34.67
14,5477.646,43.31,24.0,62.0,,34.62
15,5477.825,45.21,24.0,62.0,,34.53
16,5477.974,46.71,24.0,62.0,,34.47
17,5477.977,,,,23.04,
18,5478.124,48.09,24.0,62.0,,34.4
19,5478.291,49.55,24.0,62.0,,34.34
20,5478.441,50.94,24.0,62.0,,34.28
21,5478.591,52.16,24.0,62.0,,34.22
22,5478.591,,,,23.13,
23,5478.741,53.75,24.0,62.0,,34.15
24,5478.891,54.92,24.0,62.0,,34.09
25,5479.041,56.07,24.0,62.0,,34.04
26,5479.191,57.58,24.0,62.0,,33.97
27,5479.191,,,,23.16,
28,5479.341,58.69,24.0,62.0,,33.92
29,5479.492,59.78,24.0,62.0,,33.87
30,5479.641,61.22,24.0,62.0,,33.8
31,5479.791,62.27,24.0,62.0,,33.76
32,5479.791,,,,23.2,
33,5479.941,63.31,24.0,62.0,,33.71
34,5480.091,64.67,24.0,62.0,,33.64
35,5480.241,65.67,24.0,62.0,,33.59
36,5480.391,66.66,24.0,62.0,,33.55
37,5480.391,,,,23.26,
38,5480.541,67.97,24.0,62.0,,33.48
39,5480.691,68.91,24.0,62.0,,33.44
40,5480.841,69.84,24.09,62.0,,33.39
41,5480.991,71.05,24.25,62.0,,33.33
42,5480.991,,,,23.43,
43,5481.141,71.97,24.41,62.0,,33.29
44,5481.292,72.86,24.57,62.0,,33.25
45,5481.441,74.02,24.75,62.0,,33.18
46,5481.591,74.89,24.92,62.0,,33.15
