timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3381.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.271,,,,,,,,30.22,30.21,30.46,30.46,55,,,,0.01,0,-144.15,,100,,,,,,,,,,,,,
3399.315,29.34,29.39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.369,,,,,,,,30.19,30.2,30.45,30.47,55,,,,0.12,0,-0.49,,80.6,,,,,,,,,,,,,
3399.389,,,,29.92,,,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.415,29.38,29.38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.47,,,,,,,,30.32,30.2,30.45,30.5,55,,,,0.27,0,-0.77,,81.05,,,,,,,,,,,,,
3399.515,29.57,29.38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.57,,,,,,,,30.74,30.22,30.47,30.54,55,,,,0.43,0.01,-0.39,,80.83,,,,,,,,,,,,,
3399.615,29.96,29.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.668,,,,,,,,31.37,30.3,30.5,30.6,55,,,,0.55,0.01,-0.28,,80.84,,,,,,,,,,,,,
3399.714,30.55,29.48,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.768,,,,,,,,32.23,30.47,30.56,30.67,55,,,,0.6,0.02,0.18,,80.44,,,,,,,,,,,,,
3399.814,31.24,29.65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.868,,,,,,,,33.14,30.77,30.65,30.76,55,,,,0.58,0.03,0.65,,79.96,,,,,,,,,,,,,
3399.914,32,29.92,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399.968,,,,,,,,34.12,31.22,30.77,30.86,55,,,,0.49,0.03,1.15,,79.38,,,,,,,,,,,,,
3400.015,32.77,30.31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400.068,,,,,,,,35.15,31.81,30.92,30.98,55,,,,0.32,0.04,1.71,,78.64,,,,,,,,,,,,,
3400.115,33.47,30.81,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400.169,,,,,,,,36.16,32.53,31.1,31.12,55,,,,0.09,0.04,2.07,,78.07,,,,,,,,,,,,,
