,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,4121.954,30.52,30.49,55.0,,30.63
1,4122.109,30.52,30.49,55.0,,30.63
2,4122.258,30.71,30.51,55.0,,30.61
3,4122.271,,,,24.53,
4,4122.404,31.18,30.57,55.0,,30.58
5,4122.554,31.97,30.7,55.0,,30.52
6,4122.71,33.02,30.93,55.0,,30.46
7,4122.854,34.77,31.31,55.0,,30.38
8,4122.854,,,,24.6,
9,4123.004,36.21,31.78,55.0,,30.31
10,4123.159,37.74,32.34,55.0,,30.24
11,4123.306,39.9,33.03,55.0,,30.15
12,4123.43,,,,25.22,
13,4123.458,41.58,33.8,55.0,,30.07
14,4123.605,43.32,34.62,55.0,,30.0
15,4123.76,44.97,35.5,55.0,,29.93
16,4123.91,46.65,36.4,55.0,,29.87
17,4124.056,48.84,37.41,55.0,,29.77
18,4124.056,,,,25.3,
19,4124.208,50.41,38.41,55.0,,29.71
20,4124.361,51.96,39.42,55.0,,29.65
21,4124.507,54.0,40.5,55.0,,29.57
22,4124.657,55.5,41.55,55.0,,29.52
23,4124.662,,,,25.57,
24,4124.81,56.96,42.6,55.0,,29.47
25,4124.961,59.01,43.67,55.0,,29.4
26,4125.107,60.47,44.76,55.0,,29.36
27,4125.257,61.86,45.83,55.0,,29.31
28,4125.272,,,,25.81,
29,4125.41,63.23,46.88,55.0,,29.26
30,4125.56,65.13,47.95,55.0,,29.21
31,4125.714,66.48,49.03,55.0,,29.17
32,4125.87,67.79,50.09,55.0,,29.14
33,4125.87,,,,26.48,
34,4126.017,69.37,51.14,55.0,,29.09
35,4126.166,70.23,52.16,55.0,,29.11
36,4126.32,70.58,53.06,55.0,,29.16
37,4126.471,70.46,53.83,55.0,,29.27
38,4126.471,,,,26.76,
39,4126.616,69.7,54.41,55.0,,29.46
40,4126.767,68.9,54.83,55.0,,29.63
41,4126.918,67.95,55.1,55.0,,29.81
42,4127.063,66.52,55.19,55.0,,30.09
43,4127.063,,,,27.56,
44,4127.208,65.44,55.17,55.0,,30.29
45,4127.381,64.73,55.1,55.0,,30.42
46,4127.528,63.67,54.95,55.0,,30.64
47,4127.677,63.35,54.81,55.0,,30.73
48,4127.677,,,,28.2,
49,4127.832,63.1,54.7,55.0,,30.81
50,4127.977,63.01,54.63,55.0,,30.85
51,4128.128,62.94,54.58,55.0,,30.88
52,4128.282,62.89,54.57,55.0,,30.91
53,4128.282,,,,30.19,
54,4128.428,62.77,54.56,55.0,,30.94
55,4128.579,62.68,54.58,55.0,,30.96
56,4128.731,62.55,54.6,55.0,,30.97
57,4128.883,62.4,54.62,55.0,,30.98
58,4128.883,,,,37.25,
59,4129.03,62.17,54.63,55.0,,30.99
60,4129.179,61.99,54.65,55.0,,30.99
61,4129.334,61.79,54.66,55.0,,30.99
62,4129.479,61.55,54.66,55.0,,30.99
63,4129.479,,,,43.67,
64,4129.629,61.38,54.66,55.0,,30.99
65,4129.784,61.22,54.66,55.0,,30.98
66,4129.929,61.01,54.65,55.0,,30.97
67,4130.079,60.88,54.65,55.0,,30.97
68,4130.079,,,,46.14,
69,4130.241,60.77,54.66,55.0,,30.96
70,4130.379,60.62,54.66,55.0,,30.95
71,4130.529,60.53,54.67,55.0,,30.94
72,4130.679,60.43,54.69,55.0,,30.93
73,4130.679,,,,47.69,
74,4130.829,60.32,54.7,55.0,,30.92
75,4130.979,60.24,54.72,55.0,,30.91
76,4131.129,60.16,54.74,55.0,,30.9
77,4131.28,60.07,54.76,55.0,,30.9
78,4131.28,,,,48.88,
79,4131.429,60.0,54.78,55.0,,30.89
80,4131.58,59.94,54.81,55.0,,30.88
81,4131.734,59.87,54.84,55.0,,30.88
82,4131.881,59.77,54.86,55.0,,30.87
83,4131.881,,,,49.81,
84,4132.03,59.7,54.88,55.0,,30.86
85,4132.184,59.62,54.91,55.0,,30.86
86,4132.332,59.52,54.93,55.0,,30.85
87,4132.481,59.44,54.95,55.0,,30.85
88,4132.481,,,,51.94,
89,4132.631,59.37,54.97,55.0,,30.85
90,4132.782,59.28,54.99,55.0,,30.84
91,4132.93,59.21,55.01,55.0,,30.84
92,4133.081,59.13,55.02,55.0,,30.83
93,4133.081,,,,51.18,
94,4133.235,59.05,55.04,55.0,,30.83
95,4133.381,58.95,55.05,55.0,,30.82
96,4133.531,58.86,55.06,55.0,,30.82
97,4133.686,58.78,55.06,55.0,,30.81
98,4133.686,,,,51.88,
99,4133.834,58.69,55.07,55.0,,30.82
100,4133.983,58.63,55.08,55.0,,30.82
101,4134.132,58.58,55.09,55.0,,30.81
102,4134.283,58.48,55.09,55.0,,30.81
103,4134.283,,,,52.23,
104,4134.432,58.42,55.1,55.0,,30.81
105,4134.583,58.36,55.1,55.0,,30.81
106,4134.735,58.27,55.11,55.0,,30.8
107,4134.884,58.22,55.11,55.0,,30.8
108,4134.884,,,,52.58,
109,4135.034,58.16,55.12,55.0,,30.8
110,4135.185,58.08,55.12,55.0,,30.8
111,4135.334,58.02,55.12,55.0,,30.8
112,4135.484,57.97,55.13,55.0,,30.79
113,4135.484,,,,52.78,
114,4135.638,57.91,55.13,55.0,,30.79
115,4135.784,57.84,55.13,55.0,,30.79
116,4135.934,57.79,55.13,55.0,,30.79
117,4136.087,57.73,55.14,55.0,,30.78
118,4136.087,,,,53.09,
119,4136.24,57.68,55.14,55.0,,30.78
120,4136.387,57.61,55.13,55.0,,30.79
121,4136.536,57.55,55.13,55.0,,30.78
122,4136.691,57.49,55.13,55.0,,30.78
123,4136.691,,,,53.24,
124,4136.837,57.44,55.13,55.0,,30.79
125,4136.986,57.39,55.13,55.0,,30.78
126,4137.14,57.34,55.13,55.0,,30.78
127,4137.291,57.31,55.13,55.0,,30.78
128,4137.291,,,,53.47,
129,4137.438,57.26,55.12,55.0,,30.77
130,4137.588,57.22,55.12,55.0,,30.77
131,4137.742,57.17,55.12,55.0,,30.77
132,4137.888,57.13,55.12,55.0,,30.77
133,4137.902,,,,53.51,
134,4138.037,57.09,55.12,55.0,,30.77
135,4138.192,57.05,55.12,55.0,,30.77
136,4138.338,57.01,55.12,55.0,,30.77
137,4138.488,56.97,55.12,55.0,,30.77
138,4138.488,,,,53.62,
139,4138.643,56.92,55.12,55.0,,30.76
140,4138.789,56.9,55.12,55.0,,30.76
141,4138.939,56.86,55.11,55.0,,30.76
142,4139.091,56.83,55.11,55.0,,30.76
143,4139.091,,,,54.78,
144,4139.24,56.78,55.11,55.0,,30.76
145,4139.438,56.75,55.11,55.0,,30.76
146,4139.593,56.72,55.1,55.0,,30.76
147,4139.593,,,,53.71,
148,4139.74,56.67,55.1,55.0,,30.76
149,4139.89,56.65,55.1,55.0,,30.76
150,4140.044,56.62,55.09,55.0,,30.76
151,4140.19,56.59,55.09,55.0,,30.76
152,4140.339,56.57,55.09,55.0,,30.75
153,4140.339,,,,53.93,
154,4140.494,56.55,55.09,55.0,,30.75
155,4140.639,56.52,55.09,55.0,,30.75
156,4140.789,56.5,55.09,55.0,,30.75
157,4140.945,56.48,55.09,55.0,,30.75
158,4140.945,,,,53.75,
159,4141.09,56.46,55.09,55.0,,30.75
160,4141.239,56.42,55.08,55.0,,30.74
161,4141.395,56.39,55.08,55.0,,30.75
162,4141.54,56.35,55.08,55.0,,30.74
163,4141.54,,,,53.9,
164,4141.689,56.33,55.07,55.0,,30.74
165,4141.844,56.31,55.07,55.0,,30.74
166,4141.99,56.27,55.06,55.0,,30.74
167,4142.14,56.26,55.06,55.0,,30.74
168,4142.14,,,,53.79,
169,4142.295,56.25,55.06,55.0,,30.74
170,4142.441,56.21,55.06,55.0,,30.73
171,4142.591,56.2,55.05,55.0,,30.73
172,4142.745,56.19,55.05,55.0,,30.73
173,4142.745,,,,53.89,
174,4142.89,56.17,55.05,55.0,,30.73
175,4143.041,56.16,55.05,55.0,,30.72
176,4143.196,56.15,55.05,55.0,,30.72
177,4143.34,56.13,55.05,55.0,,30.72
178,4143.34,,,,53.84,
179,4143.49,56.13,55.05,55.0,,30.71
180,4143.645,56.12,55.05,55.0,,30.72
181,4143.791,56.1,55.05,55.0,,30.71
182,4143.941,56.1,55.05,55.0,,30.71
183,4143.941,,,,53.9,
184,4144.096,56.09,55.05,55.0,,30.71
185,4144.242,56.08,55.05,55.0,,30.71
186,4144.391,56.07,55.06,55.0,,30.71
187,4144.546,56.06,55.06,55.0,,30.71
188,4144.56,,,,53.84,
189,4144.692,56.05,55.06,55.0,,30.71
190,4144.842,56.04,55.06,55.0,,30.7
191,4144.997,56.03,55.06,55.0,,30.7
192,4145.142,56.01,55.06,55.0,,30.7
193,4145.142,,,,53.82,
