,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,3174.787,31.14,24.0,62.0,,32.26
1,3174.96,31.14,24.0,62.0,,32.26
2,3175.109,31.27,24.0,62.0,,32.24
3,3175.26,31.61,24.0,62.0,,32.22
4,3175.409,32.28,24.0,62.0,,32.16
5,3175.409,,,,23.01,
6,3175.56,33.03,24.0,62.0,,32.09
7,3175.71,34.1,24.0,62.0,,32.0
8,3175.86,35.12,24.0,62.0,,31.92
9,3176.009,36.42,24.0,62.0,,31.83
10,3176.009,,,,22.99,
11,3176.16,37.49,24.0,62.0,,31.75
12,3176.309,38.85,24.0,62.0,,31.64
13,3176.46,39.97,24.0,62.0,,31.57
14,3176.609,41.35,24.0,62.0,,31.47
15,3176.609,,,,23.08,
16,3176.761,42.5,24.0,62.0,,31.39
17,3176.909,43.83,24.0,62.0,,31.3
18,3177.061,44.96,24.0,62.0,,31.24
19,3177.209,46.33,24.0,62.0,,31.14
20,3177.209,,,,23.02,
21,3177.36,47.45,24.0,62.0,,31.07
22,3177.509,48.81,24.0,62.0,,30.99
23,3177.66,49.84,24.0,62.0,,30.93
24,3177.809,51.14,24.0,62.0,,30.86
25,3177.809,,,,23.0,
26,3177.96,52.15,24.0,62.0,,30.79
27,3178.109,53.38,24.0,62.0,,30.72
28,3178.261,54.41,24.0,62.0,,30.66
29,3178.409,55.59,24.0,62.0,,30.59
30,3178.409,,,,23.12,
31,3178.561,56.57,24.0,62.0,,30.55
32,3178.709,57.73,24.0,62.0,,30.48
33,3178.86,58.66,24.0,62.0,,30.43
34,3179.009,59.8,24.0,62.0,,30.37
35,3179.009,,,,23.07,
36,3179.16,60.89,24.0,62.0,,30.31
37,3179.31,61.79,24.0,62.0,,30.26
38,3179.461,62.66,24.0,62.0,,30.22
39,3179.609,63.73,24.0,62.0,,30.17
40,3179.609,,,,23.1,
41,3179.761,64.57,24.04,62.0,,30.14
42,3179.909,65.6,24.17,62.0,,30.08
43,3180.061,66.42,24.31,62.0,,30.04
44,3180.209,67.4,24.45,62.0,,29.99
45,3180.209,,,,23.16,
46,3180.36,68.32,24.6,62.0,,29.94
47,3180.509,69.1,24.76,62.0,,29.92
