,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,68.477,21.83,22.05,55.0,,21.4
1,68.483,,,,23.59,
2,68.626,21.83,22.05,55.0,,21.41
3,68.775,21.99,22.06,55.0,,21.4
4,68.925,22.56,22.12,55.0,,21.37
5,69.075,23.59,22.29,55.0,,21.33
6,69.075,,,,23.56,
7,69.226,24.98,22.57,55.0,,21.26
8,69.376,26.62,22.99,55.0,,21.19
9,69.526,28.38,23.52,55.0,,21.12
10,69.676,30.21,24.17,55.0,,21.05
11,69.698,,,,24.97,
12,69.825,32.1,24.92,55.0,,20.98
13,69.976,34.02,25.75,55.0,,20.91
14,70.125,35.91,26.65,55.0,,20.84
15,70.276,37.8,27.6,55.0,,20.77
16,70.312,,,,25.5,
17,70.425,39.66,28.6,55.0,,20.71
18,70.575,41.5,29.63,55.0,,20.65
19,70.725,43.29,30.69,55.0,,20.59
20,70.875,45.02,31.76,55.0,,20.54
21,70.875,,,,24.3,
22,71.025,46.76,32.85,55.0,,20.48
23,71.191,48.2,33.93,55.0,,20.43
24,71.34,50.22,35.05,55.0,,20.37
25,71.49,51.74,36.16,55.0,,20.33
26,71.49,,,,24.11,
27,71.64,53.23,37.25,55.0,,20.28
28,71.79,54.62,38.33,55.0,,20.24
29,71.94,56.02,39.39,55.0,,20.21
30,72.09,57.48,40.44,55.0,,20.17
31,72.09,,,,25.65,
32,72.24,59.01,41.5,55.0,,20.13
33,72.39,60.51,42.56,55.0,,20.1
34,72.54,62.03,43.63,55.0,,20.07
35,72.69,63.5,44.7,55.0,,20.04
36,72.69,,,,24.79,
37,72.84,64.95,45.77,55.0,,20.01
38,72.99,66.34,46.83,55.0,,19.99
39,73.141,67.72,47.89,55.0,,19.96
40,73.29,69.06,48.94,55.0,,19.94
41,73.29,,,,25.88,
42,73.441,70.38,49.99,55.0,,19.91
43,73.597,71.64,51.02,55.0,,19.9
44,73.746,72.91,52.04,55.0,,19.87
45,73.896,74.14,53.05,55.0,,19.86
46,73.896,,,,26.79,
47,74.046,75.04,54.03,55.0,,19.86
48,74.197,75.31,54.91,55.0,,19.91
49,74.347,75.06,55.65,55.0,,20.02
50,74.5,74.3,56.22,55.0,,20.2
51,74.585,,,,28.97,
52,74.642,73.22,56.61,55.0,,20.44
53,74.792,71.91,56.82,55.0,,20.7
54,74.942,70.54,56.88,55.0,,20.97
55,75.089,69.3,56.82,55.0,,21.21
56,75.089,,,,36.35,
57,75.24,68.22,56.69,55.0,,21.42
58,75.389,67.3,56.52,55.0,,21.57
59,75.54,66.52,56.32,55.0,,21.67
60,75.689,65.85,56.11,55.0,,21.74
61,75.689,,,,44.34,
62,75.841,65.24,55.91,55.0,,21.8
63,75.992,64.68,55.71,55.0,,21.83
64,76.139,64.17,55.52,55.0,,21.87
65,76.291,63.72,55.35,55.0,,21.89
66,76.291,,,,47.09,
67,76.439,63.29,55.18,55.0,,21.91
68,76.589,62.89,55.03,55.0,,21.92
69,76.739,62.53,54.89,55.0,,21.94
70,76.889,62.19,54.77,55.0,,21.95
71,76.889,,,,48.84,
72,77.04,61.88,54.65,55.0,,21.96
73,77.189,61.61,54.55,55.0,,21.97
74,77.339,61.36,54.46,55.0,,21.98
75,77.489,61.14,54.39,55.0,,21.98
76,77.489,,,,50.11,
77,77.639,60.94,54.32,55.0,,21.98
78,77.789,60.76,54.27,55.0,,21.98
79,77.941,60.6,54.23,55.0,,21.98
80,78.089,60.45,54.2,55.0,,21.98
81,78.239,60.33,54.18,55.0,,21.98
82,78.239,,,,51.1,
83,78.391,60.21,54.17,55.0,,21.97
84,78.539,60.11,54.16,55.0,,21.97
85,78.689,60.01,54.16,55.0,,21.97
86,78.839,59.94,54.17,55.0,,21.97
87,78.839,,,,52.8,
88,78.989,59.85,54.19,55.0,,21.96
89,79.14,59.79,54.21,55.0,,21.96
90,79.29,59.72,54.23,55.0,,21.95
91,79.439,59.66,54.26,55.0,,21.94
92,79.439,,,,52.79,
93,79.591,59.61,54.29,55.0,,21.94
94,79.739,59.56,54.32,55.0,,21.94
95,79.889,59.52,54.36,55.0,,21.93
96,80.039,59.48,54.4,55.0,,21.93
97,80.039,,,,53.81,
98,80.189,59.44,54.44,55.0,,21.93
99,80.339,59.39,54.48,55.0,,21.92
100,80.489,59.34,54.52,55.0,,21.92
101,80.639,59.3,54.56,55.0,,21.92
102,80.639,,,,53.89,
103,80.789,59.24,54.6,55.0,,21.91
104,80.939,59.2,54.64,55.0,,21.92
105,81.089,59.15,54.67,55.0,,21.91
106,81.239,59.1,54.71,55.0,,21.91
107,81.239,,,,54.45,
108,81.391,59.05,54.74,55.0,,21.91
109,81.539,58.99,54.78,55.0,,21.91
110,81.689,58.94,54.81,55.0,,21.9
111,81.839,58.89,54.84,55.0,,21.91
112,81.839,,,,54.54,
113,81.989,58.85,54.87,55.0,,21.91
114,82.139,58.78,54.89,55.0,,21.91
115,82.289,58.71,54.92,55.0,,21.91
116,82.439,58.65,54.94,55.0,,21.91
117,82.439,,,,54.85,
118,82.589,58.6,54.96,55.0,,21.91
119,82.739,58.53,54.98,55.0,,21.91
120,82.889,58.47,55.0,55.0,,21.91
121,83.039,58.4,55.01,55.0,,21.91
122,83.039,,,,54.89,
123,83.228,58.33,55.03,55.0,,21.91
124,83.378,58.27,55.04,55.0,,21.92
125,83.528,58.2,55.05,55.0,,21.92
126,83.678,58.15,55.06,55.0,,21.92
127,83.678,,,,55.03,
128,83.828,58.1,55.07,55.0,,21.92
129,83.979,58.03,55.07,55.0,,21.92
130,84.128,57.98,55.08,55.0,,21.92
131,84.279,57.92,55.09,55.0,,21.93
132,84.279,,,,55.01,
133,84.429,57.86,55.09,55.0,,21.93
134,84.578,57.8,55.1,55.0,,21.93
135,84.729,57.74,55.1,55.0,,21.94
136,84.878,57.68,55.1,55.0,,21.94
137,84.878,,,,55.02,
138,85.028,57.63,55.11,55.0,,21.94
139,85.178,57.57,55.11,55.0,,21.94
140,85.328,57.52,55.11,55.0,,21.94
141,85.478,57.47,55.11,55.0,,21.94
142,85.485,,,,54.98,
143,85.628,57.42,55.11,55.0,,21.95
144,85.778,57.37,55.11,55.0,,21.95
145,85.928,57.32,55.11,55.0,,21.95
146,86.078,57.26,55.11,55.0,,21.95
147,86.078,,,,54.9,
148,86.228,57.21,55.1,55.0,,21.95
149,86.378,57.17,55.1,55.0,,21.96
150,86.528,57.11,55.1,55.0,,21.96
151,86.678,57.07,55.1,55.0,,21.96
152,86.678,,,,55.78,
153,86.828,57.02,55.09,55.0,,21.96
154,86.978,56.98,55.09,55.0,,21.96
155,87.128,56.95,55.09,55.0,,21.97
156,87.278,56.91,55.08,55.0,,21.97
157,87.278,,,,54.82,
158,87.428,56.87,55.08,55.0,,21.97
159,87.578,56.83,55.08,55.0,,21.97
160,87.729,56.79,55.07,55.0,,21.98
161,87.878,56.76,55.07,55.0,,21.98
162,87.878,,,,55.06,
163,88.028,56.73,55.07,55.0,,21.98
164,88.178,56.69,55.07,55.0,,21.98
165,88.328,56.65,55.06,55.0,,21.98
166,88.478,56.62,55.06,55.0,,21.99
167,88.478,,,,54.7,
168,88.628,56.59,55.06,55.0,,21.99
169,88.779,56.57,55.06,55.0,,21.99
170,88.929,56.54,55.05,55.0,,21.99
171,89.079,56.52,55.05,55.0,,21.99
172,89.079,,,,54.81,
173,89.228,56.5,55.05,55.0,,21.99
174,89.378,56.48,55.05,55.0,,22.0
175,89.528,56.45,55.05,55.0,,22.0
176,89.679,56.43,55.05,55.0,,22.0
177,89.679,,,,54.58,
178,89.829,56.38,55.05,55.0,,22.0
179,89.979,56.35,55.04,55.0,,22.0
180,90.128,56.32,55.04,55.0,,22.0
181,90.278,56.3,55.04,55.0,,22.0
182,90.278,,,,54.59,
183,90.428,56.28,55.03,55.0,,22.0
184,90.578,56.27,55.03,55.0,,22.01
185,90.73,56.25,55.03,55.0,,22.0
186,90.878,56.22,55.03,55.0,,22.01
187,90.878,,,,54.44,
188,91.028,56.22,55.03,55.0,,22.01
189,91.178,56.2,55.03,55.0,,22.01
190,91.328,56.19,55.03,55.0,,22.02
191,91.478,56.18,55.03,55.0,,22.02
192,91.478,,,,54.46,
193,91.628,56.17,55.03,55.0,,22.02
194,91.778,56.15,55.03,55.0,,22.02
195,91.929,56.13,55.03,55.0,,22.02
196,92.078,56.12,55.03,55.0,,22.02
197,92.078,,,,54.45,
198,92.229,56.1,55.03,55.0,,22.02
199,92.378,56.08,55.03,55.0,,22.02
200,92.529,56.07,55.03,55.0,,22.03
201,92.678,56.05,55.02,55.0,,22.03
202,92.678,,,,54.3,
203,92.828,56.04,55.02,55.0,,22.03
204,92.978,56.03,55.02,55.0,,22.04
205,93.128,56.01,55.02,55.0,,22.03
206,93.278,56.0,55.02,55.0,,22.03
207,93.292,,,,54.93,
208,93.428,55.98,55.02,55.0,,22.04
209,93.578,55.98,55.02,55.0,,22.04
210,93.728,55.97,55.02,55.0,,22.04
211,93.878,55.96,55.02,55.0,,22.04
212,93.878,,,,54.23,
213,94.028,55.96,55.02,55.0,,22.04
214,94.178,55.94,55.02,55.0,,22.04
215,94.328,55.93,55.02,55.0,,22.04
216,94.478,55.92,55.02,55.0,,22.04
217,94.478,,,,54.54,
218,94.628,55.92,55.02,55.0,,22.05
219,94.778,55.9,55.02,55.0,,22.04
220,94.928,55.9,55.01,55.0,,22.05
221,95.078,55.88,55.01,55.0,,22.05
222,95.078,,,,54.18,
223,95.262,55.88,55.01,55.0,,22.05
224,95.412,55.87,55.01,55.0,,22.05
225,95.564,55.87,55.01,55.0,,22.06
226,95.713,55.87,55.01,55.0,,22.06
227,95.713,,,,54.5,
228,95.862,55.86,55.01,55.0,,22.06
229,96.012,55.86,55.02,55.0,,22.06
230,96.162,55.85,55.02,55.0,,22.06
231,96.312,55.85,55.02,55.0,,22.07
232,96.312,,,,54.16,
233,96.462,55.83,55.02,55.0,,22.06
234,96.612,55.83,55.02,55.0,,22.07
235,96.763,55.83,55.02,55.0,,22.07
236,96.912,55.82,55.02,55.0,,22.07
237,96.912,,,,54.22,
238,97.062,55.81,55.02,55.0,,22.07
239,97.213,55.81,55.02,55.0,,22.07
240,97.362,55.79,55.02,55.0,,22.07
241,97.512,55.78,55.01,55.0,,22.07
242,97.512,,,,54.07,
243,97.662,55.78,55.01,55.0,,22.08
244,97.813,55.77,55.01,55.0,,22.08
245,97.963,55.76,55.01,55.0,,22.09
246,98.113,55.76,55.01,55.0,,22.08
247,98.113,,,,54.11,
248,98.264,55.75,55.01,55.0,,22.08
249,98.413,55.75,55.01,55.0,,22.08
250,98.562,55.75,55.01,55.0,,22.09
251,98.712,55.74,55.01,55.0,,22.09
252,98.712,,,,54.07,
253,98.862,55.74,55.01,55.0,,22.09
254,99.012,55.73,55.0,55.0,,22.09
255,99.162,55.74,55.01,55.0,,22.1
256,99.313,55.74,55.01,55.0,,22.1
257,99.313,,,,54.09,
258,99.463,55.74,55.01,55.0,,22.1
259,99.613,55.73,55.01,55.0,,22.09
260,99.763,55.72,55.01,55.0,,22.1
261,99.912,55.71,55.01,55.0,,22.1
262,100.001,,,,54.01,
263,100.063,55.7,55.0,55.0,,22.1
264,100.212,55.71,55.0,55.0,,22.1
265,100.363,55.71,55.0,55.0,,22.1
266,100.513,55.71,55.0,55.0,,22.1
267,100.513,,,,54.12,
268,100.663,55.71,55.01,55.0,,22.1
269,100.812,55.71,55.01,55.0,,22.11
270,100.963,55.7,55.01,55.0,,22.11
271,101.112,55.7,55.01,55.0,,22.11
272,101.118,,,,55.31,
273,101.262,55.69,55.01,55.0,,22.11
274,101.412,55.69,55.01,55.0,,22.11
275,101.563,55.69,55.01,55.0,,22.11
276,101.712,55.69,55.01,55.0,,22.12
