,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,65.004,24.31,24.53,55.0,,24.19
1,65.008,,,,22.93,
2,65.133,24.33,24.54,55.0,,24.2
3,65.284,24.5,24.58,55.0,,24.19
4,65.433,25.22,24.79,55.0,,24.13
5,65.583,26.24,25.18,55.0,,24.06
6,65.733,27.55,25.75,55.0,,24.0
7,65.883,29.03,26.49,55.0,,23.93
8,66.033,30.65,27.34,55.0,,23.86
9,66.183,32.27,28.24,55.0,,23.79
10,66.2,,,,24.18,
11,66.333,33.99,29.24,55.0,,23.72
12,66.483,36.05,30.31,55.0,,23.65
13,66.633,37.81,31.37,55.0,,23.58
14,66.711,,,,24.93,
15,66.783,39.47,32.41,55.0,,23.52
16,66.933,41.18,33.48,55.0,,23.46
17,67.083,42.78,34.53,55.0,,23.4
18,67.233,44.43,35.59,55.0,,23.35
19,67.233,,,,24.0,
20,67.383,46.31,36.69,55.0,,23.29
21,67.534,47.96,37.75,55.0,,23.24
22,67.684,49.49,38.78,55.0,,23.18
23,67.834,51.05,39.82,55.0,,23.12
24,67.859,,,,24.36,
25,67.984,52.64,40.88,55.0,,23.08
26,68.134,54.16,41.92,55.0,,23.03
27,68.284,55.67,42.99,55.0,,22.98
28,68.434,57.48,44.08,55.0,,22.93
29,68.434,,,,25.04,
30,68.584,58.98,45.14,55.0,,22.89
31,68.734,60.47,46.19,55.0,,22.87
32,68.884,61.82,47.21,55.0,,22.82
33,68.884,,,,27.38,
34,69.034,63.18,48.22,55.0,,22.79
35,69.184,64.5,49.22,55.0,,22.76
36,69.334,65.84,50.2,55.0,,22.73
37,69.484,67.32,51.2,55.0,,22.7
38,69.484,,,,35.97,
39,69.634,68.5,52.14,55.0,,22.67
40,69.791,69.68,53.06,55.0,,22.64
41,69.941,70.75,53.96,55.0,,22.62
42,70.091,71.77,54.82,55.0,,22.6
43,70.091,,,,46.39,
44,70.242,72.43,55.58,55.0,,22.62
45,70.392,72.49,56.1,55.0,,22.75
46,70.535,71.97,56.33,55.0,,22.91
47,70.685,71.09,56.31,55.0,,23.12
48,70.685,,,,50.03,
49,70.837,70.07,56.11,55.0,,23.32
50,70.985,69.17,55.84,55.0,,23.46
51,71.133,68.41,55.58,55.0,,23.58
52,71.133,,,,51.94,
53,71.283,67.67,55.35,55.0,,23.68
54,71.434,67.14,55.19,55.0,,23.73
55,71.585,66.66,55.07,55.0,,23.77
56,71.734,66.21,54.96,55.0,,23.8
57,71.734,,,,53.07,
58,71.883,65.83,54.88,55.0,,23.84
59,72.034,65.43,54.8,55.0,,23.86
60,72.185,64.97,54.73,55.0,,23.89
61,72.334,64.61,54.66,55.0,,23.91
62,72.375,,,,53.35,
63,72.484,64.29,54.61,55.0,,23.93
64,72.634,63.98,54.57,55.0,,23.95
65,72.784,63.68,54.53,55.0,,23.97
66,72.933,63.41,54.49,55.0,,23.99
67,72.933,,,,53.16,
68,73.084,63.09,54.46,55.0,,24.0
69,73.235,62.85,54.43,55.0,,24.0
70,73.384,62.64,54.42,55.0,,24.02
71,73.384,,,,53.49,
72,73.534,62.45,54.42,55.0,,24.04
73,73.684,62.26,54.42,55.0,,24.04
74,73.835,62.09,54.43,55.0,,24.05
75,73.984,61.9,54.43,55.0,,24.05
76,73.984,,,,53.49,
77,74.135,61.76,54.45,55.0,,24.06
78,74.285,61.61,54.46,55.0,,24.06
79,74.435,61.49,54.48,55.0,,24.06
80,74.585,61.37,54.51,55.0,,24.07
81,74.585,,,,53.95,
82,74.734,61.26,54.54,55.0,,24.07
83,74.885,61.15,54.56,55.0,,24.07
