,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,75.782,19.23,24.0,62.0,,18.95
1,75.988,19.29,24.0,62.0,,18.95
2,76.137,19.59,24.0,62.0,,18.93
3,76.288,20.26,24.0,62.0,,18.86
4,76.437,21.08,24.0,62.0,,18.82
5,76.588,22.24,24.0,62.0,,18.75
6,76.737,23.3,24.0,62.0,,18.69
7,76.888,24.68,24.0,62.0,,18.62
8,77.037,25.87,24.0,62.0,,18.55
9,77.191,27.29,24.0,62.0,,18.47
10,77.337,28.47,24.0,62.0,,18.42
11,77.488,29.86,24.0,62.0,,18.34
12,77.637,31.06,24.0,62.0,,18.28
13,77.637,,,,22.66,
14,77.789,32.2,24.0,62.0,,18.22
15,77.937,33.57,24.0,62.0,,18.15
16,78.089,34.68,24.0,62.0,,18.09
17,78.237,36.02,24.0,62.0,,18.03
18,78.388,37.08,24.0,62.0,,17.98
19,78.537,38.37,24.0,62.0,,17.92
20,78.689,39.42,24.0,62.0,,17.87
21,78.837,40.64,24.0,62.0,,17.8
22,78.837,,,,22.65,
23,78.988,41.66,24.0,62.0,,17.75
24,79.137,42.86,24.0,62.0,,17.69
25,79.288,43.82,24.0,62.0,,17.65
26,79.438,44.99,24.0,62.0,,17.59
27,79.438,,,,22.59,
28,79.588,45.93,24.0,62.0,,17.55
29,79.737,47.02,24.0,62.0,,17.5
30,79.888,48.1,24.0,62.0,,17.45
31,80.037,48.96,24.0,62.0,,17.4
32,80.037,,,,22.6,
33,80.188,49.97,24.0,62.0,,17.36
34,80.337,50.77,24.0,62.0,,17.31
35,80.488,51.72,24.0,62.0,,17.27
36,80.637,52.52,24.0,62.0,,17.23
37,80.637,,,,22.52,
38,80.789,53.32,24.07,62.0,,17.2
39,80.937,54.32,24.16,62.0,,17.15
40,81.089,55.17,24.26,62.0,,17.12
41,81.237,56.16,24.36,62.0,,17.07
42,81.237,,,,22.58,
43,81.389,57.01,24.47,62.0,,17.03
44,81.537,58.02,24.59,62.0,,17.01
45,81.687,58.85,24.71,62.0,,16.97
46,81.837,59.81,24.84,62.0,,16.93
47,81.837,,,,22.61,
48,81.988,60.58,24.97,62.0,,16.9
49,82.137,61.46,25.11,62.0,,16.87
50,82.287,62.19,25.25,62.0,,16.84
51,82.437,63.05,25.4,62.0,,16.8
52,82.437,,,,22.52,
53,82.588,63.73,25.55,62.0,,16.78
54,82.737,64.55,25.71,62.0,,16.75
55,82.887,65.25,25.87,62.0,,16.73
56,83.037,66.02,26.03,62.0,,16.69
57,83.037,,,,22.52,
58,83.188,66.67,26.2,62.0,,16.67
59,83.337,67.44,26.38,62.0,,16.64
60,83.488,68.06,26.55,62.0,,16.63
61,83.637,68.79,26.73,62.0,,16.61
62,83.637,,,,22.58,
63,83.789,69.4,26.91,62.0,,16.59
64,83.937,70.13,27.11,62.0,,16.56
65,84.088,70.69,27.29,62.0,,16.54
66,84.237,71.37,27.49,62.0,,16.52
67,84.237,,,,22.53,
68,84.388,71.95,27.68,62.0,,16.51
69,84.537,72.61,27.88,62.0,,16.49
70,84.723,73.28,28.13,62.0,,16.46
71,84.875,73.85,28.33,62.0,,16.45
72,84.875,,,,22.59,
73,85.024,74.46,28.54,62.0,,16.44
74,85.175,74.98,28.74,62.0,,16.42
75,85.323,75.55,28.96,62.0,,16.4
76,85.475,76.05,29.17,62.0,,16.4
77,85.475,,,,22.53,
78,85.623,76.63,29.39,62.0,,16.38
79,85.774,77.11,29.6,62.0,,16.37
80,85.923,77.64,29.82,62.0,,16.36
81,86.075,78.11,30.04,62.0,,16.35
82,86.075,,,,22.65,
83,86.223,78.66,30.26,62.0,,16.34
84,86.375,79.11,30.48,62.0,,16.33
85,86.523,79.64,30.72,62.0,,16.32
86,86.674,80.14,30.95,62.0,,16.32
87,86.674,,,,22.69,
88,86.823,80.59,31.17,62.0,,16.3
89,86.973,81.11,31.41,62.0,,16.29
90,87.124,81.51,31.64,62.0,,16.3
91,87.274,81.92,31.86,62.0,,16.28
92,87.274,,,,23.14,
93,87.423,82.4,32.1,62.0,,16.28
94,87.578,82.81,32.34,62.0,,16.28
95,87.723,83.3,32.58,62.0,,16.27
96,87.874,83.66,32.81,62.0,,16.27
97,87.874,,,,23.5,
98,88.023,84.12,33.05,62.0,,16.26
99,88.175,84.48,33.28,62.0,,16.26
100,88.324,84.93,33.53,62.0,,16.26
101,88.474,85.28,33.77,62.0,,16.26
102,88.474,,,,24.2,
103,88.623,85.72,34.02,62.0,,16.26
104,88.774,86.06,34.25,62.0,,16.26
105,88.923,86.47,34.5,62.0,,16.26
106,89.074,86.83,34.74,62.0,,16.26
107,89.074,,,,25.13,
108,89.223,87.22,34.99,62.0,,16.26
109,89.373,87.55,35.23,62.0,,16.27
110,89.524,87.97,35.49,62.0,,16.27
111,89.673,88.27,35.72,62.0,,16.27
112,89.673,,,,26.17,
113,89.823,88.67,35.98,62.0,,16.27
114,89.974,88.97,36.22,62.0,,16.27
115,90.123,89.34,36.47,62.0,,16.28
116,90.274,89.66,36.71,62.0,,16.28
117,90.274,,,,27.53,
118,90.423,90.01,36.97,62.0,,16.29
119,90.579,90.35,37.22,62.0,,16.3
120,90.725,90.64,37.46,62.0,,16.3
121,90.873,91.02,37.72,62.0,,16.3
122,90.873,,,,28.59,
123,91.025,91.31,37.97,62.0,,16.31
124,91.173,91.66,38.23,62.0,,16.32
125,91.324,91.93,38.47,62.0,,16.33
126,91.473,92.25,38.72,62.0,,16.34
127,91.473,,,,29.86,
128,91.625,92.54,38.97,62.0,,16.34
129,91.773,92.86,39.23,62.0,,16.35
130,91.925,93.12,39.47,62.0,,16.36
131,92.073,93.42,39.72,62.0,,16.37
132,92.073,,,,30.93,
133,92.225,93.7,39.97,62.0,,16.37
134,92.373,94.0,40.23,62.0,,16.38
135,92.525,94.24,40.47,62.0,,16.39
136,92.673,94.57,40.74,62.0,,16.41
137,92.717,,,,32.01,
138,92.825,94.81,40.98,62.0,,16.41
139,92.973,95.09,41.23,62.0,,16.42
140,93.124,95.32,41.47,62.0,,16.43
141,93.273,95.62,41.74,62.0,,16.45
142,93.273,,,,32.9,
143,93.424,95.87,41.98,62.0,,16.45
144,93.581,96.14,42.24,62.0,,16.47
145,93.725,96.36,42.48,62.0,,16.47
146,93.874,96.66,42.74,62.0,,16.49
147,93.874,,,,34.19,
148,94.025,96.89,42.99,62.0,,16.5
149,94.173,97.15,43.24,62.0,,16.51
150,94.325,97.37,43.49,62.0,,16.54
151,94.473,97.61,43.74,62.0,,16.54
152,94.473,,,,35.4,
153,94.624,97.88,44.0,62.0,,16.55
154,94.773,98.09,44.24,62.0,,16.57
155,94.926,98.29,44.48,62.0,,16.58
156,95.073,98.55,44.74,62.0,,16.6
157,95.073,,,,36.39,
158,95.225,98.75,44.98,62.0,,16.62
159,95.373,98.99,45.23,62.0,,16.63
160,95.524,99.21,45.48,62.0,,16.65
161,95.673,99.44,45.73,62.0,,16.66
162,95.673,,,,37.57,
163,95.824,99.69,45.99,62.0,,16.68
164,95.973,99.88,46.23,62.0,,16.69
165,96.124,100.07,46.47,62.0,,16.7
166,96.273,100.31,46.73,62.0,,16.73
167,96.273,,,,38.66,
168,96.424,100.5,46.97,62.0,,16.74
169,96.59,100.72,47.22,62.0,,16.76
170,96.742,100.91,47.48,62.0,,16.78
171,96.894,101.13,47.73,62.0,,16.8
172,96.894,,,,39.81,
173,97.042,101.35,47.99,62.0,,16.81
174,97.194,101.56,48.23,62.0,,16.82
175,97.342,101.8,48.49,62.0,,16.84
176,97.493,101.97,48.73,62.0,,16.87
177,97.493,,,,40.9,
178,97.642,102.16,48.97,62.0,,16.88
179,97.794,102.35,49.21,62.0,,16.9
180,97.942,102.55,49.46,62.0,,16.92
181,98.094,102.72,49.7,62.0,,16.94
182,98.094,,,,41.85,
183,98.244,102.92,49.95,62.0,,16.96
184,98.394,103.12,50.19,62.0,,16.97
185,98.542,103.29,50.43,62.0,,17.0
186,98.693,103.47,50.67,62.0,,17.01
187,98.693,,,,42.95,
188,98.842,103.66,50.92,62.0,,17.05
189,98.993,103.86,51.17,62.0,,17.07
190,99.143,104.04,51.41,62.0,,17.09
191,99.293,104.23,51.66,62.0,,17.11
192,99.293,,,,43.95,
193,99.443,104.39,51.89,62.0,,17.13
194,99.601,104.6,52.15,62.0,,17.14
195,99.744,104.76,52.38,62.0,,17.18
196,99.894,104.94,52.62,62.0,,17.19
197,99.894,,,,45.02,
198,100.044,105.09,52.85,62.0,,17.21
199,100.194,105.3,53.11,62.0,,17.25
200,100.345,105.44,53.33,62.0,,17.25
201,100.496,105.62,53.58,62.0,,17.29
202,100.496,,,,45.96,
203,100.645,105.78,53.81,62.0,,17.29
204,100.795,106.01,54.08,62.0,,17.31
205,100.945,106.15,54.31,62.0,,17.34
206,101.095,106.35,54.56,62.0,,17.37
207,101.095,,,,47.07,
208,101.245,106.48,54.78,62.0,,17.39
209,101.395,106.65,55.02,62.0,,17.41
210,101.546,106.81,55.26,62.0,,17.43
211,101.697,106.98,55.5,62.0,,17.46
212,101.697,,,,47.99,
213,101.845,107.13,55.73,62.0,,17.49
214,101.996,107.31,55.97,62.0,,17.5
215,102.145,107.44,56.2,62.0,,17.52
216,102.296,107.62,56.44,62.0,,17.55
217,102.296,,,,49.04,
218,102.445,107.76,56.64,62.0,,17.57
219,102.601,107.92,56.8,62.0,,17.59
220,102.745,108.08,56.95,62.0,,17.61
221,102.896,108.23,57.11,62.0,,17.65
222,102.896,,,,49.92,
223,103.045,108.38,57.26,62.0,,17.67
224,103.196,108.53,57.42,62.0,,17.7
225,103.345,108.69,57.58,62.0,,17.72
226,103.495,108.85,57.73,62.0,,17.74
227,103.495,,,,50.76,
228,103.644,108.98,57.89,62.0,,17.76
229,103.796,109.11,58.04,62.0,,17.8
230,103.945,109.28,58.2,62.0,,17.82
231,104.096,109.41,58.35,62.0,,17.84
232,104.096,,,,51.71,
233,104.245,109.59,58.51,62.0,,17.87
234,104.396,109.73,58.66,62.0,,17.89
235,104.545,109.85,58.82,62.0,,17.92
236,104.696,110.03,58.97,62.0,,17.95
237,104.696,,,,52.41,
238,104.846,110.13,59.13,62.0,,17.97
239,104.996,110.3,59.28,62.0,,17.99
240,105.145,110.38,59.44,62.0,,18.01
241,105.295,110.56,59.59,62.0,,18.04
242,105.295,,,,53.23,
243,105.444,110.72,59.75,62.0,,18.06
244,105.6,110.84,59.9,62.0,,18.09
245,105.744,110.99,60.06,62.0,,18.12
246,105.894,111.12,60.21,62.0,,18.16
247,105.894,,,,54.12,
248,106.045,111.22,60.37,62.0,,18.17
249,106.194,111.32,60.52,62.0,,18.2
250,106.344,111.34,60.67,62.0,,18.25
251,106.494,110.92,60.83,62.0,,18.35
252,106.494,,,,54.85,
