,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,316.561,26.37,26.44,55.0,,26.53
1,316.71,26.36,26.44,55.0,,26.55
2,316.86,26.38,26.44,55.0,,26.56
3,317.011,26.63,26.47,55.0,,26.53
4,317.197,27.63,26.58,55.0,,26.46
5,317.347,28.7,26.79,55.0,,26.37
6,317.497,30.04,27.11,55.0,,26.28
7,317.497,,,,23.72,
8,317.647,31.51,27.54,55.0,,26.21
9,317.797,33.06,28.06,55.0,,26.14
10,317.947,34.71,28.68,55.0,,26.06
11,318.098,36.43,29.38,55.0,,25.98
12,318.098,,,,24.47,
13,318.248,38.14,30.14,55.0,,25.91
14,318.398,39.75,30.96,55.0,,25.84
15,318.547,41.41,31.82,55.0,,25.74
16,318.697,42.98,32.71,55.0,,25.7
17,318.697,,,,23.3,
18,318.847,44.59,33.62,55.0,,25.62
19,318.997,46.16,34.56,55.0,,25.56
20,319.147,47.8,35.52,55.0,,25.49
21,319.297,49.39,36.5,55.0,,25.42
22,319.297,,,,23.26,
23,319.447,50.91,37.5,55.0,,25.39
24,319.597,52.45,38.51,55.0,,25.33
25,319.747,54.01,39.52,55.0,,25.28
26,319.897,55.42,40.54,55.0,,25.23
27,319.897,,,,23.29,
28,320.047,56.91,41.55,55.0,,25.17
29,320.197,58.36,42.56,55.0,,25.11
30,320.347,59.81,43.57,55.0,,25.06
31,320.497,61.15,44.57,55.0,,25.01
32,320.497,,,,23.46,
33,320.647,62.49,45.57,55.0,,24.95
34,320.797,63.86,46.58,55.0,,24.89
35,320.947,65.13,47.57,55.0,,24.87
36,321.097,66.46,48.55,55.0,,24.84
37,321.097,,,,23.75,
38,321.247,67.73,49.54,55.0,,24.8
39,321.397,68.97,50.51,55.0,,24.76
40,321.552,70.17,51.47,55.0,,24.75
41,321.702,71.36,52.42,55.0,,24.68
42,321.702,,,,24.44,
43,321.852,72.57,53.37,55.0,,24.68
44,322.003,73.5,54.29,55.0,,24.69
45,322.153,73.92,55.14,55.0,,24.74
46,322.304,73.73,55.86,55.0,,24.85
47,322.304,,,,26.56,
48,322.458,73.23,56.43,55.0,,25.02
49,322.597,72.28,56.83,55.0,,25.23
50,322.747,70.99,57.05,55.0,,25.41
51,322.897,69.69,57.12,55.0,,25.6
52,322.897,,,,34.55,
53,323.049,68.38,57.06,55.0,,25.81
54,323.2,67.26,56.92,55.0,,25.88
55,323.346,66.24,56.72,55.0,,26.03
56,323.498,65.43,56.49,55.0,,26.1
57,323.502,,,,39.81,
58,323.646,64.71,56.26,55.0,,26.17
59,323.797,64.11,56.03,55.0,,26.23
60,323.946,63.57,55.81,55.0,,26.25
61,324.097,63.13,55.61,55.0,,26.29
62,324.097,,,,41.7,
63,324.248,62.72,55.42,55.0,,26.3
64,324.399,62.35,55.25,55.0,,26.36
65,324.548,61.99,55.1,55.0,,26.37
66,324.697,61.65,54.96,55.0,,26.39
67,324.697,,,,43.92,
68,324.846,61.37,54.84,55.0,,26.4
69,324.996,61.04,54.72,55.0,,26.44
70,325.146,60.79,54.62,55.0,,26.42
71,325.296,60.55,54.53,55.0,,26.43
72,325.296,,,,45.2,
73,325.445,60.32,54.45,55.0,,26.43
74,325.595,60.12,54.38,55.0,,26.44
75,325.745,59.94,54.32,55.0,,26.42
76,325.897,59.76,54.27,55.0,,26.44
77,325.897,,,,46.43,
78,326.046,59.63,54.23,55.0,,26.44
79,326.195,59.49,54.19,55.0,,26.44
80,326.345,59.37,54.17,55.0,,26.43
81,326.495,59.25,54.15,55.0,,26.43
82,326.495,,,,47.27,
83,326.645,59.16,54.14,55.0,,26.41
84,326.795,59.05,54.13,55.0,,26.41
85,326.945,58.97,54.13,55.0,,26.42
86,327.096,58.9,54.13,55.0,,26.4
87,327.096,,,,48.16,
88,327.245,58.83,54.14,55.0,,26.37
89,327.396,58.79,54.15,55.0,,26.37
90,327.546,58.74,54.17,55.0,,26.37
91,327.696,58.7,54.19,55.0,,26.35
92,327.696,,,,48.75,
93,327.846,58.67,54.22,55.0,,26.34
94,327.996,58.64,54.25,55.0,,26.34
95,328.146,58.62,54.28,55.0,,26.33
96,328.297,58.6,54.32,55.0,,26.32
97,328.297,,,,49.56,
98,328.446,58.54,54.35,55.0,,26.32
99,328.596,58.52,54.39,55.0,,26.3
100,328.745,58.51,54.42,55.0,,26.26
101,328.895,58.47,54.46,55.0,,26.28
102,328.895,,,,50.13,
103,329.045,58.47,54.5,55.0,,26.28
104,329.216,58.42,54.54,55.0,,26.29
105,329.366,58.39,54.57,55.0,,26.24
106,329.516,58.4,54.61,55.0,,26.23
107,329.516,,,,50.67,
108,329.666,58.37,54.65,55.0,,26.26
109,329.816,58.32,54.69,55.0,,26.24
110,329.966,58.29,54.72,55.0,,26.24
111,330.115,58.25,54.75,55.0,,26.22
112,330.115,,,,51.15,
113,330.266,58.2,54.78,55.0,,26.22
114,330.416,58.17,54.81,55.0,,26.22
115,330.566,58.14,54.83,55.0,,26.22
116,330.716,58.09,54.86,55.0,,26.23
117,330.716,,,,51.52,
118,330.866,58.04,54.88,55.0,,26.21
119,331.016,57.99,54.9,55.0,,26.2
120,331.166,57.96,54.92,55.0,,26.19
121,331.315,57.91,54.94,55.0,,26.19
122,331.315,,,,52.39,
123,331.467,57.87,54.96,55.0,,26.21
124,331.616,57.82,54.97,55.0,,26.17
125,331.766,57.77,54.98,55.0,,26.18
126,331.916,57.72,55.0,55.0,,26.18
127,331.916,,,,52.12,
128,332.066,57.65,55.0,55.0,,26.17
129,332.216,57.6,55.01,55.0,,26.19
130,332.365,57.53,55.02,55.0,,26.18
131,332.516,57.5,55.02,55.0,,26.17
132,332.516,,,,52.63,
133,332.666,57.45,55.03,55.0,,26.16
134,332.817,57.4,55.03,55.0,,26.17
135,332.966,57.34,55.03,55.0,,26.14
136,333.116,57.31,55.04,55.0,,26.16
137,333.116,,,,52.53,
138,333.267,57.26,55.04,55.0,,26.14
139,333.417,57.2,55.04,55.0,,26.13
140,333.566,57.17,55.04,55.0,,26.14
141,333.716,57.13,55.04,55.0,,26.15
142,333.716,,,,52.8,
143,333.867,57.08,55.04,55.0,,26.14
144,334.017,57.06,55.04,55.0,,26.13
145,334.166,57.04,55.05,55.0,,26.13
146,334.316,56.99,55.05,55.0,,26.11
147,334.316,,,,52.8,
148,334.466,56.97,55.05,55.0,,26.11
149,334.616,56.93,55.05,55.0,,26.11
150,334.766,56.91,55.06,55.0,,26.09
151,334.916,56.87,55.06,55.0,,26.11
152,334.916,,,,52.98,
153,335.067,56.87,55.06,55.0,,26.08
154,335.216,56.81,55.06,55.0,,26.1
155,335.366,56.77,55.07,55.0,,26.1
156,335.516,56.73,55.07,55.0,,26.07
157,335.516,,,,53.0,
158,335.666,56.72,55.07,55.0,,26.08
159,335.817,56.69,55.07,55.0,,26.08
160,335.966,56.66,55.07,55.0,,26.08
161,336.116,56.64,55.07,55.0,,26.06
162,336.116,,,,53.12,
163,336.266,56.61,55.07,55.0,,26.06
164,336.416,56.57,55.07,55.0,,26.08
165,336.568,56.57,55.07,55.0,,26.07
166,336.717,56.54,55.07,55.0,,26.04
167,336.717,,,,53.14,
168,336.867,56.52,55.07,55.0,,26.06
169,337.018,56.49,55.07,55.0,,26.06
170,337.168,56.46,55.07,55.0,,26.04
171,337.319,56.44,55.07,55.0,,26.02
172,337.319,,,,53.21,
173,337.468,56.42,55.07,55.0,,26.06
174,337.617,56.37,55.07,55.0,,26.03
175,337.767,56.31,55.06,55.0,,26.03
176,337.917,56.27,55.05,55.0,,26.03
177,337.917,,,,53.83,
178,338.068,56.27,55.05,55.0,,26.04
179,338.217,56.24,55.04,55.0,,26.01
180,338.367,56.23,55.04,55.0,,26.05
181,338.517,56.23,55.04,55.0,,26.03
182,338.517,,,,53.26,
183,338.668,56.2,55.04,55.0,,26.01
184,338.816,56.19,55.04,55.0,,26.01
185,338.966,56.15,55.03,55.0,,26.01
186,339.116,56.14,55.03,55.0,,26.0
187,339.116,,,,53.54,
188,339.266,56.12,55.03,55.0,,26.0
189,339.416,56.11,55.02,55.0,,26.0
190,339.566,56.1,55.02,55.0,,26.0
191,339.716,56.07,55.02,55.0,,25.99
192,339.716,,,,53.29,
193,339.868,56.08,55.02,55.0,,26.0
194,340.016,56.07,55.02,55.0,,25.98
195,340.166,56.03,55.02,55.0,,25.98
196,340.316,56.03,55.02,55.0,,25.97
197,340.316,,,,53.4,
198,340.466,56.02,55.02,55.0,,25.96
199,340.617,56.01,55.02,55.0,,25.98
200,340.766,56.0,55.02,55.0,,25.97
201,340.916,55.98,55.02,55.0,,25.97
202,340.916,,,,53.32,
203,341.067,55.97,55.02,55.0,,25.96
204,341.222,55.96,55.01,55.0,,25.96
205,341.37,55.97,55.01,55.0,,25.95
206,341.522,55.96,55.02,55.0,,25.94
207,341.522,,,,53.34,
208,341.671,55.95,55.02,55.0,,25.93
209,341.82,55.93,55.02,55.0,,25.96
210,341.971,55.95,55.02,55.0,,25.95
211,342.121,55.93,55.02,55.0,,25.93
212,342.121,,,,53.31,
213,342.271,55.91,55.02,55.0,,25.93
214,342.421,55.92,55.02,55.0,,25.94
215,342.571,55.91,55.02,55.0,,25.94
216,342.722,55.9,55.02,55.0,,25.94
217,342.722,,,,53.31,
218,342.871,55.88,55.02,55.0,,25.91
219,343.022,55.87,55.02,55.0,,25.92
220,343.171,55.87,55.02,55.0,,25.92
221,343.321,55.86,55.02,55.0,,25.89
222,343.321,,,,53.29,
223,343.471,55.83,55.02,55.0,,25.92
224,343.623,55.85,55.02,55.0,,25.9
225,343.771,55.83,55.02,55.0,,25.88
226,343.921,55.84,55.02,55.0,,25.89
227,343.921,,,,53.35,
228,344.071,55.85,55.02,55.0,,25.87
229,344.22,55.84,55.02,55.0,,25.89
230,344.37,55.86,55.02,55.0,,25.89
231,344.52,55.84,55.03,55.0,,25.88
232,344.52,,,,53.21,
233,344.67,55.83,55.03,55.0,,25.89
234,344.822,55.81,55.03,55.0,,25.87
235,344.97,55.8,55.03,55.0,,25.88
236,345.12,55.79,55.03,55.0,,25.88
237,345.12,,,,53.34,
238,345.27,55.77,55.02,55.0,,25.87
239,345.42,55.76,55.02,55.0,,25.86
240,345.57,55.78,55.02,55.0,,25.85
241,345.72,55.79,55.02,55.0,,25.85
242,345.72,,,,53.88,
243,345.87,55.74,55.02,55.0,,25.83
244,346.02,55.74,55.01,55.0,,25.84
245,346.17,55.74,55.01,55.0,,25.84
246,346.32,55.71,55.01,55.0,,25.85
247,346.32,,,,53.29,
248,346.47,55.7,55.0,55.0,,25.84
249,346.62,55.69,55.0,55.0,,25.86
250,346.771,55.68,55.0,55.0,,25.83
251,346.92,55.7,55.0,55.0,,25.81
252,346.92,,,,53.48,
253,347.071,55.7,54.99,55.0,,25.83
254,347.22,55.71,55.0,55.0,,25.82
255,347.37,55.71,55.0,55.0,,25.83
256,347.52,55.71,55.0,55.0,,25.83
257,347.52,,,,53.29,
258,347.67,55.72,55.0,55.0,,25.81
259,347.822,55.73,55.0,55.0,,25.82
260,347.97,55.73,55.01,55.0,,25.81
261,348.12,55.73,55.01,55.0,,25.81
262,348.12,,,,53.47,
263,348.271,55.73,55.01,55.0,,25.81
264,348.42,55.74,55.01,55.0,,25.78
265,348.57,55.72,55.02,55.0,,25.81
266,348.72,55.72,55.02,55.0,,25.78
267,348.72,,,,53.26,
268,348.871,55.7,55.02,55.0,,25.78
269,349.022,55.69,55.02,55.0,,25.8
270,349.172,55.7,55.01,55.0,,25.78
271,349.32,55.67,55.01,55.0,,25.77
272,349.32,,,,53.47,
273,349.47,55.67,55.01,55.0,,25.79
274,349.62,55.69,55.01,55.0,,25.78
275,349.772,55.68,55.01,55.0,,25.78
276,349.92,55.67,55.01,55.0,,25.76
277,349.92,,,,53.22,
278,350.071,55.67,55.01,55.0,,25.76
279,350.222,55.69,55.01,55.0,,25.74
280,350.372,55.67,55.01,55.0,,25.76
281,350.522,55.65,55.01,55.0,,25.73
282,350.522,,,,53.33,
283,350.672,55.66,55.0,55.0,,25.75
284,350.822,55.63,55.0,55.0,,25.75
285,350.972,55.63,55.0,55.0,,25.76
286,351.122,55.63,55.0,55.0,,25.74
287,351.122,,,,53.29,
288,351.273,55.62,54.99,55.0,,25.74
289,351.422,55.63,54.99,55.0,,25.74
290,351.572,55.65,54.99,55.0,,25.74
291,351.722,55.67,55.0,55.0,,25.73
292,351.722,,,,53.34,
293,351.873,55.68,55.0,55.0,,25.72
294,352.022,55.64,55.0,55.0,,25.72
295,352.172,55.67,55.0,55.0,,25.72
296,352.172,,,,53.21,
297,352.322,55.67,55.0,55.0,,25.7
298,352.471,55.68,55.01,55.0,,25.73
299,352.622,55.67,55.01,55.0,,25.71
300,352.771,55.68,55.01,55.0,,25.68
301,352.922,55.67,55.01,55.0,,25.69
302,352.922,,,,53.31,
303,353.072,55.7,55.02,55.0,,25.69
304,353.222,55.68,55.02,55.0,,25.68
305,353.372,55.7,55.02,55.0,,25.7
306,353.522,55.67,55.02,55.0,,25.68
307,353.522,,,,53.99,
308,353.672,55.67,55.02,55.0,,25.69
309,353.822,55.68,55.02,55.0,,25.67
310,353.972,55.69,55.03,55.0,,25.69
311,354.122,55.69,55.03,55.0,,25.66
312,354.122,,,,53.29,
313,354.272,55.68,55.03,55.0,,25.67
314,354.423,55.67,55.03,55.0,,25.68
315,354.571,55.67,55.03,55.0,,25.67
316,354.722,55.67,55.03,55.0,,25.68
317,354.722,,,,53.47,
318,354.871,55.65,55.03,55.0,,25.66
319,355.022,55.68,55.03,55.0,,25.67
320,355.171,55.64,55.02,55.0,,25.68
321,355.322,55.63,55.02,55.0,,25.65
322,355.322,,,,53.27,
323,355.472,55.61,55.02,55.0,,25.65
324,355.622,55.62,55.01,55.0,,25.65
325,355.772,55.6,55.01,55.0,,25.65
326,355.922,55.62,55.01,55.0,,25.66
327,355.922,,,,53.47,
328,356.073,55.63,55.01,55.0,,25.64
329,356.223,55.61,55.0,55.0,,25.65
330,356.371,55.63,55.0,55.0,,25.65
331,356.522,55.62,55.0,55.0,,25.62
332,356.522,,,,53.26,
333,356.673,55.61,55.0,55.0,,25.62
334,356.822,55.6,55.0,55.0,,25.64
335,356.972,55.6,55.0,55.0,,25.64
336,357.122,55.6,55.0,55.0,,25.63
337,357.122,,,,53.34,
338,357.273,55.59,54.99,55.0,,25.61
339,357.423,55.62,54.99,55.0,,25.63
340,357.572,55.6,54.99,55.0,,25.61
341,357.572,,,,53.29,
342,357.722,55.61,54.99,55.0,,25.63
343,357.872,55.6,54.99,55.0,,25.61
344,358.022,55.62,55.0,55.0,,25.62
345,358.172,55.61,55.0,55.0,,25.6
346,358.172,,,,53.34,
347,358.323,55.62,55.0,55.0,,25.6
348,358.471,55.6,55.0,55.0,,25.61
349,358.622,55.62,55.0,55.0,,25.62
350,358.772,55.62,55.0,55.0,,25.6
351,358.772,,,,53.31,
352,358.921,55.6,55.0,55.0,,25.59
353,359.071,55.59,54.99,55.0,,25.61
354,359.222,55.61,54.99,55.0,,25.61
355,359.371,55.6,54.99,55.0,,25.61
356,359.371,,,,53.3,
357,359.521,55.59,54.99,55.0,,25.59
358,359.67,55.59,54.99,55.0,,25.61
359,359.821,55.58,54.99,55.0,,25.6
360,359.971,55.58,54.99,55.0,,25.58
361,360.061,,,,53.86,
362,360.121,55.58,54.99,55.0,,25.59
363,360.271,55.58,54.98,55.0,,25.56
364,360.422,55.6,54.99,55.0,,25.57
365,360.571,55.6,54.99,55.0,,25.57
366,360.571,,,,53.29,
367,360.721,55.61,54.99,55.0,,25.58
368,360.87,55.61,54.99,55.0,,25.57
369,361.021,55.64,54.99,55.0,,25.57
370,361.171,55.64,55.0,55.0,,25.54
371,361.174,,,,53.57,
372,361.321,55.63,55.0,55.0,,25.55
373,361.472,55.65,55.0,55.0,,25.54
374,361.621,55.64,55.01,55.0,,25.54
375,361.771,55.64,55.01,55.0,,25.53
376,361.771,,,,53.38,
377,361.921,55.64,55.01,55.0,,25.56
378,362.072,55.63,55.01,55.0,,25.55
379,362.26,55.64,55.01,55.0,,25.53
380,362.41,55.65,55.01,55.0,,25.54
381,362.41,,,,53.46,
382,362.559,55.65,55.02,55.0,,25.54
383,362.708,55.65,55.02,55.0,,25.54
384,362.858,55.64,55.02,55.0,,25.55
385,363.008,55.63,55.01,55.0,,25.52
386,363.008,,,,53.31,
387,363.158,55.63,55.01,55.0,,25.54
388,363.31,55.6,55.01,55.0,,25.53
389,363.458,55.62,55.01,55.0,,25.52
390,363.608,55.62,55.01,55.0,,25.53
391,363.608,,,,53.4,
392,363.758,55.61,55.01,55.0,,25.53
393,363.908,55.63,55.01,55.0,,25.51
394,364.058,55.64,55.01,55.0,,25.52
395,364.208,55.65,55.01,55.0,,25.51
396,364.208,,,,53.44,
397,364.358,55.65,55.01,55.0,,25.51
398,364.508,55.65,55.02,55.0,,25.53
399,364.658,55.64,55.02,55.0,,25.53
400,364.808,55.63,55.02,55.0,,25.51
401,364.808,,,,53.42,
402,364.958,55.63,55.02,55.0,,25.5
403,365.109,55.62,55.02,55.0,,25.51
404,365.258,55.63,55.01,55.0,,25.5
405,365.408,55.61,55.01,55.0,,25.5
406,365.408,,,,53.28,
407,365.558,55.6,55.01,55.0,,25.5
408,365.708,55.59,55.01,55.0,,25.49
409,365.858,55.6,55.0,55.0,,25.5
410,366.008,55.6,55.0,55.0,,25.45
411,366.008,,,,53.43,
412,366.158,55.59,55.0,55.0,,25.49
413,366.309,55.58,55.0,55.0,,25.51
414,366.458,55.58,54.99,55.0,,25.48
415,366.609,55.58,54.99,55.0,,25.48
416,366.609,,,,53.34,
417,366.759,55.57,54.99,55.0,,25.47
418,366.909,55.59,54.99,55.0,,25.49
419,367.059,55.59,54.99,55.0,,25.48
420,367.209,55.58,54.99,55.0,,25.49
421,367.209,,,,53.32,
422,367.359,55.57,54.99,55.0,,25.49
423,367.509,55.57,54.99,55.0,,25.48
424,367.66,55.59,54.99,55.0,,25.46
425,367.809,55.58,54.99,55.0,,25.45
426,367.834,,,,53.81,
