timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
293.406,26,24,0,65,24.17
293.406,26,24,0,65,24.17
293.406,26,24,0,65,24.17
293.406,26,24,0,65,24.17
293.556,26.01,24,0,65,24.17
293.556,26.01,24,0,65,24.17
293.556,26.01,24,0,65,24.17
293.556,26.01,24,0,65,24.17
293.556,26.01,24,0,65,24.17
293.706,26.16,24,0,65,
293.706,26.16,24,0,65,
293.706,26.16,24,0,65,
293.706,26.16,24,0,65,
293.856,26.82,24,0,65,
293.856,26.82,24,0,65,
293.856,26.82,24,0,65,
293.856,26.82,24,0,65,
294.006,27.58,24,0,65,
294.006,27.58,24,0,65,
294.006,27.58,24,0,65,
294.006,27.58,24,0,65,
294.156,28.52,24,0,65,
294.156,28.52,24,0,65,
294.156,28.52,24,0,65,
294.156,28.52,24,0,65,
294.171,,,,,24.18
294.306,29.97,24,0,65,
294.306,29.97,24,0,65,
294.306,29.97,24,0,65,
294.306,29.97,24,0,65,
294.456,31.14,24,0,65,
294.456,31.14,24,0,65,
294.456,31.14,24,0,65,
294.456,31.14,24,0,65,
294.606,32.37,24,0,65,
294.606,32.37,24,0,65,
294.606,32.37,24,0,65,
294.606,32.37,24,0,65,
294.756,34.06,24,0,65,24.16
294.756,34.06,24,0,65,24.16
294.756,34.06,24,0,65,24.16
294.756,34.06,24,0,65,24.16
294.756,34.06,24,0,65,24.16
294.906,35.34,24,0,65,
294.906,35.34,24,0,65,
294.906,35.34,24,0,65,
294.906,35.34,24,0,65,
295.056,36.64,24,0,65,
295.056,36.64,24,0,65,
295.056,36.64,24,0,65,
295.056,36.64,24,0,65,
295.207,38.38,24,0,65,
295.207,38.38,24,0,65,
295.207,38.38,24,0,65,
295.207,38.38,24,0,65,
295.357,39.67,24,0,65,
295.357,39.67,24,0,65,
295.357,39.67,24,0,65,
295.357,39.67,24,0,65,
295.44,,,,,24.18
295.507,40.97,24,0,65,
295.507,40.97,24,0,65,
295.507,40.97,24,0,65,
295.507,40.97,24,0,65,
295.657,42.66,24,0,65,
295.657,42.66,24,0,65,
295.657,42.66,24,0,65,
295.657,42.66,24,0,65,
295.807,43.92,24,0,65,
295.807,43.92,24,0,65,
295.807,43.92,24,0,65,
295.807,43.92,24,0,65,
295.957,45.17,24,0,65,24.2
