timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8176.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8177.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8182.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8183.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8188.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8188.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8198.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8213.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8217.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8218.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8219.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8221.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8222.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8245.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8246.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8246.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8247.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249.961,28.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.045,,,,,,,,28.3,,28.3,0,45,,,,75.7,0.8,4.3,100,100,,,,,,,,,,,,,
8250.16,28.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.228,,,,,,,,28.8,,28.3,0,45,,,,69,2,21.5,100,100,,,,,,,,,,,,,
8250.341,28.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.397,,,,,,,,30.3,,28.3,0,45,,,,50.3,2.9,30.6,100,100,,,,,,,,,,,,,
8250.532,28.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.582,,,,,,,,32.3,,28.4,0,45,,,,26.5,3.5,18,100,81.5,,,,,,,,,,,,,
8250.68,28.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8250.749,,,,,,,,34.2,,28.5,0,45,,,,9.2,3.7,-3.2,100,62.6,,,,,,,,,,,,,
