timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3884.245,,,,,,,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.296,32.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.409,32.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.494,32.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.605,33.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.702,34.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.802,34.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884.902,35.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.002,36.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.102,36.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.21,37.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.245,,,,,,,33.69,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.302,37.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.402,38.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.516,39.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.602,39.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.712,40.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.809,40.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885.91,41,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.009,41.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.109,41.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.209,41.7,,50,,,,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.309,41.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.409,42.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.509,42.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.609,42.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.709,43.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.809,43.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886.909,43.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.009,43.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.109,44,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.209,44.2,,50,,,,36.13,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.309,44.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.409,44.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.509,45.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.626,45.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.725,45.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.825,45.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887.925,46,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.025,46.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.125,46.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.225,46.6,,50,,,,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.325,47,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.425,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.525,47.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.625,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.726,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888.825,48,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
