timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
82331.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82511.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82511.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82515.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82515.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82517.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82518.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82519.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82520.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82536.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82537.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82538.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82539.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82540.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82541.481,32.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82541.516,,,,,,,,30.1,,29.7,0,45,,,,75.7,0.4,-100,100,100,,,,,,,,,,,,,
82541.547,,,,,,,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,
82541.681,32.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82541.727,,,,,,,,30.4,,29.7,0,45,,,,72.5,1.7,30.6,100,100,,,,,,,,,,,,,
82541.89,32.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82541.926,,,,,,,,32,,29.7,0,45,,,,52.3,2.6,88.6,100,66.3,,,,,,,,,,,,,
82542.075,31.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82542.12,,,,,,,,34.1,,29.8,0,45,,,,27.1,3.3,100,100,30.4,,,,,,,,,,,,,
82542.255,31.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82542.306,,,,,,,,36.2,,29.9,0,45,,,,4.5,3.5,90.7,100,17.3,,,,,,,,,,,,,
82542.433,31.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
