timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1525.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537.843,23.32,23.37,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537.857,,,,,,,,23.88,23.92,,,55,,,,1.04,0.04,0,,33.89,,,,,,,,,,,,,
1537.944,23.39,23.37,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537.956,,,,,,,,23.94,23.91,,,55,,,,2.55,0.17,0,,35.93,,,,,,,,,,,,,
1538.043,23.45,23.37,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538.066,,,,,,,,24.01,23.91,,,55,,,,4.18,0.39,0,,38.2,,,,,,,,,,,,,
1538.152,23.57,23.38,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538.182,,,,,,,,24.19,23.93,,,55,,,,5.91,0.7,0,,40.66,,,,,,,,,,,,,
1538.248,23.76,23.42,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538.272,,,,,,,,24.38,23.96,,,55,,,,7.15,1.12,0,,42.87,,,,,,,,,,,,,
1538.348,24.07,23.48,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538.36,,,,,,,,24.63,24.03,,,55,,,,8.3,1.59,0,,44.82,,,,,,,,,,,,,
