timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
2978.126,32.69,32.69,85,60,,,,,28.22,23.94,
2978.126,32.69,32.69,85,60,,,,,28.22,23.94,
2978.126,32.69,32.69,85,60,,,,,28.22,23.94,
2978.126,32.69,32.69,85,60,,,,,28.22,23.94,
2978.274,32.72,32.72,85,60,,,,,28.22,23.94,
2978.274,32.72,32.72,85,60,,,,,28.22,23.94,
2978.274,32.72,32.72,85,60,,,,,28.22,23.94,
2978.274,32.72,32.72,85,60,,,,,28.22,23.94,
2978.387,,,,,,,,,28.22,23.94,
2978.387,,,,,,,,,28.22,23.94,
2978.424,33.15,33.15,85,60,,,,,,,
2978.424,33.15,33.15,85,60,,,,,,,
2978.424,33.15,33.15,85,60,,,,,,,
2978.424,33.15,33.15,85,60,,,,,,,
2978.574,34.14,34.14,85,60,,,,,,,
2978.574,34.14,34.14,85,60,,,,,,,
2978.574,34.14,34.14,85,60,,,,,,,
2978.574,34.14,34.14,85,60,,,,,,,
2978.724,35.57,35.57,85,60,,,,,,,
2978.724,35.57,35.57,85,60,,,,,,,
2978.724,35.57,35.57,85,60,,,,,,,
2978.724,35.57,35.57,85,60,,,,,,,
2978.874,36.9,36.9,85,60,,,,,,,
2978.874,36.9,36.9,85,60,,,,,,,
2978.874,36.9,36.9,85,60,,,,,,,
2978.874,36.9,36.9,85,60,,,,,,,
2979.024,38.82,38.82,85,60,,,,,,,
2979.024,38.82,38.82,85,60,,,,,,,
2979.024,38.82,38.82,85,60,,,,,,,
2979.024,38.82,38.82,85,60,,,,,,,
2979.174,40.36,40.36,85,60,,,,,,,
2979.174,40.36,40.36,85,60,,,,,,,
2979.174,40.36,40.36,85,60,,,,,,,
2979.174,40.36,40.36,85,60,,,,,,,
2979.323,42.22,42.22,85,60,,,,,,,
2979.323,42.22,42.22,85,60,,,,,,,
2979.323,42.22,42.22,85,60,,,,,,,
2979.323,42.22,42.22,85,60,,,,,,,
2979.375,,,,,,,,,28.17,23.88,
2979.375,,,,,,,,,28.17,23.88,
2979.474,44.08,44.08,85,60,,,,,,,
2979.474,44.08,44.08,85,60,,,,,,,
2979.474,44.08,44.08,85,60,,,,,,,
2979.474,44.08,44.08,85,60,,,,,,,
2979.624,45.81,45.81,85,60,,,,,,,
2979.624,45.81,45.81,85,60,,,,,,,
2979.624,45.81,45.81,85,60,,,,,,,
2979.624,45.81,45.81,85,60,,,,,,,
2979.774,47.46,47.46,85,60,,,,,,,
2979.774,47.46,47.46,85,60,,,,,,,
2979.774,47.46,47.46,85,60,,,,,,,
2979.774,47.46,47.46,85,60,,,,,,,
2979.923,49.19,49.19,85,60,,,,,,,
2979.923,49.19,49.19,85,60,,,,,,,
2979.923,49.19,49.19,85,60,,,,,,,
2979.923,49.19,49.19,85,60,,,,,,,
2980.074,50.84,50.84,85,60,,,,,,,
2980.074,50.84,50.84,85,60,,,,,,,
2980.074,50.84,50.84,85,60,,,,,,,
2980.074,50.84,50.84,85,60,,,,,,,
2980.223,52.52,52.52,85,60,,,,,,,
2980.223,52.52,52.52,85,60,,,,,,,
2980.223,52.52,52.52,85,60,,,,,,,
2980.223,52.52,52.52,85,60,,,,,,,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.373,54.13,54.13,85,60,,,,,28.26,23.89,
2980.523,55.71,55.71,85,60,,,,,,,
2980.523,55.71,55.71,85,60,,,,,,,
2980.523,55.71,55.71,85,60,,,,,,,
2980.523,55.71,55.71,85,60,,,,,,,
2980.673,57.26,57.26,85,60,,,,,,,
2980.673,57.26,57.26,85,60,,,,,,,
2980.673,57.26,57.26,85,60,,,,,,,
2980.673,57.26,57.26,85,60,,,,,,,
2980.826,58.77,58.77,85,60,,,,,,,
2980.826,58.77,58.77,85,60,,,,,,,
2980.826,58.77,58.77,85,60,,,,,,,
2980.826,58.77,58.77,85,60,,,,,,,
2980.976,60.11,60.11,85,60,,,,,,,
2980.976,60.11,60.11,85,60,,,,,,,
2980.976,60.11,60.11,85,60,,,,,,,
2980.976,60.11,60.11,85,60,,,,,,,
2981.124,60.66,60.66,85,60,,,,,,,
2981.124,60.66,60.66,85,60,,,,,,,
2981.124,60.66,60.66,85,60,,,,,,,
2981.124,60.66,60.66,85,60,,,,,,,
2981.276,60.45,60.45,85,60,,,,,,,
2981.276,60.45,60.45,85,60,,,,,,,
2981.276,60.45,60.45,85,60,,,,,,,
2981.276,60.45,60.45,85,60,,,,,,,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.424,60.08,60.08,85,60,,,,,28.17,23.92,
2981.573,59.89,59.89,85,60,,,,,,,
2981.573,59.89,59.89,85,60,,,,,,,
2981.573,59.89,59.89,85,60,,,,,,,
2981.573,59.89,59.89,85,60,,,,,,,
2981.723,59.85,59.85,85,60,,,,,,,
2981.723,59.85,59.85,85,60,,,,,,,
2981.723,59.85,59.85,85,60,,,,,,,
2981.723,59.85,59.85,85,60,,,,,,,
2981.874,59.83,59.83,85,60,,,,,,,
2981.874,59.83,59.83,85,60,,,,,,,
2981.874,59.83,59.83,85,60,,,,,,,
2981.874,59.83,59.83,85,60,,,,,,,
2982.023,59.78,59.78,85,60,,,,,,,
2982.023,59.78,59.78,85,60,,,,,,,
2982.023,59.78,59.78,85,60,,,,,,,
2982.023,59.78,59.78,85,60,,,,,,,
2982.174,59.72,59.72,85,60,,,,,,,
2982.174,59.72,59.72,85,60,,,,,,,
2982.174,59.72,59.72,85,60,,,,,,,
2982.174,59.72,59.72,85,60,,,,,,,
2982.324,59.65,59.65,85,60,,,,,,,
2982.324,59.65,59.65,85,60,,,,,,,
2982.324,59.65,59.65,85,60,,,,,,,
2982.324,59.65,59.65,85,60,,,,,,,
2982.398,,,,,,,,,28.17,23.9,
2982.398,,,,,,,,,28.17,23.9,
2982.474,59.57,59.57,85,60,,,,,,,
2982.474,59.57,59.57,85,60,,,,,,,
2982.474,59.57,59.57,85,60,,,,,,,
2982.474,59.57,59.57,85,60,,,,,,,
2982.623,59.51,59.51,85,60,,,,,,,
2982.623,59.51,59.51,85,60,,,,,,,
2982.623,59.51,59.51,85,60,,,,,,,
2982.623,59.51,59.51,85,60,,,,,,,
2982.774,59.43,59.43,85,60,,,,,,,
2982.774,59.43,59.43,85,60,,,,,,,
2982.774,59.43,59.43,85,60,,,,,,,
2982.774,59.43,59.43,85,60,,,,,,,
2982.924,59.35,59.35,85,60,,,,,,,
2982.924,59.35,59.35,85,60,,,,,,,
2982.924,59.35,59.35,85,60,,,,,,,
2982.924,59.35,59.35,85,60,,,,,,,
2983.074,59.27,59.27,85,60,,,,,,,
2983.074,59.27,59.27,85,60,,,,,,,
2983.074,59.27,59.27,85,60,,,,,,,
2983.074,59.27,59.27,85,60,,,,,,,
2983.224,59.18,59.18,85,60,,,,,,,
2983.224,59.18,59.18,85,60,,,,,,,
2983.224,59.18,59.18,85,60,,,,,,,
2983.224,59.18,59.18,85,60,,,,,,,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.374,59.09,59.09,85,60,,,,,28.19,23.93,
2983.524,59,59,85,60,,,,,,,
2983.524,59,59,85,60,,,,,,,
2983.524,59,59,85,60,,,,,,,
2983.524,59,59,85,60,,,,,,,
2983.674,58.93,58.93,85,60,,,,,,,
2983.674,58.93,58.93,85,60,,,,,,,
2983.674,58.93,58.93,85,60,,,,,,,
2983.674,58.93,58.93,85,60,,,,,,,
2983.824,58.84,58.84,85,60,,,,,,,
2983.824,58.84,58.84,85,60,,,,,,,
2983.824,58.84,58.84,85,60,,,,,,,
2983.824,58.84,58.84,85,60,,,,,,,
2983.975,58.77,58.77,85,60,,,,,,,
2983.975,58.77,58.77,85,60,,,,,,,
2983.975,58.77,58.77,85,60,,,,,,,
2983.975,58.77,58.77,85,60,,,,,,,
2984.124,58.69,58.69,85,60,,,,,,,
2984.124,58.69,58.69,85,60,,,,,,,
2984.124,58.69,58.69,85,60,,,,,,,
2984.124,58.69,58.69,85,60,,,,,,,
2984.274,58.63,58.63,85,60,,,,,,,
2984.274,58.63,58.63,85,60,,,,,,,
2984.274,58.63,58.63,85,60,,,,,,,
2984.274,58.63,58.63,85,60,,,,,,,
2984.424,58.55,58.55,85,60,,,,,28.13,23.97,
2984.424,58.55,58.55,85,60,,,,,28.13,23.97,
2984.424,58.55,58.55,85,60,,,,,28.13,23.97,
2984.424,58.55,58.55,85,60,,,,,28.13,23.97,
