timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
374.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375.808,30.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375.956,30.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.112,30.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.255,30.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.405,30.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.429,,,,,,,30.04,,,,,,,,,,,,,,,,,,,,,,,,,,
376.555,30.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.705,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.855,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.005,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.155,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.305,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.327,,,,,,,30.04,,,,,,,,,,,,,,,,,,,,,,,,,,
377.455,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.605,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.755,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.905,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.056,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.205,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.355,29.2,,30,,,,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,
378.505,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.655,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.806,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.955,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.105,29,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.256,29,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.406,29,,30,,,,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,
379.555,28.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.706,29,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
