,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,2627.239,36.73,36.67,55.0,,36.36
1,2627.388,36.73,36.67,55.0,,36.36
2,2627.42,,,,28.43,
3,2627.538,36.79,36.67,55.0,,36.35
4,2627.688,37.1,36.7,55.0,,36.32
5,2627.838,37.74,36.79,55.0,,36.26
6,2627.988,38.69,36.97,55.0,,36.19
7,2628.039,,,,28.46,
8,2628.138,39.9,37.25,55.0,,36.1
9,2628.288,41.51,37.65,55.0,,35.99
10,2628.438,42.95,38.14,55.0,,35.91
11,2628.588,44.54,38.71,55.0,,35.79
12,2628.588,,,,29.73,
13,2628.738,46.19,39.37,55.0,,35.71
14,2628.889,47.75,40.1,55.0,,35.63
15,2629.038,49.38,40.9,55.0,,35.54
16,2629.188,51.27,41.75,55.0,,35.45
17,2629.188,,,,29.4,
18,2629.338,52.81,42.63,55.0,,35.37
19,2629.488,54.41,43.54,55.0,,35.29
20,2629.638,55.94,44.48,55.0,,35.22
21,2629.788,57.51,45.44,55.0,,35.15
22,2629.788,,,,29.45,
23,2629.938,59.35,46.43,55.0,,35.07
24,2630.088,60.85,47.41,55.0,,34.99
25,2630.238,62.3,48.41,55.0,,34.95
26,2630.388,63.76,49.42,55.0,,34.89
27,2630.388,,,,29.61,
28,2630.538,65.5,50.44,55.0,,34.82
29,2630.694,66.94,51.45,55.0,,34.79
30,2630.844,68.29,52.46,55.0,,34.74
31,2630.994,69.59,53.47,55.0,,34.7
32,2630.994,,,,30.03,
33,2631.144,70.74,54.45,55.0,,34.71
34,2631.294,71.14,55.33,55.0,,34.78
35,2631.444,71.09,56.07,55.0,,34.92
36,2631.592,70.7,56.67,55.0,,35.14
37,2631.592,,,,30.27,
38,2631.737,70.07,57.11,55.0,,35.38
39,2631.887,69.25,57.41,55.0,,35.66
40,2632.037,68.17,57.57,55.0,,36.0
41,2632.188,67.29,57.62,55.0,,36.25
42,2632.188,,,,30.66,
43,2632.337,66.44,57.59,55.0,,36.47
44,2632.488,65.39,57.48,55.0,,36.7
45,2632.64,64.57,57.33,55.0,,36.86
46,2632.787,63.82,57.13,55.0,,37.01
47,2632.787,,,,30.92,
48,2632.937,63.11,56.91,55.0,,37.12
49,2633.088,62.41,56.68,55.0,,37.22
50,2633.237,61.9,56.46,55.0,,37.28
51,2633.387,61.44,56.24,55.0,,37.31
52,2633.387,,,,31.44,
53,2633.537,61.05,56.04,55.0,,37.34
54,2633.688,60.7,55.85,55.0,,37.36
55,2633.837,60.31,55.67,55.0,,37.37
56,2633.988,60.02,55.5,55.0,,37.37
57,2633.988,,,,32.06,
58,2634.138,59.78,55.36,55.0,,37.37
59,2634.287,59.54,55.23,55.0,,37.34
60,2634.437,59.29,55.11,55.0,,37.33
61,2634.588,59.1,55.0,55.0,,37.31
62,2634.588,,,,33.19,
63,2634.737,58.91,54.91,55.0,,37.3
64,2634.888,58.72,54.82,55.0,,37.28
65,2635.071,58.45,54.74,55.0,,37.25
66,2635.22,58.25,54.66,55.0,,37.23
67,2635.245,,,,37.37,
68,2635.371,58.05,54.58,55.0,,37.21
69,2635.52,57.89,54.5,55.0,,37.19
70,2635.67,57.7,54.43,55.0,,37.19
71,2635.82,57.56,54.37,55.0,,37.16
72,2635.82,,,,40.55,
73,2635.97,57.42,54.31,55.0,,37.14
74,2636.12,57.3,54.26,55.0,,37.12
75,2636.27,57.2,54.22,55.0,,37.09
76,2636.42,57.12,54.18,55.0,,37.08
77,2636.42,,,,42.75,
78,2636.57,57.03,54.15,55.0,,37.05
79,2636.721,56.97,54.12,55.0,,37.04
80,2636.87,56.91,54.1,55.0,,37.01
81,2637.02,56.86,54.09,55.0,,36.99
82,2637.02,,,,43.8,
83,2637.17,56.83,54.08,55.0,,36.97
84,2637.321,56.79,54.08,55.0,,36.94
85,2637.471,56.77,54.08,55.0,,36.93
86,2637.621,56.76,54.08,55.0,,36.91
87,2637.621,,,,45.2,
88,2637.771,56.73,54.09,55.0,,36.88
89,2637.92,56.74,54.1,55.0,,36.87
90,2638.07,56.72,54.12,55.0,,36.85
91,2638.222,56.71,54.14,55.0,,36.84
92,2638.222,,,,46.01,
93,2638.371,56.72,54.16,55.0,,36.82
94,2638.52,56.7,54.18,55.0,,36.8
95,2638.67,56.71,54.2,55.0,,36.77
96,2638.82,56.73,54.23,55.0,,36.76
97,2638.82,,,,46.98,
98,2638.97,56.71,54.25,55.0,,36.75
99,2639.12,56.73,54.28,55.0,,36.74
100,2639.271,56.73,54.31,55.0,,36.72
101,2639.421,56.73,54.34,55.0,,36.71
102,2639.421,,,,47.62,
103,2639.571,56.73,54.36,55.0,,36.69
104,2639.72,56.73,54.39,55.0,,36.68
105,2639.87,56.73,54.42,55.0,,36.67
106,2640.02,56.73,54.45,55.0,,36.65
107,2640.02,,,,48.4,
108,2640.171,56.72,54.47,55.0,,36.63
109,2640.32,56.71,54.5,55.0,,36.62
110,2640.47,56.72,54.52,55.0,,36.61
111,2640.62,56.7,54.54,55.0,,36.62
112,2640.62,,,,48.94,
113,2640.77,56.71,54.57,55.0,,36.6
114,2640.92,56.69,54.59,55.0,,36.6
115,2641.074,56.7,54.61,55.0,,36.58
116,2641.224,56.7,54.64,55.0,,36.57
117,2641.224,,,,49.46,
118,2641.374,56.68,54.66,55.0,,36.56
119,2641.524,56.67,54.68,55.0,,36.55
120,2641.674,56.66,54.7,55.0,,36.54
121,2641.824,56.64,54.71,55.0,,36.55
122,2641.824,,,,49.89,
123,2641.974,56.64,54.73,55.0,,36.54
124,2642.124,56.62,54.75,55.0,,36.53
125,2642.274,56.62,54.76,55.0,,36.53
126,2642.424,56.61,54.78,55.0,,36.52
127,2642.424,,,,50.4,
128,2642.574,56.59,54.79,55.0,,36.5
129,2642.724,56.56,54.8,55.0,,36.5
130,2642.874,56.55,54.82,55.0,,36.49
131,2643.024,56.54,54.83,55.0,,36.49
132,2643.024,,,,51.33,
133,2643.174,56.52,54.84,55.0,,36.48
134,2643.324,56.51,54.85,55.0,,36.47
135,2643.474,56.51,54.86,55.0,,36.46
136,2643.624,56.49,54.87,55.0,,36.45
137,2643.624,,,,50.97,
138,2643.774,56.48,54.88,55.0,,36.46
139,2643.924,56.46,54.89,55.0,,36.47
140,2644.074,56.44,54.9,55.0,,36.44
141,2644.224,56.44,54.91,55.0,,36.44
142,2644.224,,,,51.48,
143,2644.374,56.41,54.91,55.0,,36.44
144,2644.524,56.38,54.92,55.0,,36.44
145,2644.674,56.36,54.92,55.0,,36.43
146,2644.824,56.33,54.93,55.0,,36.42
147,2644.824,,,,51.42,
148,2644.974,56.32,54.93,55.0,,36.42
149,2645.124,56.3,54.93,55.0,,36.42
150,2645.274,56.27,54.93,55.0,,36.41
151,2645.424,56.25,54.93,55.0,,36.4
152,2645.424,,,,51.76,
153,2645.574,56.24,54.94,55.0,,36.39
154,2645.724,56.23,54.94,55.0,,36.39
155,2645.874,56.21,54.94,55.0,,36.39
156,2646.024,56.19,54.94,55.0,,36.38
157,2646.024,,,,51.84,
158,2646.174,56.19,54.94,55.0,,36.37
159,2646.324,56.17,54.95,55.0,,36.37
160,2646.474,56.17,54.95,55.0,,36.36
161,2646.624,56.15,54.95,55.0,,36.36
162,2646.624,,,,52.1,
163,2646.774,56.14,54.96,55.0,,36.36
164,2646.924,56.13,54.96,55.0,,36.36
165,2647.074,56.11,54.96,55.0,,36.35
166,2647.224,56.11,54.96,55.0,,36.35
167,2647.224,,,,52.17,
168,2647.374,56.1,54.97,55.0,,36.34
169,2647.524,56.09,54.97,55.0,,36.34
170,2647.674,56.09,54.97,55.0,,36.33
171,2647.824,56.07,54.98,55.0,,36.32
172,2647.824,,,,52.33,
173,2647.974,56.07,54.98,55.0,,36.32
174,2648.124,56.06,54.98,55.0,,36.32
175,2648.274,56.06,54.99,55.0,,36.32
176,2648.424,56.05,54.99,55.0,,36.3
177,2648.424,,,,52.37,
178,2648.574,56.03,54.99,55.0,,36.3
179,2648.724,56.03,54.99,55.0,,36.3
180,2648.874,56.03,55.0,55.0,,36.3
181,2649.024,56.02,55.0,55.0,,36.29
182,2649.024,,,,52.5,
183,2649.174,55.99,55.0,55.0,,36.29
184,2649.324,56.01,55.0,55.0,,36.29
185,2649.474,55.99,55.01,55.0,,36.28
186,2649.624,55.98,55.01,55.0,,36.29
187,2649.635,,,,52.54,
188,2649.774,55.97,55.01,55.0,,36.27
189,2649.924,55.96,55.01,55.0,,36.26
190,2650.076,55.94,55.01,55.0,,36.27
