timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3329.762,,,,,,,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330.662,,,,,,,36.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331.44,,,,,,,,,,,,,,,,,,,,,,,1919.0,18000.0,1100.0,554.0,664.0,1609.0,856.0,643.0,77.0,18000.0,1.8796728971962617,29.45,29.45
3331.501,34.87,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331.651,34.93,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331.747,,,,,,,36.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331.802,35.29,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331.964,36.19,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.115,37.21,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.264,38.81,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.415,40.23,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.564,41.83,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.715,43.61,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.811,,,,,,,36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332.873,45.36,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333.03,46.88,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333.061,,,,,,,,,,,,,,,,,,,,,,,1886.0,18000.0,1093.0,546.0,651.0,1611.0,835.0,639.0,76.0,18000.0,1.9293413173652694,29.44,29.44
