timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1621.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.079,,,,,,,,27.74,27.76,,,55,,,,0.48,7.41,0,,43.32,,,,,,,,,,,,,
1646.122,27.39,27.39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.177,,,,,,,,27.77,27.76,,,55,,,,1.95,7.51,0,,45.26,,,,,,,,,,,,,
1646.227,27.42,27.39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.276,,,,,,,,27.84,27.76,,,55,,,,3.44,7.7,0,,47.39,,,,,,,,,,,,,
1646.322,27.58,27.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.376,,,,,,,,28.03,27.77,,,55,,,,4.92,7.97,0,,49.53,,,,,,,,,,,,,
1646.422,27.84,27.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.483,,,,,,,,28.35,27.81,,,55,,,,6.43,8.34,0,,51.83,,,,,,,,,,,,,
1646.522,28.19,27.49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.576,,,,,,,,28.7,27.89,,,55,,,,7.63,8.78,0,,53.88,,,,,,,,,,,,,
1646.622,28.6,27.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.676,,,,28.62,,,27.9,29.12,28.03,,,55,,,,8.78,9.29,0,,55.97,,,,,,,,,,,,,
1646.721,28.99,27.78,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.776,,,,,,,,29.64,28.23,,,55,,,,9.77,9.87,0,,57.95,,,,,,,,,,,,,
1646.821,29.31,28.02,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.876,,,,,,,,30.16,28.51,,,55,,,,10.58,10.49,0,,59.8,,,,,,,,,,,,,
1646.922,29.54,28.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646.976,,,,,,,,30.74,28.86,,,55,,,,11.21,11.16,0,,61.52,,,,,,,,,,,,,
1647.021,29.77,28.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.076,,,,,,,,31.37,29.27,,,55,,,,11.67,11.86,0,,63.1,,,,,,,,,,,,,
1647.121,29.9,28.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.176,,,,,,,,32.03,29.75,,,55,,,,11.98,12.57,0,,64.54,,,,,,,,,,,,,
1647.221,30.03,29.19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.276,,,,,,,,32.73,30.28,,,55,,,,12.14,13.3,0,,65.85,,,,,,,,,,,,,
1647.322,30.16,29.45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.376,,,,,,,,33.47,30.87,,,55,,,,12.16,14.04,0,,67.03,,,,,,,,,,,,,
1647.422,30.25,29.68,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.476,,,,,,,,34.15,31.51,,,55,,,,12.08,14.77,0,,68.1,,,,,,,,,,,,,
1647.522,30.35,29.88,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.576,,,,,,,,34.91,32.18,,,55,,,,11.9,15.48,0,,69.06,,,,,,,,,,,,,
