timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
638.732,25.88,24,0,45,23.63
638.732,25.88,24,0,45,23.63
638.732,25.88,24,0,45,23.63
638.732,25.88,24,0,45,23.63
638.814,,,,,23.63
638.882,25.9,24,0,45,
638.882,25.9,24,0,45,
638.882,25.9,24,0,45,
638.882,25.9,24,0,45,
639.032,26.09,24,0,45,
639.032,26.09,24,0,45,
639.032,26.09,24,0,45,
639.032,26.09,24,0,45,
639.182,26.59,24,0,45,
639.182,26.59,24,0,45,
639.182,26.59,24,0,45,
639.182,26.59,24,0,45,
639.333,27.67,24,0,45,23.54
639.333,27.67,24,0,45,23.54
639.333,27.67,24,0,45,23.54
639.333,27.67,24,0,45,23.54
639.333,27.67,24,0,45,23.54
639.483,28.69,24,0,45,
639.483,28.69,24,0,45,
639.483,28.69,24,0,45,
639.483,28.69,24,0,45,
639.633,29.82,24,0,45,
639.633,29.82,24,0,45,
639.633,29.82,24,0,45,
639.633,29.82,24,0,45,
639.784,31.44,24,0,45,
639.784,31.44,24,0,45,
639.784,31.44,24,0,45,
639.784,31.44,24,0,45,
639.934,32.69,24,0,45,
639.934,32.69,24,0,45,
639.934,32.69,24,0,45,
639.934,32.69,24,0,45,
639.951,,,,,23.63
640.084,33.97,24,0,45,
640.084,33.97,24,0,45,
640.084,33.97,24,0,45,
640.084,33.97,24,0,45,
640.235,35.68,24,0,45,
640.235,35.68,24,0,45,
640.235,35.68,24,0,45,
640.235,35.68,24,0,45,
640.387,36.96,24,0,45,
640.387,36.96,24,0,45,
640.387,36.96,24,0,45,
640.387,36.96,24,0,45,
640.538,38.67,24,0,45,23.6
640.538,38.67,24,0,45,23.6
640.538,38.67,24,0,45,23.6
640.538,38.67,24,0,45,23.6
640.538,38.67,24,0,45,23.6
640.687,39.94,24,0,45,
640.687,39.94,24,0,45,
640.687,39.94,24,0,45,
640.687,39.94,24,0,45,
640.837,41.2,24,0,45,
640.837,41.2,24,0,45,
640.837,41.2,24,0,45,
640.837,41.2,24,0,45,
640.987,42.84,24,0,45,
640.987,42.84,24,0,45,
640.987,42.84,24,0,45,
640.987,42.84,24,0,45,
641.137,44.06,24,0,45,23.62
641.137,44.06,24,0,45,23.62
641.137,44.06,24,0,45,23.62
641.137,44.06,24,0,45,23.62
641.137,44.06,24,0,45,23.62
641.287,45.28,24,0,45,
641.287,45.28,24,0,45,
641.287,45.28,24,0,45,
641.287,45.28,24,0,45,
641.438,46.85,24,0,45,
641.438,46.85,24,0,45,
641.438,46.85,24,0,45,
641.438,46.85,24,0,45,
641.587,48,24,0,45,
641.587,48,24,0,45,
641.587,48,24,0,45,
641.587,48,24,0,45,
641.737,49.15,24,0,45,23.55
641.737,49.15,24,0,45,23.55
641.737,49.15,24,0,45,23.55
641.737,49.15,24,0,45,23.55
641.737,49.15,24,0,45,23.55
641.888,50.65,24,0,45,
641.888,50.65,24,0,45,
641.888,50.65,24,0,45,
641.888,50.65,24,0,45,
642.038,51.75,24,0,45,
642.038,51.75,24,0,45,
642.038,51.75,24,0,45,
642.038,51.75,24,0,45,
642.188,52.83,24,0,45,
642.188,52.83,24,0,45,
642.188,52.83,24,0,45,
642.188,52.83,24,0,45,
642.339,54.25,24,0,45,
642.339,54.25,24,0,45,
642.339,54.25,24,0,45,
642.339,54.25,24,0,45,
642.489,55.3,24,0,45,23.64
642.489,55.3,24,0,45,23.64
642.489,55.3,24,0,45,23.64
642.489,55.3,24,0,45,23.64
642.489,55.3,24,0,45,23.64
642.639,56.33,24,0,45,
642.639,56.33,24,0,45,
642.639,56.33,24,0,45,
642.639,56.33,24,0,45,
642.789,57.67,24,0,45,
642.789,57.67,24,0,45,
642.789,57.67,24,0,45,
642.789,57.67,24,0,45,
642.939,58.67,24,0,45,
642.939,58.67,24,0,45,
642.939,58.67,24,0,45,
642.939,58.67,24,0,45,
643.089,59.66,24,0,45,23.65
643.089,59.66,24,0,45,23.65
643.089,59.66,24,0,45,23.65
643.089,59.66,24,0,45,23.65
643.089,59.66,24,0,45,23.65
643.24,60.94,24,0,45,
643.24,60.94,24,0,45,
643.24,60.94,24,0,45,
643.24,60.94,24,0,45,
643.39,61.88,24,0,45,
643.39,61.88,24,0,45,
643.39,61.88,24,0,45,
643.39,61.88,24,0,45,
643.54,62.8,24,0,45,
643.54,62.8,24,0,45,
643.54,62.8,24,0,45,
643.54,62.8,24,0,45,
643.691,64.02,24.04,0,45,24.26
643.691,64.02,24.04,0,45,24.26
643.691,64.02,24.04,0,45,24.26
643.691,64.02,24.04,0,45,24.26
643.691,64.02,24.04,0,45,24.26
643.841,64.93,24.14,0,45,
643.841,64.93,24.14,0,45,
643.841,64.93,24.14,0,45,
643.841,64.93,24.14,0,45,
643.991,65.8,24.24,0,45,
643.991,65.8,24.24,0,45,
643.991,65.8,24.24,0,45,
643.991,65.8,24.24,0,45,
644.141,66.95,24.35,0,45,
644.141,66.95,24.35,0,45,
644.141,66.95,24.35,0,45,
644.141,66.95,24.35,0,45,
644.291,67.8,24.47,0,45,29.65
644.291,67.8,24.47,0,45,29.65
644.291,67.8,24.47,0,45,29.65
644.291,67.8,24.47,0,45,29.65
644.291,67.8,24.47,0,45,29.65
644.441,68.64,24.59,0,45,
644.441,68.64,24.59,0,45,
644.441,68.64,24.59,0,45,
644.441,68.64,24.59,0,45,
