,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,158.618,30.28,24.0,62.0,,31.05
1,158.768,30.29,24.0,62.0,,31.06
2,158.768,,,,27.78,
3,158.913,30.43,24.0,62.0,,31.05
4,159.065,30.76,24.0,62.0,,31.03
5,159.214,31.3,24.0,62.0,,31.02
6,159.363,32.2,24.0,62.0,,30.96
7,159.513,33.06,24.0,62.0,,30.93
8,159.664,34.07,24.0,62.0,,30.89
9,159.813,35.42,24.0,62.0,,30.83
10,159.963,36.52,24.0,62.0,,30.77
11,160.07,,,,27.78,
12,160.114,37.93,24.0,62.0,,30.7
13,160.263,39.13,24.0,62.0,,30.65
14,160.414,40.31,24.0,62.0,,30.59
15,160.563,41.76,24.0,62.0,,30.51
16,160.681,,,,27.79,
17,160.714,42.9,24.0,62.0,,30.46
18,160.864,44.09,24.0,62.0,,30.4
19,161.013,45.48,24.0,62.0,,30.33
20,161.165,46.63,24.0,62.0,,30.27
21,161.165,,,,27.87,
22,161.313,47.99,24.0,62.0,,30.19
23,161.464,49.14,24.0,62.0,,30.14
24,161.613,50.47,24.0,62.0,,30.07
25,161.763,51.55,24.0,62.0,,30.01
26,161.763,,,,27.79,
27,161.914,52.83,24.0,62.0,,29.95
28,162.063,53.9,24.0,62.0,,29.89
29,162.214,54.93,24.0,62.0,,29.83
30,162.363,56.14,24.0,62.0,,29.77
31,162.363,,,,27.83,
32,162.514,57.18,24.0,62.0,,29.72
33,162.663,58.4,24.0,62.0,,29.66
34,162.813,59.37,24.0,62.0,,29.6
35,162.964,60.34,24.0,62.0,,29.55
36,163.113,61.48,24.0,62.0,,29.49
37,163.113,,,,27.85,
38,163.264,62.37,24.0,62.0,,29.45
39,163.413,63.49,24.0,62.0,,29.39
40,163.564,64.36,24.08,62.0,,29.34
41,163.576,,,,27.95,
42,163.713,65.45,24.21,62.0,,29.27
43,163.863,66.29,24.35,62.0,,29.23
44,164.014,67.3,24.5,62.0,,29.19
