,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,659.801,31.55,31.59,55.0,,31.31
1,659.959,31.55,31.59,55.0,,31.3
2,660.115,31.56,31.58,55.0,,31.29
3,660.265,31.69,31.59,55.0,,31.28
4,660.442,32.08,31.65,55.0,,31.23
5,660.583,32.89,31.77,55.0,,31.17
6,660.614,,,,27.18,
7,660.735,34.04,31.99,55.0,,31.1
8,660.885,35.58,32.34,55.0,,31.01
9,661.057,37.19,32.81,55.0,,30.92
10,661.205,38.9,33.38,55.0,,30.83
11,661.274,,,,27.25,
12,661.378,40.63,34.05,55.0,,30.75
13,661.526,42.47,34.81,55.0,,30.67
14,661.703,44.92,35.67,55.0,,30.55
15,661.852,46.17,36.55,55.0,,30.5
16,661.852,,,,27.41,
17,662.001,47.99,37.49,55.0,,30.42
18,662.153,49.81,38.47,55.0,,30.36
19,662.303,51.62,39.49,55.0,,30.28
20,662.453,53.81,40.56,55.0,,30.19
21,662.453,,,,27.55,
22,662.603,55.33,41.65,55.0,,30.13
23,662.753,56.82,42.72,55.0,,30.08
24,662.903,58.79,43.81,55.0,,29.99
25,663.053,60.24,44.9,55.0,,29.94
26,663.053,,,,27.75,
27,663.203,61.65,45.98,55.0,,29.89
28,663.353,63.51,47.07,55.0,,29.82
29,663.503,64.89,48.16,55.0,,29.77
30,663.653,66.24,49.22,55.0,,29.71
31,663.653,,,,28.17,
32,663.803,67.98,50.3,55.0,,29.66
33,663.977,68.95,51.33,55.0,,29.63
34,664.127,70.94,52.42,55.0,,29.58
35,664.277,72.11,53.49,55.0,,29.55
36,664.277,,,,28.9,
37,664.427,73.0,54.49,55.0,,29.54
38,664.577,73.52,55.41,55.0,,29.58
39,664.727,73.42,56.2,55.0,,29.66
40,664.873,73.01,56.83,55.0,,29.77
41,664.873,,,,30.1,
42,665.02,72.06,57.27,55.0,,29.97
43,665.17,71.14,57.57,55.0,,30.12
44,665.321,70.13,57.73,55.0,,30.28
45,665.471,68.73,57.74,55.0,,30.49
46,665.471,,,,32.88,
47,665.621,67.66,57.66,55.0,,30.62
48,665.77,66.61,57.5,55.0,,30.75
49,665.921,65.3,57.26,55.0,,30.9
50,666.071,64.39,56.98,55.0,,30.99
51,666.071,,,,38.04,
52,666.22,63.61,56.69,55.0,,31.07
53,666.37,62.73,56.39,55.0,,31.14
54,666.52,62.18,56.09,55.0,,31.19
55,666.67,61.7,55.82,55.0,,31.23
56,666.67,,,,41.85,
57,666.82,61.16,55.56,55.0,,31.26
58,666.97,60.8,55.33,55.0,,31.28
59,667.12,60.49,55.13,55.0,,31.3
60,667.27,60.12,54.94,55.0,,31.32
61,667.27,,,,44.34,
62,667.42,59.9,54.78,55.0,,31.32
63,667.57,59.69,54.64,55.0,,31.32
64,667.72,59.5,54.53,55.0,,31.32
65,667.87,59.26,54.42,55.0,,31.32
66,667.87,,,,46.52,
67,668.02,59.11,54.33,55.0,,31.32
68,668.17,58.97,54.26,55.0,,31.32
69,668.32,58.8,54.19,55.0,,31.31
70,668.47,58.69,54.14,55.0,,31.3
71,668.47,,,,48.21,
72,668.62,58.6,54.1,55.0,,31.29
73,668.77,58.48,54.07,55.0,,31.29
74,668.92,58.41,54.05,55.0,,31.27
75,669.07,58.33,54.04,55.0,,31.27
76,669.07,,,,49.33,
77,669.22,58.26,54.03,55.0,,31.25
78,669.37,58.2,54.03,55.0,,31.24
79,669.52,58.15,54.03,55.0,,31.23
80,669.67,58.09,54.04,55.0,,31.21
81,669.67,,,,50.42,
82,669.82,58.06,54.06,55.0,,31.19
83,669.97,58.02,54.07,55.0,,31.18
84,670.12,57.98,54.09,55.0,,31.17
85,670.27,57.96,54.12,55.0,,31.15
86,670.27,,,,51.26,
87,670.42,57.94,54.14,55.0,,31.15
88,670.57,57.91,54.17,55.0,,31.13
89,670.72,57.9,54.2,55.0,,31.12
90,670.87,57.88,54.23,55.0,,31.1
91,670.87,,,,51.98,
92,671.02,57.86,54.26,55.0,,31.09
93,671.17,57.85,54.3,55.0,,31.08
94,671.32,57.82,54.33,55.0,,31.06
95,671.47,57.81,54.36,55.0,,31.05
96,671.532,,,,52.47,
97,671.62,57.79,54.4,55.0,,31.03
98,671.77,57.76,54.43,55.0,,31.02
99,671.92,57.74,54.46,55.0,,31.0
100,672.07,57.72,54.49,55.0,,31.0
101,672.07,,,,52.93,
102,672.22,57.7,54.52,55.0,,30.98
103,672.37,57.66,54.55,55.0,,30.97
104,672.52,57.64,54.58,55.0,,30.96
105,672.67,57.62,54.61,55.0,,30.95
106,672.67,,,,53.28,
107,672.82,57.59,54.63,55.0,,30.94
108,672.97,57.57,54.66,55.0,,30.93
109,673.12,57.54,54.68,55.0,,30.91
110,673.27,57.51,54.71,55.0,,30.91
111,673.27,,,,53.64,
112,673.42,57.48,54.73,55.0,,30.9
113,673.57,57.46,54.75,55.0,,30.89
114,673.72,57.42,54.77,55.0,,30.88
115,673.87,57.4,54.79,55.0,,30.87
116,673.87,,,,53.79,
117,674.02,57.37,54.81,55.0,,30.86
118,674.17,57.33,54.82,55.0,,30.85
119,674.32,57.31,54.84,55.0,,30.84
120,674.47,57.28,54.86,55.0,,30.82
121,674.47,,,,53.95,
122,674.62,57.24,54.87,55.0,,30.81
123,674.77,57.21,54.88,55.0,,30.8
124,674.92,57.18,54.89,55.0,,30.8
125,675.07,57.14,54.9,55.0,,30.79
126,675.07,,,,54.11,
127,675.22,57.11,54.91,55.0,,30.78
128,675.37,57.08,54.92,55.0,,30.77
129,675.52,57.03,54.93,55.0,,30.77
130,675.67,57.01,54.94,55.0,,30.75
131,675.67,,,,54.21,
132,675.82,56.97,54.95,55.0,,30.74
133,676.0,56.94,54.95,55.0,,30.74
134,676.149,56.92,54.96,55.0,,30.73
135,676.299,56.88,54.96,55.0,,30.72
136,676.299,,,,54.12,
137,676.449,56.86,54.97,55.0,,30.71
138,676.599,56.83,54.97,55.0,,30.71
139,676.749,56.79,54.98,55.0,,30.7
140,676.899,56.77,54.98,55.0,,30.69
141,676.899,,,,54.25,
142,677.049,56.74,54.99,55.0,,30.67
143,677.199,56.71,54.99,55.0,,30.67
144,677.349,56.69,54.99,55.0,,30.67
145,677.499,56.65,55.0,55.0,,30.66
146,677.499,,,,54.26,
147,677.649,56.63,55.0,55.0,,30.65
148,677.799,56.61,55.0,55.0,,30.65
149,677.949,56.59,55.0,55.0,,30.63
150,678.099,56.57,55.01,55.0,,30.62
151,678.099,,,,54.16,
152,678.249,56.55,55.01,55.0,,30.61
153,678.399,56.53,55.01,55.0,,30.6
154,678.549,56.5,55.02,55.0,,30.59
155,678.699,56.49,55.02,55.0,,30.59
156,678.699,,,,54.23,
157,678.849,56.48,55.02,55.0,,30.59
158,678.999,56.45,55.03,55.0,,30.57
159,679.149,56.43,55.03,55.0,,30.56
160,679.299,56.4,55.03,55.0,,30.56
161,679.311,,,,54.19,
162,679.449,56.37,55.03,55.0,,30.55
163,679.599,56.34,55.03,55.0,,30.55
164,679.749,56.32,55.03,55.0,,30.54
165,679.899,56.29,55.02,55.0,,30.53
166,679.899,,,,54.1,
167,680.049,56.26,55.02,55.0,,30.52
