,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,1885.924,33.24,24.0,62.0,,33.35
1,1886.07,33.24,24.0,62.0,,33.34
2,1886.22,33.25,24.0,62.0,,33.31
3,1886.37,33.44,24.0,62.0,,33.3
4,1886.52,33.83,24.0,62.0,,33.28
5,1886.52,,,,23.8,
6,1886.67,34.46,24.0,62.0,,33.23
7,1886.821,35.28,24.0,62.0,,33.17
8,1886.971,36.27,24.0,62.0,,33.08
9,1887.121,37.3,24.0,62.0,,33.01
10,1887.121,,,,23.85,
11,1887.271,38.41,24.0,62.0,,32.94
12,1887.421,39.53,24.0,62.0,,32.86
13,1887.57,40.91,24.0,62.0,,32.76
14,1887.72,42.1,24.0,62.0,,32.67
15,1887.72,,,,23.93,
16,1887.87,43.3,24.0,62.0,,32.59
17,1888.02,44.43,24.0,62.0,,32.53
18,1888.17,45.62,24.0,62.0,,32.43
19,1888.32,46.79,24.0,62.0,,32.36
20,1888.32,,,,23.97,
21,1888.471,47.94,24.0,62.0,,32.27
22,1888.621,49.11,24.0,62.0,,32.19
23,1888.77,50.5,24.0,62.0,,32.09
24,1888.92,51.61,24.0,62.0,,32.03
25,1888.92,,,,24.04,
26,1889.07,52.66,24.0,62.0,,31.95
27,1889.22,53.77,24.0,62.0,,31.88
28,1889.37,54.85,24.0,62.0,,31.81
29,1889.52,55.9,24.0,62.0,,31.73
30,1889.52,,,,24.11,
31,1889.671,56.97,24.0,62.0,,31.66
32,1889.821,57.99,24.0,62.0,,31.59
33,1889.971,59.06,24.0,62.0,,31.52
34,1890.121,60.08,24.0,62.0,,31.45
35,1890.121,,,,24.19,
36,1890.27,61.22,24.0,62.0,,31.39
37,1890.42,62.16,24.0,62.0,,31.32
38,1890.57,63.09,24.0,62.0,,31.25
39,1890.72,63.98,24.0,62.0,,31.2
40,1890.72,,,,24.31,
41,1890.87,64.9,24.0,62.0,,31.15
42,1891.02,65.82,24.12,62.0,,31.1
43,1891.171,66.73,24.26,62.0,,31.02
44,1891.321,67.6,24.4,62.0,,30.98
45,1891.321,,,,24.41,
46,1891.471,68.44,24.55,62.0,,30.91
47,1891.62,69.4,24.71,62.0,,30.86
48,1891.77,70.22,24.87,62.0,,30.81
49,1891.92,71.01,25.03,62.0,,30.77
50,1891.92,,,,24.52,
51,1892.07,71.79,25.21,62.0,,30.71
52,1892.22,72.59,25.38,62.0,,30.67
53,1892.37,73.35,25.56,62.0,,30.63
54,1892.521,74.1,25.75,62.0,,30.57
55,1892.521,,,,24.81,
56,1892.671,74.82,25.94,62.0,,30.54
57,1892.821,75.67,26.14,62.0,,30.48
58,1892.97,76.37,26.34,62.0,,30.43
59,1893.132,77.03,26.55,62.0,,30.38
60,1893.132,,,,27.27,
61,1893.282,77.74,26.76,62.0,,30.36
62,1893.432,78.41,26.96,62.0,,30.33
63,1893.582,79.08,27.18,62.0,,30.29
64,1893.732,79.71,27.39,62.0,,30.25
65,1893.732,,,,27.43,
66,1893.881,80.47,27.62,62.0,,30.2
