timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,Stage1 Output,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate,PCR Temp,PCR Modeled TempC,PCR Expected TempC,PCR Target TempC,PCR Controlled Ramp Target,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,dataQPcrSlug,pcrModeledTempC,rawTECModel,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,Stage1 Error Time Ms,PCR Error Time Ms,Stage1 Target Rate,Stage1 TEC Rate,Stage1 Heatsink Rate,PCR Target Rate,PCR TEC Rate,PCR Heatsink Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.424,41.62,41.62,115.0,115.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,0.0,,-0.38002,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.572,41.57,41.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,150.0,,-0.379791,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.723,41.68,41.68,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,300.0,,-0.373077,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12773.873,42.44,42.44,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,450.0,,-0.340729,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.023,43.48,43.48,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,600.0,,-0.297852,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.173,44.57,44.57,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,750.0,,-0.252914,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.323,46.53,46.53,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,900.0,,-0.174103,,,,,,,,,,,,,,,,,,
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,18000.0,3271.0,349.0,713.0,473.0,1345.0,982.0,254.0,18000.0,0.3516728624535316,29.27,29.27
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.473,47.61,47.61,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1050.0,,-0.130081,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.623,49.77,49.77,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1200.0,,-0.044022,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.773,51.43,51.43,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1350.0,,0.021667,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12774.923,53.06,53.06,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1500.0,,0.085983,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.073,54.7,54.7,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1650.0,,0.150299,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.223,56.3,56.3,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1800.0,,0.212708,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.373,57.88,57.88,115.0,115.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,1950.0,,0.273819,,,,,,,,,,,,,,,,,,
12775.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.0,18000.0,3298.0,349.0,702.0,473.0,1354.0,957.0,270.0,18000.0,0.34933530280649927,29.27,29.27
12775.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.0,18000.0,3298.0,349.0,702.0,473.0,1354.0,957.0,270.0,18000.0,0.34933530280649927,29.27,29.27
12775.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.0,18000.0,3298.0,349.0,702.0,473.0,1354.0,957.0,270.0,18000.0,0.34933530280649927,29.27,29.27
