,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,1215.481,24.43,24.54,55.0,,24.63
1,1215.631,24.43,24.54,55.0,,24.61
2,1215.665,,,,17.8,
3,1215.781,24.6,24.55,55.0,,24.62
4,1215.931,25.07,24.61,55.0,,24.58
5,1216.081,25.94,24.75,55.0,,24.5
6,1216.231,27.1,24.99,55.0,,24.47
7,1216.231,,,,17.84,
8,1216.381,28.39,25.33,55.0,,24.41
9,1216.531,29.87,25.76,55.0,,24.36
10,1216.681,31.42,26.3,55.0,,24.29
11,1216.831,32.99,26.92,55.0,,24.21
12,1216.831,,,,19.48,
13,1216.982,34.62,27.62,55.0,,24.13
14,1217.132,36.25,28.38,55.0,,24.09
15,1217.282,37.89,29.19,55.0,,23.99
16,1217.432,39.49,30.04,55.0,,23.94
17,1217.432,,,,18.65,
18,1217.582,41.08,30.92,55.0,,23.88
19,1217.732,42.64,31.83,55.0,,23.83
20,1217.882,44.15,32.76,55.0,,23.77
21,1218.032,45.72,33.7,55.0,,23.71
22,1218.032,,,,18.79,
23,1218.181,47.22,34.66,55.0,,23.64
24,1218.331,48.68,35.62,55.0,,23.6
25,1218.482,50.13,36.59,55.0,,23.56
26,1218.632,51.56,37.55,55.0,,23.49
27,1218.632,,,,18.58,
28,1218.782,52.93,38.52,55.0,,23.46
29,1218.931,54.32,39.49,55.0,,23.4
30,1219.081,55.72,40.46,55.0,,23.35
31,1219.231,57.1,41.43,55.0,,23.31
32,1219.231,,,,18.85,
33,1219.382,58.42,42.4,55.0,,23.26
34,1219.532,59.78,43.36,55.0,,23.24
35,1219.682,61.07,44.33,55.0,,23.19
36,1219.831,62.36,45.29,55.0,,23.18
37,1219.831,,,,19.04,
38,1219.982,63.57,46.24,55.0,,23.14
39,1220.131,64.88,47.19,55.0,,23.11
40,1220.281,66.11,48.14,55.0,,23.07
41,1220.431,67.29,49.08,55.0,,23.05
42,1220.431,,,,19.56,
43,1220.582,68.47,50.02,55.0,,23.02
44,1220.732,69.63,50.94,55.0,,23.01
45,1220.887,70.79,51.87,55.0,,22.96
46,1221.037,71.93,52.78,55.0,,22.96
47,1221.037,,,,20.31,
48,1221.242,72.81,53.67,55.0,,22.94
49,1221.392,73.68,54.55,55.0,,22.98
50,1221.541,73.61,55.3,55.0,,23.07
51,1221.692,73.08,55.9,55.0,,23.2
52,1221.692,,,,22.03,
53,1221.839,72.15,56.32,55.0,,23.36
54,1221.983,71.01,56.59,55.0,,23.59
55,1222.135,69.74,56.7,55.0,,23.79
56,1222.284,68.51,56.69,55.0,,23.97
57,1222.284,,,,32.53,
58,1222.434,67.38,56.59,55.0,,24.13
59,1222.583,66.52,56.43,55.0,,24.28
60,1222.733,65.73,56.24,55.0,,24.33
61,1222.883,65.05,56.05,55.0,,24.41
62,1222.883,,,,37.33,
63,1223.035,64.44,55.84,55.0,,24.47
64,1223.183,63.96,55.65,55.0,,24.53
65,1223.333,63.49,55.47,55.0,,24.58
66,1223.483,63.06,55.3,55.0,,24.61
67,1223.495,,,,40.46,
68,1223.634,62.69,55.15,55.0,,24.64
69,1223.783,62.33,55.01,55.0,,24.68
70,1223.933,62.02,54.88,55.0,,24.71
71,1224.083,61.71,54.77,55.0,,24.71
72,1224.083,,,,43.09,
73,1224.233,61.44,54.66,55.0,,24.72
74,1224.383,61.19,54.57,55.0,,24.74
75,1224.533,60.93,54.49,55.0,,24.71
76,1224.683,60.71,54.42,55.0,,24.74
77,1224.683,,,,45.33,
78,1224.834,60.53,54.36,55.0,,24.76
79,1224.983,60.38,54.31,55.0,,24.77
80,1225.133,60.2,54.27,55.0,,24.76
81,1225.283,60.09,54.25,55.0,,24.76
82,1225.283,,,,45.86,
83,1225.433,59.96,54.22,55.0,,24.76
84,1225.583,59.84,54.21,55.0,,24.76
85,1225.734,59.73,54.2,55.0,,24.76
86,1225.883,59.64,54.2,55.0,,24.76
87,1225.883,,,,47.14,
88,1226.033,59.55,54.21,55.0,,24.76
89,1226.183,59.48,54.22,55.0,,24.72
90,1226.333,59.4,54.23,55.0,,24.75
91,1226.484,59.35,54.25,55.0,,24.75
92,1226.484,,,,47.72,
93,1226.633,59.29,54.27,55.0,,24.73
94,1226.785,59.22,54.29,55.0,,24.76
95,1226.933,59.16,54.32,55.0,,24.74
96,1227.083,59.1,54.35,55.0,,24.74
97,1227.083,,,,48.66,
98,1227.233,59.06,54.37,55.0,,24.71
99,1227.384,59.0,54.41,55.0,,24.73
100,1227.534,58.97,54.44,55.0,,24.74
101,1227.683,58.92,54.47,55.0,,24.73
102,1227.683,,,,49.13,
103,1227.834,58.88,54.5,55.0,,24.71
104,1227.984,58.85,54.54,55.0,,24.72
105,1228.134,58.81,54.57,55.0,,24.72
106,1228.284,58.76,54.61,55.0,,24.71
107,1228.284,,,,49.84,
108,1228.434,58.75,54.64,55.0,,24.7
109,1228.584,58.72,54.68,55.0,,24.68
110,1228.734,58.69,54.72,55.0,,24.68
111,1228.884,58.63,54.75,55.0,,24.69
112,1228.884,,,,50.27,
113,1229.034,58.59,54.78,55.0,,24.7
114,1229.184,58.52,54.81,55.0,,24.68
115,1229.334,58.49,54.84,55.0,,24.68
116,1229.484,58.45,54.86,55.0,,24.7
117,1229.484,,,,50.81,
118,1229.633,58.4,54.89,55.0,,24.69
119,1229.784,58.36,54.92,55.0,,24.68
120,1229.934,58.32,54.94,55.0,,24.67
121,1230.083,58.27,54.96,55.0,,24.65
